group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rusqlite,100,,,1127091.0,ns,22
bench_insert,rusqlite,100,,,2069782.0,ns,44
bench_insert,rusqlite,100,,,3073374.0,ns,66
bench_insert,rusqlite,100,,,4059166.0,ns,88
bench_insert,rusqlite,100,,,4993558.0,ns,110
bench_insert,rusqlite,100,,,6015849.0,ns,132
bench_insert,rusqlite,100,,,7008740.0,ns,154
bench_insert,rusqlite,100,,,7985831.0,ns,176
bench_insert,rusqlite,100,,,9056622.0,ns,198
bench_insert,rusqlite,100,,,10013514.0,ns,220
bench_insert,rusqlite,100,,,11054406.0,ns,242
bench_insert,rusqlite,100,,,12052497.0,ns,264
bench_insert,rusqlite,100,,,13034989.0,ns,286
bench_insert,rusqlite,100,,,14084779.0,ns,308
bench_insert,rusqlite,100,,,15099670.0,ns,330
bench_insert,rusqlite,100,,,16083562.0,ns,352
bench_insert,rusqlite,100,,,16985654.0,ns,374
bench_insert,rusqlite,100,,,18028945.0,ns,396
bench_insert,rusqlite,100,,,19009437.0,ns,418
bench_insert,rusqlite,100,,,20114028.0,ns,440
bench_insert,rusqlite,100,,,21139219.0,ns,462
bench_insert,rusqlite,100,,,22177010.0,ns,484
bench_insert,rusqlite,100,,,23216001.0,ns,506
bench_insert,rusqlite,100,,,24178393.0,ns,528
bench_insert,rusqlite,100,,,25210384.0,ns,550
bench_insert,rusqlite,100,,,26121876.0,ns,572
bench_insert,rusqlite,100,,,27271166.0,ns,594
bench_insert,rusqlite,100,,,28248558.0,ns,616
bench_insert,rusqlite,100,,,29111751.0,ns,638
bench_insert,rusqlite,100,,,30109842.0,ns,660
bench_insert,rusqlite,100,,,31148533.0,ns,682
bench_insert,rusqlite,100,,,32206424.0,ns,704
bench_insert,rusqlite,100,,,33163116.0,ns,726
bench_insert,rusqlite,100,,,34200006.0,ns,748
bench_insert,rusqlite,100,,,35343897.0,ns,770
bench_insert,rusqlite,100,,,36441388.0,ns,792
bench_insert,rusqlite,100,,,37239380.0,ns,814
bench_insert,rusqlite,100,,,38315772.0,ns,836
bench_insert,rusqlite,100,,,39307763.0,ns,858
bench_insert,rusqlite,100,,,40330054.0,ns,880
bench_insert,rusqlite,100,,,41261046.0,ns,902
bench_insert,rusqlite,100,,,42065140.0,ns,924
bench_insert,rusqlite,100,,,43542727.0,ns,946
bench_insert,rusqlite,100,,,44332420.0,ns,968
bench_insert,rusqlite,100,,,45355411.0,ns,990
bench_insert,rusqlite,100,,,46247704.0,ns,1012
bench_insert,rusqlite,100,,,47302194.0,ns,1034
bench_insert,rusqlite,100,,,48241286.0,ns,1056
bench_insert,rusqlite,100,,,49408476.0,ns,1078
bench_insert,rusqlite,100,,,50212969.0,ns,1100
bench_insert,rusqlite,100,,,51237161.0,ns,1122
bench_insert,rusqlite,100,,,52312451.0,ns,1144
bench_insert,rusqlite,100,,,53336943.0,ns,1166
bench_insert,rusqlite,100,,,54663131.0,ns,1188
bench_insert,rusqlite,100,,,55394325.0,ns,1210
bench_insert,rusqlite,100,,,56163218.0,ns,1232
bench_insert,rusqlite,100,,,57199710.0,ns,1254
bench_insert,rusqlite,100,,,58614398.0,ns,1276
bench_insert,rusqlite,100,,,59729888.0,ns,1298
bench_insert,rusqlite,100,,,60682280.0,ns,1320
bench_insert,rusqlite,100,,,62039468.0,ns,1342
bench_insert,rusqlite,100,,,62527564.0,ns,1364
bench_insert,rusqlite,100,,,63637454.0,ns,1386
bench_insert,rusqlite,100,,,64338448.0,ns,1408
bench_insert,rusqlite,100,,,65892335.0,ns,1430
bench_insert,rusqlite,100,,,66598429.0,ns,1452
bench_insert,rusqlite,100,,,67734920.0,ns,1474
bench_insert,rusqlite,100,,,68586212.0,ns,1496
bench_insert,rusqlite,100,,,69485705.0,ns,1518
bench_insert,rusqlite,100,,,70937092.0,ns,1540
bench_insert,rusqlite,100,,,71729385.0,ns,1562
bench_insert,rusqlite,100,,,72782676.0,ns,1584
bench_insert,rusqlite,100,,,73548170.0,ns,1606
bench_insert,rusqlite,100,,,74819259.0,ns,1628
bench_insert,rusqlite,100,,,75658251.0,ns,1650
bench_insert,rusqlite,100,,,76888741.0,ns,1672
bench_insert,rusqlite,100,,,77725534.0,ns,1694
bench_insert,rusqlite,100,,,78886324.0,ns,1716
bench_insert,rusqlite,100,,,79886716.0,ns,1738
bench_insert,rusqlite,100,,,80726808.0,ns,1760
bench_insert,rusqlite,100,,,82096996.0,ns,1782
bench_insert,rusqlite,100,,,83121388.0,ns,1804
bench_insert,rusqlite,100,,,83754582.0,ns,1826
bench_insert,rusqlite,100,,,84798173.0,ns,1848
bench_insert,rusqlite,100,,,86029363.0,ns,1870
bench_insert,rusqlite,100,,,86962055.0,ns,1892
bench_insert,rusqlite,100,,,87650949.0,ns,1914
bench_insert,rusqlite,100,,,89458933.0,ns,1936
bench_insert,rusqlite,100,,,89686932.0,ns,1958
bench_insert,rusqlite,100,,,91010120.0,ns,1980
bench_insert,rusqlite,100,,,91624815.0,ns,2002
bench_insert,rusqlite,100,,,93111302.0,ns,2024
bench_insert,rusqlite,100,,,94188792.0,ns,2046
bench_insert,rusqlite,100,,,94900995.0,ns,2068
bench_insert,rusqlite,100,,,95677297.0,ns,2090
bench_insert,rusqlite,100,,,97009886.0,ns,2112
bench_insert,rusqlite,100,,,97954078.0,ns,2134
bench_insert,rusqlite,100,,,98938370.0,ns,2156
bench_insert,rusqlite,100,,,100223959.0,ns,2178
bench_insert,rusqlite,100,,,101137251.0,ns,2200
