group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_queryable_by_name,10,,,1051092.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10,,,1597088.0,ns,10
bench_trivial_query,diesel_async_queryable_by_name,10,,,2474582.0,ns,15
bench_trivial_query,diesel_async_queryable_by_name,10,,,4053370.0,ns,20
bench_trivial_query,diesel_async_queryable_by_name,10,,,4802364.0,ns,25
bench_trivial_query,diesel_async_queryable_by_name,10,,,5773057.0,ns,30
bench_trivial_query,diesel_async_queryable_by_name,10,,,6692250.0,ns,35
bench_trivial_query,diesel_async_queryable_by_name,10,,,8082040.0,ns,40
bench_trivial_query,diesel_async_queryable_by_name,10,,,8531536.0,ns,45
bench_trivial_query,diesel_async_queryable_by_name,10,,,8464837.0,ns,50
bench_trivial_query,diesel_async_queryable_by_name,10,,,9319130.0,ns,55
bench_trivial_query,diesel_async_queryable_by_name,10,,,11182817.0,ns,60
bench_trivial_query,diesel_async_queryable_by_name,10,,,10950218.0,ns,65
bench_trivial_query,diesel_async_queryable_by_name,10,,,13546099.0,ns,70
bench_trivial_query,diesel_async_queryable_by_name,10,,,14486392.0,ns,75
bench_trivial_query,diesel_async_queryable_by_name,10,,,15222286.0,ns,80
bench_trivial_query,diesel_async_queryable_by_name,10,,,14634891.0,ns,85
bench_trivial_query,diesel_async_queryable_by_name,10,,,12984803.0,ns,90
bench_trivial_query,diesel_async_queryable_by_name,10,,,19281156.0,ns,95
bench_trivial_query,diesel_async_queryable_by_name,10,,,19463654.0,ns,100
bench_trivial_query,diesel_async_queryable_by_name,10,,,19807052.0,ns,105
bench_trivial_query,diesel_async_queryable_by_name,10,,,21582239.0,ns,110
bench_trivial_query,diesel_async_queryable_by_name,10,,,22494932.0,ns,115
bench_trivial_query,diesel_async_queryable_by_name,10,,,23680323.0,ns,120
bench_trivial_query,diesel_async_queryable_by_name,10,,,23932821.0,ns,125
bench_trivial_query,diesel_async_queryable_by_name,10,,,24863814.0,ns,130
bench_trivial_query,diesel_async_queryable_by_name,10,,,22572032.0,ns,135
bench_trivial_query,diesel_async_queryable_by_name,10,,,26891299.0,ns,140
bench_trivial_query,diesel_async_queryable_by_name,10,,,28010691.0,ns,145
bench_trivial_query,diesel_async_queryable_by_name,10,,,26091805.0,ns,150
bench_trivial_query,diesel_async_queryable_by_name,10,,,30139676.0,ns,155
bench_trivial_query,diesel_async_queryable_by_name,10,,,31110067.0,ns,160
bench_trivial_query,diesel_async_queryable_by_name,10,,,32434758.0,ns,165
bench_trivial_query,diesel_async_queryable_by_name,10,,,32968154.0,ns,170
bench_trivial_query,diesel_async_queryable_by_name,10,,,34148945.0,ns,175
bench_trivial_query,diesel_async_queryable_by_name,10,,,34783241.0,ns,180
bench_trivial_query,diesel_async_queryable_by_name,10,,,35891132.0,ns,185
bench_trivial_query,diesel_async_queryable_by_name,10,,,37330121.0,ns,190
bench_trivial_query,diesel_async_queryable_by_name,10,,,36898225.0,ns,195
bench_trivial_query,diesel_async_queryable_by_name,10,,,39379407.0,ns,200
bench_trivial_query,diesel_async_queryable_by_name,10,,,39277607.0,ns,205
bench_trivial_query,diesel_async_queryable_by_name,10,,,42071786.0,ns,210
bench_trivial_query,diesel_async_queryable_by_name,10,,,42635781.0,ns,215
bench_trivial_query,diesel_async_queryable_by_name,10,,,43701874.0,ns,220
bench_trivial_query,diesel_async_queryable_by_name,10,,,38982710.0,ns,225
bench_trivial_query,diesel_async_queryable_by_name,10,,,44717767.0,ns,230
bench_trivial_query,diesel_async_queryable_by_name,10,,,45848658.0,ns,235
bench_trivial_query,diesel_async_queryable_by_name,10,,,39201007.0,ns,240
bench_trivial_query,diesel_async_queryable_by_name,10,,,47698545.0,ns,245
bench_trivial_query,diesel_async_queryable_by_name,10,,,48975135.0,ns,250
bench_trivial_query,diesel_async_queryable_by_name,10,,,49772529.0,ns,255
bench_trivial_query,diesel_async_queryable_by_name,10,,,50792421.0,ns,260
bench_trivial_query,diesel_async_queryable_by_name,10,,,51933912.0,ns,265
bench_trivial_query,diesel_async_queryable_by_name,10,,,53775799.0,ns,270
bench_trivial_query,diesel_async_queryable_by_name,10,,,53914798.0,ns,275
bench_trivial_query,diesel_async_queryable_by_name,10,,,55516586.0,ns,280
bench_trivial_query,diesel_async_queryable_by_name,10,,,56099781.0,ns,285
bench_trivial_query,diesel_async_queryable_by_name,10,,,55667785.0,ns,290
bench_trivial_query,diesel_async_queryable_by_name,10,,,44410768.0,ns,295
bench_trivial_query,diesel_async_queryable_by_name,10,,,51567915.0,ns,300
bench_trivial_query,diesel_async_queryable_by_name,10,,,60282850.0,ns,305
bench_trivial_query,diesel_async_queryable_by_name,10,,,60954145.0,ns,310
bench_trivial_query,diesel_async_queryable_by_name,10,,,62073037.0,ns,315
bench_trivial_query,diesel_async_queryable_by_name,10,,,63004930.0,ns,320
bench_trivial_query,diesel_async_queryable_by_name,10,,,64581418.0,ns,325
bench_trivial_query,diesel_async_queryable_by_name,10,,,47539346.0,ns,330
bench_trivial_query,diesel_async_queryable_by_name,10,,,66374304.0,ns,335
bench_trivial_query,diesel_async_queryable_by_name,10,,,57740970.0,ns,340
bench_trivial_query,diesel_async_queryable_by_name,10,,,68442890.0,ns,345
bench_trivial_query,diesel_async_queryable_by_name,10,,,68715387.0,ns,350
bench_trivial_query,diesel_async_queryable_by_name,10,,,59805354.0,ns,355
bench_trivial_query,diesel_async_queryable_by_name,10,,,70372075.0,ns,360
bench_trivial_query,diesel_async_queryable_by_name,10,,,52431709.0,ns,365
bench_trivial_query,diesel_async_queryable_by_name,10,,,71788164.0,ns,370
bench_trivial_query,diesel_async_queryable_by_name,10,,,59442956.0,ns,375
bench_trivial_query,diesel_async_queryable_by_name,10,,,74938041.0,ns,380
bench_trivial_query,diesel_async_queryable_by_name,10,,,74435435.0,ns,385
bench_trivial_query,diesel_async_queryable_by_name,10,,,76307016.0,ns,390
bench_trivial_query,diesel_async_queryable_by_name,10,,,75962319.0,ns,395
bench_trivial_query,diesel_async_queryable_by_name,10,,,78160301.0,ns,400
bench_trivial_query,diesel_async_queryable_by_name,10,,,82091672.0,ns,405
bench_trivial_query,diesel_async_queryable_by_name,10,,,80835881.0,ns,410
bench_trivial_query,diesel_async_queryable_by_name,10,,,81533676.0,ns,415
bench_trivial_query,diesel_async_queryable_by_name,10,,,83507961.0,ns,420
bench_trivial_query,diesel_async_queryable_by_name,10,,,83227463.0,ns,425
bench_trivial_query,diesel_async_queryable_by_name,10,,,86152041.0,ns,430
bench_trivial_query,diesel_async_queryable_by_name,10,,,85700244.0,ns,435
bench_trivial_query,diesel_async_queryable_by_name,10,,,85957142.0,ns,440
bench_trivial_query,diesel_async_queryable_by_name,10,,,85452645.0,ns,445
bench_trivial_query,diesel_async_queryable_by_name,10,,,81196578.0,ns,450
bench_trivial_query,diesel_async_queryable_by_name,10,,,88724120.0,ns,455
bench_trivial_query,diesel_async_queryable_by_name,10,,,89290717.0,ns,460
bench_trivial_query,diesel_async_queryable_by_name,10,,,93289886.0,ns,465
bench_trivial_query,diesel_async_queryable_by_name,10,,,90776105.0,ns,470
bench_trivial_query,diesel_async_queryable_by_name,10,,,93999781.0,ns,475
bench_trivial_query,diesel_async_queryable_by_name,10,,,96348662.0,ns,480
bench_trivial_query,diesel_async_queryable_by_name,10,,,94231179.0,ns,485
bench_trivial_query,diesel_async_queryable_by_name,10,,,97021457.0,ns,490
bench_trivial_query,diesel_async_queryable_by_name,10,,,97032857.0,ns,495
bench_trivial_query,diesel_async_queryable_by_name,10,,,97337455.0,ns,500
