group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async,10000,,,52004739.0,ns,11
bench_trivial_query,diesel_async,10000,,,51201138.0,ns,11
bench_trivial_query,diesel_async,10000,,,57844143.0,ns,11
bench_trivial_query,diesel_async,10000,,,52674340.0,ns,11
bench_trivial_query,diesel_async,10000,,,51871239.0,ns,11
bench_trivial_query,diesel_async,10000,,,55709142.0,ns,11
bench_trivial_query,diesel_async,10000,,,54200741.0,ns,11
bench_trivial_query,diesel_async,10000,,,58305044.0,ns,11
bench_trivial_query,diesel_async,10000,,,52128439.0,ns,11
bench_trivial_query,diesel_async,10000,,,53886440.0,ns,11
bench_trivial_query,diesel_async,10000,,,56885642.0,ns,11
bench_trivial_query,diesel_async,10000,,,60962246.0,ns,11
bench_trivial_query,diesel_async,10000,,,52629339.0,ns,11
bench_trivial_query,diesel_async,10000,,,54460241.0,ns,11
bench_trivial_query,diesel_async,10000,,,52720740.0,ns,11
bench_trivial_query,diesel_async,10000,,,58207444.0,ns,11
bench_trivial_query,diesel_async,10000,,,52378539.0,ns,11
bench_trivial_query,diesel_async,10000,,,58410244.0,ns,11
bench_trivial_query,diesel_async,10000,,,54967741.0,ns,11
bench_trivial_query,diesel_async,10000,,,52459940.0,ns,11
bench_trivial_query,diesel_async,10000,,,53919341.0,ns,11
bench_trivial_query,diesel_async,10000,,,56937643.0,ns,11
bench_trivial_query,diesel_async,10000,,,60681745.0,ns,11
bench_trivial_query,diesel_async,10000,,,63830248.0,ns,11
bench_trivial_query,diesel_async,10000,,,57900343.0,ns,11
bench_trivial_query,diesel_async,10000,,,52455839.0,ns,11
bench_trivial_query,diesel_async,10000,,,61629746.0,ns,11
bench_trivial_query,diesel_async,10000,,,61303746.0,ns,11
bench_trivial_query,diesel_async,10000,,,56634142.0,ns,11
bench_trivial_query,diesel_async,10000,,,57601743.0,ns,11
bench_trivial_query,diesel_async,10000,,,59271245.0,ns,11
bench_trivial_query,diesel_async,10000,,,55902943.0,ns,11
