group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_from_row,10000,,,50892405.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,53618189.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50902005.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51101204.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50777606.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51754000.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50739105.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,52129098.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50659406.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51029404.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51812699.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50949905.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50761305.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50773206.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51001904.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51080901.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,53601582.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,53876680.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51165397.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51959292.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50551200.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51807293.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51527594.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50883298.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50886099.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51247696.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50663200.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51091597.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50783999.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50849598.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50847098.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50852598.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50974998.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50901498.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51021498.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,53085785.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51010298.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50857399.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50781299.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51805492.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50840899.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51172097.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50569400.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50833800.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51164098.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50889499.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,54353880.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,53088487.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51027499.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51156699.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50906500.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50573101.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51193698.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51362797.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51164898.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51199598.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50754000.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51181398.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50874000.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50631001.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50594301.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50982599.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50858400.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50835900.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50561301.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51570196.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50961199.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51135898.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,54146081.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,52759089.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51220298.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51297394.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,54648975.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50814398.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50600699.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51552093.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51027796.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50752698.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51475194.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50620099.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50360900.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50721598.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50657999.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50960197.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50923297.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51018496.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,58665950.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50894697.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51427894.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50860798.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50771397.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50723298.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50777098.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51266195.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50802098.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51256595.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,51425894.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50888597.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,52606387.0,ns,3
bench_trivial_query,sqlx_query_from_row,10000,,,50926894.0,ns,3
