group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,quaint,1,,,1673081.0,ns,2
bench_insert,quaint,1,,,2931767.0,ns,4
bench_insert,quaint,1,,,3837257.0,ns,6
bench_insert,quaint,1,,,4376150.0,ns,8
bench_insert,quaint,1,,,5253540.0,ns,10
bench_insert,quaint,1,,,6505125.0,ns,12
bench_insert,quaint,1,,,6918021.0,ns,14
bench_insert,quaint,1,,,8569802.0,ns,16
bench_insert,quaint,1,,,8734601.0,ns,18
bench_insert,quaint,1,,,9471592.0,ns,20
bench_insert,quaint,1,,,11612668.0,ns,22
bench_insert,quaint,1,,,11762466.0,ns,24
bench_insert,quaint,1,,,12208361.0,ns,26
bench_insert,quaint,1,,,12402358.0,ns,28
bench_insert,quaint,1,,,14228837.0,ns,30
bench_insert,quaint,1,,,15844919.0,ns,32
bench_insert,quaint,1,,,20337069.0,ns,34
bench_insert,quaint,1,,,17877196.0,ns,36
bench_insert,quaint,1,,,17721798.0,ns,38
bench_insert,quaint,1,,,19402479.0,ns,40
bench_insert,quaint,1,,,20223470.0,ns,42
bench_insert,quaint,1,,,21277158.0,ns,44
bench_insert,quaint,1,,,21341957.0,ns,46
bench_insert,quaint,1,,,23219536.0,ns,48
bench_insert,quaint,1,,,45291685.0,ns,50
bench_insert,quaint,1,,,26657496.0,ns,52
bench_insert,quaint,1,,,26638497.0,ns,54
bench_insert,quaint,1,,,24772818.0,ns,56
bench_insert,quaint,1,,,26136403.0,ns,58
bench_insert,quaint,1,,,28304378.0,ns,60
bench_insert,quaint,1,,,33858414.0,ns,62
bench_insert,quaint,1,,,29175168.0,ns,64
bench_insert,quaint,1,,,29487664.0,ns,66
bench_insert,quaint,1,,,30100857.0,ns,68
bench_insert,quaint,1,,,31405642.0,ns,70
bench_insert,quaint,1,,,34452408.0,ns,72
bench_insert,quaint,1,,,35216599.0,ns,74
bench_insert,quaint,1,,,38290764.0,ns,76
bench_insert,quaint,1,,,38633560.0,ns,78
bench_insert,quaint,1,,,39644349.0,ns,80
bench_insert,quaint,1,,,36079290.0,ns,82
bench_insert,quaint,1,,,40562838.0,ns,84
bench_insert,quaint,1,,,67164035.0,ns,86
bench_insert,quaint,1,,,51459114.0,ns,88
bench_insert,quaint,1,,,42451416.0,ns,90
bench_insert,quaint,1,,,44853989.0,ns,92
bench_insert,quaint,1,,,45234785.0,ns,94
bench_insert,quaint,1,,,50270427.0,ns,96
bench_insert,quaint,1,,,51571512.0,ns,98
bench_insert,quaint,1,,,48358149.0,ns,100
bench_insert,quaint,1,,,48159251.0,ns,102
bench_insert,quaint,1,,,52163906.0,ns,104
bench_insert,quaint,1,,,56405758.0,ns,106
bench_insert,quaint,1,,,52757199.0,ns,108
bench_insert,quaint,1,,,56118261.0,ns,110
bench_insert,quaint,1,,,52590401.0,ns,112
bench_insert,quaint,1,,,105617102.0,ns,114
bench_insert,quaint,1,,,59575524.0,ns,116
bench_insert,quaint,1,,,57219151.0,ns,118
bench_insert,quaint,1,,,63350082.0,ns,120
bench_insert,quaint,1,,,58467636.0,ns,122
bench_insert,quaint,1,,,58852132.0,ns,124
bench_insert,quaint,1,,,73555165.0,ns,126
bench_insert,quaint,1,,,61551701.0,ns,128
bench_insert,quaint,1,,,55716567.0,ns,130
bench_insert,quaint,1,,,70203904.0,ns,132
bench_insert,quaint,1,,,73723564.0,ns,134
bench_insert,quaint,1,,,92359752.0,ns,136
bench_insert,quaint,1,,,70242603.0,ns,138
bench_insert,quaint,1,,,72728874.0,ns,140
bench_insert,quaint,1,,,79547597.0,ns,142
bench_insert,quaint,1,,,74827151.0,ns,144
bench_insert,quaint,1,,,77273323.0,ns,146
bench_insert,quaint,1,,,75793740.0,ns,148
bench_insert,quaint,1,,,76967427.0,ns,150
bench_insert,quaint,1,,,82439364.0,ns,152
bench_insert,quaint,1,,,83738150.0,ns,154
bench_insert,quaint,1,,,114977296.0,ns,156
bench_insert,quaint,1,,,81340277.0,ns,158
bench_insert,quaint,1,,,86027024.0,ns,160
bench_insert,quaint,1,,,90320675.0,ns,162
bench_insert,quaint,1,,,85820726.0,ns,164
bench_insert,quaint,1,,,85579229.0,ns,166
bench_insert,quaint,1,,,79307000.0,ns,168
bench_insert,quaint,1,,,89016390.0,ns,170
bench_insert,quaint,1,,,87696705.0,ns,172
bench_insert,quaint,1,,,126801561.0,ns,174
bench_insert,quaint,1,,,89339686.0,ns,176
bench_insert,quaint,1,,,91495962.0,ns,178
bench_insert,quaint,1,,,100436161.0,ns,180
bench_insert,quaint,1,,,107166785.0,ns,182
bench_insert,quaint,1,,,92802447.0,ns,184
bench_insert,quaint,1,,,96673803.0,ns,186
bench_insert,quaint,1,,,98307085.0,ns,188
bench_insert,quaint,1,,,125000582.0,ns,190
bench_insert,quaint,1,,,102320139.0,ns,192
bench_insert,quaint,1,,,111117840.0,ns,194
bench_insert,quaint,1,,,103049531.0,ns,196
bench_insert,quaint,1,,,103633324.0,ns,198
bench_insert,quaint,1,,,102407138.0,ns,200
