group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel,1000,,,1304213.0,ns,4
bench_trivial_query,diesel,1000,,,2583927.0,ns,8
bench_trivial_query,diesel,1000,,,3880341.0,ns,12
bench_trivial_query,diesel,1000,,,5122655.0,ns,16
bench_trivial_query,diesel,1000,,,6413068.0,ns,20
bench_trivial_query,diesel,1000,,,8019185.0,ns,24
bench_trivial_query,diesel,1000,,,8960695.0,ns,28
bench_trivial_query,diesel,1000,,,10312809.0,ns,32
bench_trivial_query,diesel,1000,,,11498322.0,ns,36
bench_trivial_query,diesel,1000,,,12751435.0,ns,40
bench_trivial_query,diesel,1000,,,14043250.0,ns,44
bench_trivial_query,diesel,1000,,,15334163.0,ns,48
bench_trivial_query,diesel,1000,,,16728778.0,ns,52
bench_trivial_query,diesel,1000,,,17930291.0,ns,56
bench_trivial_query,diesel,1000,,,19219404.0,ns,60
bench_trivial_query,diesel,1000,,,20480318.0,ns,64
bench_trivial_query,diesel,1000,,,22420139.0,ns,68
bench_trivial_query,diesel,1000,,,23029045.0,ns,72
bench_trivial_query,diesel,1000,,,24302759.0,ns,76
bench_trivial_query,diesel,1000,,,25743373.0,ns,80
bench_trivial_query,diesel,1000,,,26866785.0,ns,84
bench_trivial_query,diesel,1000,,,28184800.0,ns,88
bench_trivial_query,diesel,1000,,,29688816.0,ns,92
bench_trivial_query,diesel,1000,,,30739026.0,ns,96
bench_trivial_query,diesel,1000,,,32000540.0,ns,100
bench_trivial_query,diesel,1000,,,33297554.0,ns,104
bench_trivial_query,diesel,1000,,,34594368.0,ns,108
bench_trivial_query,diesel,1000,,,36128384.0,ns,112
bench_trivial_query,diesel,1000,,,37325097.0,ns,116
bench_trivial_query,diesel,1000,,,38379808.0,ns,120
bench_trivial_query,diesel,1000,,,39658421.0,ns,124
bench_trivial_query,diesel,1000,,,40870835.0,ns,128
bench_trivial_query,diesel,1000,,,42484152.0,ns,132
bench_trivial_query,diesel,1000,,,43814566.0,ns,136
bench_trivial_query,diesel,1000,,,44774976.0,ns,140
bench_trivial_query,diesel,1000,,,48064811.0,ns,144
bench_trivial_query,diesel,1000,,,47158002.0,ns,148
bench_trivial_query,diesel,1000,,,48621317.0,ns,152
bench_trivial_query,diesel,1000,,,49827330.0,ns,156
bench_trivial_query,diesel,1000,,,51512647.0,ns,160
bench_trivial_query,diesel,1000,,,52417057.0,ns,164
bench_trivial_query,diesel,1000,,,53702571.0,ns,168
bench_trivial_query,diesel,1000,,,55306288.0,ns,172
bench_trivial_query,diesel,1000,,,56179497.0,ns,176
bench_trivial_query,diesel,1000,,,57672713.0,ns,180
bench_trivial_query,diesel,1000,,,59245729.0,ns,184
bench_trivial_query,diesel,1000,,,60054538.0,ns,188
bench_trivial_query,diesel,1000,,,61763656.0,ns,192
bench_trivial_query,diesel,1000,,,62583065.0,ns,196
bench_trivial_query,diesel,1000,,,63950079.0,ns,200
bench_trivial_query,diesel,1000,,,65334895.0,ns,204
bench_trivial_query,diesel,1000,,,66595007.0,ns,208
bench_trivial_query,diesel,1000,,,67804621.0,ns,212
bench_trivial_query,diesel,1000,,,69230436.0,ns,216
bench_trivial_query,diesel,1000,,,73462481.0,ns,220
bench_trivial_query,diesel,1000,,,71504460.0,ns,224
bench_trivial_query,diesel,1000,,,72658372.0,ns,228
bench_trivial_query,diesel,1000,,,74027586.0,ns,232
bench_trivial_query,diesel,1000,,,75348500.0,ns,236
bench_trivial_query,diesel,1000,,,77345722.0,ns,240
bench_trivial_query,diesel,1000,,,78055530.0,ns,244
bench_trivial_query,diesel,1000,,,79106941.0,ns,248
bench_trivial_query,diesel,1000,,,80579157.0,ns,252
bench_trivial_query,diesel,1000,,,81920771.0,ns,256
bench_trivial_query,diesel,1000,,,83130983.0,ns,260
bench_trivial_query,diesel,1000,,,84221995.0,ns,264
bench_trivial_query,diesel,1000,,,85927814.0,ns,268
bench_trivial_query,diesel,1000,,,86977924.0,ns,272
bench_trivial_query,diesel,1000,,,89474251.0,ns,276
bench_trivial_query,diesel,1000,,,89457451.0,ns,280
bench_trivial_query,diesel,1000,,,90653564.0,ns,284
bench_trivial_query,diesel,1000,,,92533683.0,ns,288
bench_trivial_query,diesel,1000,,,93829797.0,ns,292
