group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,10,,,1865122.0,ns,7
bench_medium_complex_query,diesel,10,,,3045636.0,ns,14
bench_medium_complex_query,diesel,10,,,3915646.0,ns,21
bench_medium_complex_query,diesel,10,,,4743856.0,ns,28
bench_medium_complex_query,diesel,10,,,6478177.0,ns,35
bench_medium_complex_query,diesel,10,,,6723079.0,ns,42
bench_medium_complex_query,diesel,10,,,8188797.0,ns,49
bench_medium_complex_query,diesel,10,,,8829804.0,ns,56
bench_medium_complex_query,diesel,10,,,9646714.0,ns,63
bench_medium_complex_query,diesel,10,,,10976329.0,ns,70
bench_medium_complex_query,diesel,10,,,12001341.0,ns,77
bench_medium_complex_query,diesel,10,,,12515548.0,ns,84
bench_medium_complex_query,diesel,10,,,13853363.0,ns,91
bench_medium_complex_query,diesel,10,,,14456270.0,ns,98
bench_medium_complex_query,diesel,10,,,16248592.0,ns,105
bench_medium_complex_query,diesel,10,,,16882299.0,ns,112
bench_medium_complex_query,diesel,10,,,17894911.0,ns,119
bench_medium_complex_query,diesel,10,,,18826422.0,ns,126
bench_medium_complex_query,diesel,10,,,20456242.0,ns,133
bench_medium_complex_query,diesel,10,,,20970648.0,ns,140
bench_medium_complex_query,diesel,10,,,21944959.0,ns,147
bench_medium_complex_query,diesel,10,,,23019672.0,ns,154
bench_medium_complex_query,diesel,10,,,30761563.0,ns,161
bench_medium_complex_query,diesel,10,,,24708892.0,ns,168
bench_medium_complex_query,diesel,10,,,25773004.0,ns,175
bench_medium_complex_query,diesel,10,,,27101920.0,ns,182
bench_medium_complex_query,diesel,10,,,27766827.0,ns,189
bench_medium_complex_query,diesel,10,,,29090943.0,ns,196
bench_medium_complex_query,diesel,10,,,29452547.0,ns,203
bench_medium_complex_query,diesel,10,,,31709674.0,ns,210
bench_medium_complex_query,diesel,10,,,31427271.0,ns,217
bench_medium_complex_query,diesel,10,,,32193580.0,ns,224
bench_medium_complex_query,diesel,10,,,33123990.0,ns,231
bench_medium_complex_query,diesel,10,,,35178715.0,ns,238
bench_medium_complex_query,diesel,10,,,36062225.0,ns,245
bench_medium_complex_query,diesel,10,,,36785434.0,ns,252
bench_medium_complex_query,diesel,10,,,37358840.0,ns,259
bench_medium_complex_query,diesel,10,,,44028919.0,ns,266
bench_medium_complex_query,diesel,10,,,38622456.0,ns,273
bench_medium_complex_query,diesel,10,,,39129261.0,ns,280
bench_medium_complex_query,diesel,10,,,41232086.0,ns,287
bench_medium_complex_query,diesel,10,,,43053408.0,ns,294
bench_medium_complex_query,diesel,10,,,43580514.0,ns,301
bench_medium_complex_query,diesel,10,,,44484424.0,ns,308
bench_medium_complex_query,diesel,10,,,45030331.0,ns,315
bench_medium_complex_query,diesel,10,,,47364658.0,ns,322
bench_medium_complex_query,diesel,10,,,47699562.0,ns,329
bench_medium_complex_query,diesel,10,,,47947665.0,ns,336
bench_medium_complex_query,diesel,10,,,48010766.0,ns,343
bench_medium_complex_query,diesel,10,,,50212392.0,ns,350
bench_medium_complex_query,diesel,10,,,56810570.0,ns,357
bench_medium_complex_query,diesel,10,,,52920024.0,ns,364
bench_medium_complex_query,diesel,10,,,53848035.0,ns,371
bench_medium_complex_query,diesel,10,,,53680633.0,ns,378
bench_medium_complex_query,diesel,10,,,54804147.0,ns,385
bench_medium_complex_query,diesel,10,,,55797458.0,ns,392
bench_medium_complex_query,diesel,10,,,57229775.0,ns,399
bench_medium_complex_query,diesel,10,,,57306176.0,ns,406
bench_medium_complex_query,diesel,10,,,59825705.0,ns,413
bench_medium_complex_query,diesel,10,,,59828105.0,ns,420
bench_medium_complex_query,diesel,10,,,61358624.0,ns,427
bench_medium_complex_query,diesel,10,,,66851188.0,ns,434
bench_medium_complex_query,diesel,10,,,63314047.0,ns,441
bench_medium_complex_query,diesel,10,,,65538473.0,ns,448
bench_medium_complex_query,diesel,10,,,65763176.0,ns,455
bench_medium_complex_query,diesel,10,,,67476096.0,ns,462
bench_medium_complex_query,diesel,10,,,66797488.0,ns,469
bench_medium_complex_query,diesel,10,,,68586709.0,ns,476
bench_medium_complex_query,diesel,10,,,68511208.0,ns,483
bench_medium_complex_query,diesel,10,,,71025538.0,ns,490
bench_medium_complex_query,diesel,10,,,72113151.0,ns,497
bench_medium_complex_query,diesel,10,,,77358113.0,ns,504
bench_medium_complex_query,diesel,10,,,72216752.0,ns,511
bench_medium_complex_query,diesel,10,,,73397866.0,ns,518
bench_medium_complex_query,diesel,10,,,73785205.0,ns,525
bench_medium_complex_query,diesel,10,,,74704689.0,ns,532
bench_medium_complex_query,diesel,10,,,77078021.0,ns,539
bench_medium_complex_query,diesel,10,,,78491140.0,ns,546
bench_medium_complex_query,diesel,10,,,79390951.0,ns,553
bench_medium_complex_query,diesel,10,,,80084261.0,ns,560
bench_medium_complex_query,diesel,10,,,86283542.0,ns,567
bench_medium_complex_query,diesel,10,,,81008473.0,ns,574
bench_medium_complex_query,diesel,10,,,82668695.0,ns,581
bench_medium_complex_query,diesel,10,,,83599808.0,ns,588
bench_medium_complex_query,diesel,10,,,84454818.0,ns,595
bench_medium_complex_query,diesel,10,,,86211742.0,ns,602
bench_medium_complex_query,diesel,10,,,87027852.0,ns,609
bench_medium_complex_query,diesel,10,,,87303356.0,ns,616
bench_medium_complex_query,diesel,10,,,92508626.0,ns,623
bench_medium_complex_query,diesel,10,,,89200281.0,ns,630
bench_medium_complex_query,diesel,10,,,90450998.0,ns,637
bench_medium_complex_query,diesel,10,,,92129920.0,ns,644
bench_medium_complex_query,diesel,10,,,92431024.0,ns,651
bench_medium_complex_query,diesel,10,,,92110320.0,ns,658
bench_medium_complex_query,diesel,10,,,93262635.0,ns,665
bench_medium_complex_query,diesel,10,,,95718868.0,ns,672
bench_medium_complex_query,diesel,10,,,101009338.0,ns,679
bench_medium_complex_query,diesel,10,,,98249901.0,ns,686
bench_medium_complex_query,diesel,10,,,98687807.0,ns,693
bench_medium_complex_query,diesel,10,,,99592819.0,ns,700
