group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,rusqlite_by_id,10000,,,49943529.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49936829.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49951329.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49979329.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50286230.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49949529.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50306030.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50294831.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50040930.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50156730.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50274730.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50044729.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50078230.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49896230.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50198430.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50369331.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49905229.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49975529.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50097729.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49976930.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50037330.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50020729.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50154529.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49981229.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49965729.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49772729.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49692929.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49997029.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49675429.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49679329.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,50047130.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49858029.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49849329.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49776729.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,49894329.0,ns,21
