group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rusqlite,1,,,981724.0,ns,320
bench_insert,rusqlite,1,,,1949048.0,ns,640
bench_insert,rusqlite,1,,,2792169.0,ns,960
bench_insert,rusqlite,1,,,3920696.0,ns,1280
bench_insert,rusqlite,1,,,4712515.0,ns,1600
bench_insert,rusqlite,1,,,5847443.0,ns,1920
bench_insert,rusqlite,1,,,6717465.0,ns,2240
bench_insert,rusqlite,1,,,7809991.0,ns,2560
bench_insert,rusqlite,1,,,8762915.0,ns,2880
bench_insert,rusqlite,1,,,9726739.0,ns,3200
bench_insert,rusqlite,1,,,10701662.0,ns,3520
bench_insert,rusqlite,1,,,11771389.0,ns,3840
bench_insert,rusqlite,1,,,12681611.0,ns,4160
bench_insert,rusqlite,1,,,13610834.0,ns,4480
bench_insert,rusqlite,1,,,14629158.0,ns,4800
bench_insert,rusqlite,1,,,15246674.0,ns,5120
bench_insert,rusqlite,1,,,16247798.0,ns,5440
bench_insert,rusqlite,1,,,17445328.0,ns,5760
bench_insert,rusqlite,1,,,18545455.0,ns,6080
bench_insert,rusqlite,1,,,19601981.0,ns,6400
bench_insert,rusqlite,1,,,20486202.0,ns,6720
bench_insert,rusqlite,1,,,21439726.0,ns,7040
bench_insert,rusqlite,1,,,22588154.0,ns,7360
bench_insert,rusqlite,1,,,23391074.0,ns,7680
bench_insert,rusqlite,1,,,24192994.0,ns,8000
bench_insert,rusqlite,1,,,25348221.0,ns,8320
bench_insert,rusqlite,1,,,26318846.0,ns,8640
bench_insert,rusqlite,1,,,27508274.0,ns,8960
bench_insert,rusqlite,1,,,28296094.0,ns,9280
bench_insert,rusqlite,1,,,29313118.0,ns,9600
bench_insert,rusqlite,1,,,30760054.0,ns,9920
bench_insert,rusqlite,1,,,31305667.0,ns,10240
bench_insert,rusqlite,1,,,31907782.0,ns,10560
bench_insert,rusqlite,1,,,33155213.0,ns,10880
bench_insert,rusqlite,1,,,33364618.0,ns,11200
bench_insert,rusqlite,1,,,34977258.0,ns,11520
bench_insert,rusqlite,1,,,35673888.0,ns,11840
bench_insert,rusqlite,1,,,36879218.0,ns,12160
bench_insert,rusqlite,1,,,38134050.0,ns,12480
bench_insert,rusqlite,1,,,38842068.0,ns,12800
bench_insert,rusqlite,1,,,39849292.0,ns,13120
bench_insert,rusqlite,1,,,40926119.0,ns,13440
bench_insert,rusqlite,1,,,41819142.0,ns,13760
bench_insert,rusqlite,1,,,42980971.0,ns,14080
bench_insert,rusqlite,1,,,43893194.0,ns,14400
bench_insert,rusqlite,1,,,44727914.0,ns,14720
bench_insert,rusqlite,1,,,45917044.0,ns,15040
bench_insert,rusqlite,1,,,46869268.0,ns,15360
bench_insert,rusqlite,1,,,47689288.0,ns,15680
bench_insert,rusqlite,1,,,48763715.0,ns,16000
bench_insert,rusqlite,1,,,48706313.0,ns,16320
bench_insert,rusqlite,1,,,50501259.0,ns,16640
bench_insert,rusqlite,1,,,51403780.0,ns,16960
bench_insert,rusqlite,1,,,53327728.0,ns,17280
bench_insert,rusqlite,1,,,53409130.0,ns,17600
bench_insert,rusqlite,1,,,53421231.0,ns,17920
bench_insert,rusqlite,1,,,55946994.0,ns,18240
bench_insert,rusqlite,1,,,56604311.0,ns,18560
bench_insert,rusqlite,1,,,56950019.0,ns,18880
bench_insert,rusqlite,1,,,58362154.0,ns,19200
bench_insert,rusqlite,1,,,59094572.0,ns,19520
bench_insert,rusqlite,1,,,60341303.0,ns,19840
bench_insert,rusqlite,1,,,61132123.0,ns,20160
bench_insert,rusqlite,1,,,62496157.0,ns,20480
bench_insert,rusqlite,1,,,63580184.0,ns,20800
bench_insert,rusqlite,1,,,65186724.0,ns,21120
bench_insert,rusqlite,1,,,65501332.0,ns,21440
bench_insert,rusqlite,1,,,65976144.0,ns,21760
bench_insert,rusqlite,1,,,67346377.0,ns,22080
bench_insert,rusqlite,1,,,68298002.0,ns,22400
bench_insert,rusqlite,1,,,69519732.0,ns,22720
bench_insert,rusqlite,1,,,70122947.0,ns,23040
bench_insert,rusqlite,1,,,71561383.0,ns,23360
bench_insert,rusqlite,1,,,72048095.0,ns,23680
bench_insert,rusqlite,1,,,73158523.0,ns,24000
bench_insert,rusqlite,1,,,73966243.0,ns,24320
bench_insert,rusqlite,1,,,75518682.0,ns,24640
bench_insert,rusqlite,1,,,75699586.0,ns,24960
bench_insert,rusqlite,1,,,76501105.0,ns,25280
bench_insert,rusqlite,1,,,77815339.0,ns,25600
bench_insert,rusqlite,1,,,78802863.0,ns,25920
bench_insert,rusqlite,1,,,79106971.0,ns,26240
bench_insert,rusqlite,1,,,81281725.0,ns,26560
bench_insert,rusqlite,1,,,81933041.0,ns,26880
bench_insert,rusqlite,1,,,83377777.0,ns,27200
bench_insert,rusqlite,1,,,84145696.0,ns,27520
bench_insert,rusqlite,1,,,83838489.0,ns,27840
bench_insert,rusqlite,1,,,84548007.0,ns,28160
bench_insert,rusqlite,1,,,87786787.0,ns,28480
bench_insert,rusqlite,1,,,87177771.0,ns,28800
bench_insert,rusqlite,1,,,87279974.0,ns,29120
bench_insert,rusqlite,1,,,90220948.0,ns,29440
bench_insert,rusqlite,1,,,91292075.0,ns,29760
bench_insert,rusqlite,1,,,92844113.0,ns,30080
bench_insert,rusqlite,1,,,93422928.0,ns,30400
bench_insert,rusqlite,1,,,93423428.0,ns,30720
bench_insert,rusqlite,1,,,95318475.0,ns,31040
bench_insert,rusqlite,1,,,95866388.0,ns,31360
bench_insert,rusqlite,1,,,96886714.0,ns,31680
bench_insert,rusqlite,1,,,97255423.0,ns,32000
