group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,10000,,,66573533.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,67734157.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68909980.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,71956741.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,42411649.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70073703.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,67114544.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68004262.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68333469.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,67914060.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69778798.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,67962361.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,71729536.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69835298.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68399769.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68046663.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,67648354.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,67245746.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,71265927.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69420290.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69387889.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69649095.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,73105864.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,67120273.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,67626383.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,74453723.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69853628.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69437320.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,67340377.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68604803.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70820948.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69695325.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70159534.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70048833.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70627644.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69950430.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70233436.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70936951.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70591844.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68054592.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70630445.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70140234.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68880408.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69181714.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69958931.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69676124.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70532343.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69886030.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70590944.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68245496.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70666845.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69505722.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68869808.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,71040853.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,71144655.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69629024.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,73433402.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,71042153.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69086513.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70118734.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,71593364.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69705826.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69575622.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70043532.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68445599.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68619803.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70027132.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68580203.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,68907009.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69960131.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70001132.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70592344.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69746626.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70094134.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69571323.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69466520.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70051833.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,72205877.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,71188256.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69545522.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,71221557.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70970151.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70604344.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,71687766.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70468941.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70599544.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70550643.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70249137.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70012032.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69973731.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70517442.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,69182515.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70890349.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70018032.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,73575205.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70544342.0,ns,2
bench_trivial_query,sqlx_query_as_macro,10000,,,70215436.0,ns,2
