group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,10000,,,93129518.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,92301906.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,89347665.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,86212821.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,88923158.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,97060073.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,82241664.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,72795530.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,82867573.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,99719312.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,78107405.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,76778787.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,81157749.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,95228906.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,89501272.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,80786328.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,90364986.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,102788590.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,84131483.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,85360104.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,91885710.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,93840143.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,76719961.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,100745956.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,79640209.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,99835542.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,84373588.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,78957898.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,100971660.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,86343920.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,87053432.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,94353951.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,81019217.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,113204960.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,103900633.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,85314177.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,89754337.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,79369995.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,86182088.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,80604911.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,75421540.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,89091928.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,86154788.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,87566607.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,75773144.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,78737885.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,79851601.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,81677626.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,96031324.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,80780513.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,91791965.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,86449892.0,ns,2
