group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,diesel,1,,,1730202.0,ns,3
bench_insert,diesel,1,,,3405203.0,ns,6
bench_insert,diesel,1,,,4002405.0,ns,9
bench_insert,diesel,1,,,6431907.0,ns,12
bench_insert,diesel,1,,,7564108.0,ns,15
bench_insert,diesel,1,,,9121010.0,ns,18
bench_insert,diesel,1,,,8314610.0,ns,21
bench_insert,diesel,1,,,12711515.0,ns,24
bench_insert,diesel,1,,,11323513.0,ns,27
bench_insert,diesel,1,,,12193313.0,ns,30
bench_insert,diesel,1,,,11616313.0,ns,33
bench_insert,diesel,1,,,13555915.0,ns,36
bench_insert,diesel,1,,,25875029.0,ns,39
bench_insert,diesel,1,,,16571319.0,ns,42
bench_insert,diesel,1,,,15303517.0,ns,45
bench_insert,diesel,1,,,18101220.0,ns,48
bench_insert,diesel,1,,,19569522.0,ns,51
bench_insert,diesel,1,,,18890121.0,ns,54
bench_insert,diesel,1,,,27512030.0,ns,57
bench_insert,diesel,1,,,23801230.0,ns,60
bench_insert,diesel,1,,,25651234.0,ns,63
bench_insert,diesel,1,,,24870433.0,ns,66
bench_insert,diesel,1,,,29721939.0,ns,69
bench_insert,diesel,1,,,27390636.0,ns,72
bench_insert,diesel,1,,,30288940.0,ns,75
bench_insert,diesel,1,,,33016244.0,ns,78
bench_insert,diesel,1,,,33354744.0,ns,81
bench_insert,diesel,1,,,30580241.0,ns,84
bench_insert,diesel,1,,,42525157.0,ns,87
bench_insert,diesel,1,,,35579847.0,ns,90
bench_insert,diesel,1,,,37455050.0,ns,93
bench_insert,diesel,1,,,42001556.0,ns,96
bench_insert,diesel,1,,,35989948.0,ns,99
bench_insert,diesel,1,,,43503058.0,ns,102
bench_insert,diesel,1,,,38707652.0,ns,105
bench_insert,diesel,1,,,42843257.0,ns,108
bench_insert,diesel,1,,,49152965.0,ns,111
bench_insert,diesel,1,,,43180458.0,ns,114
bench_insert,diesel,1,,,50774268.0,ns,117
bench_insert,diesel,1,,,61063381.0,ns,120
bench_insert,diesel,1,,,43242958.0,ns,123
bench_insert,diesel,1,,,50233367.0,ns,126
bench_insert,diesel,1,,,50577667.0,ns,129
bench_insert,diesel,1,,,57116676.0,ns,132
bench_insert,diesel,1,,,45972861.0,ns,135
bench_insert,diesel,1,,,51446768.0,ns,138
bench_insert,diesel,1,,,60451481.0,ns,141
bench_insert,diesel,1,,,57865277.0,ns,144
bench_insert,diesel,1,,,54770473.0,ns,147
bench_insert,diesel,1,,,54239373.0,ns,150
bench_insert,diesel,1,,,56189075.0,ns,153
bench_insert,diesel,1,,,55141173.0,ns,156
bench_insert,diesel,1,,,52241069.0,ns,159
bench_insert,diesel,1,,,71250895.0,ns,162
bench_insert,diesel,1,,,77806304.0,ns,165
bench_insert,diesel,1,,,69827993.0,ns,168
bench_insert,diesel,1,,,62179583.0,ns,171
bench_insert,diesel,1,,,79016705.0,ns,174
bench_insert,diesel,1,,,65127987.0,ns,177
bench_insert,diesel,1,,,61204281.0,ns,180
bench_insert,diesel,1,,,65828388.0,ns,183
bench_insert,diesel,1,,,69193493.0,ns,186
bench_insert,diesel,1,,,74605800.0,ns,189
bench_insert,diesel,1,,,76391002.0,ns,192
bench_insert,diesel,1,,,85496714.0,ns,195
bench_insert,diesel,1,,,88404817.0,ns,198
bench_insert,diesel,1,,,74081299.0,ns,201
bench_insert,diesel,1,,,78944705.0,ns,204
bench_insert,diesel,1,,,85043013.0,ns,207
bench_insert,diesel,1,,,83380611.0,ns,210
bench_insert,diesel,1,,,79658206.0,ns,213
bench_insert,diesel,1,,,91665622.0,ns,216
bench_insert,diesel,1,,,79747406.0,ns,219
bench_insert,diesel,1,,,83372811.0,ns,222
bench_insert,diesel,1,,,101141235.0,ns,225
bench_insert,diesel,1,,,92698423.0,ns,228
bench_insert,diesel,1,,,87392316.0,ns,231
bench_insert,diesel,1,,,99703533.0,ns,234
bench_insert,diesel,1,,,90121120.0,ns,237
bench_insert,diesel,1,,,113127151.0,ns,240
bench_insert,diesel,1,,,98969633.0,ns,243
bench_insert,diesel,1,,,90263630.0,ns,246
bench_insert,diesel,1,,,87652127.0,ns,249
bench_insert,diesel,1,,,95206537.0,ns,252
bench_insert,diesel,1,,,96414840.0,ns,255
bench_insert,diesel,1,,,100676445.0,ns,258
bench_insert,diesel,1,,,107598456.0,ns,261
bench_insert,diesel,1,,,98530142.0,ns,264
bench_insert,diesel,1,,,109667258.0,ns,267
bench_insert,diesel,1,,,99445144.0,ns,270
bench_insert,diesel,1,,,120691675.0,ns,273
bench_insert,diesel,1,,,113072763.0,ns,276
bench_insert,diesel,1,,,106281654.0,ns,279
bench_insert,diesel,1,,,106775755.0,ns,282
bench_insert,diesel,1,,,99654845.0,ns,285
bench_insert,diesel,1,,,123688979.0,ns,288
bench_insert,diesel,1,,,125077980.0,ns,291
bench_insert,diesel,1,,,111755062.0,ns,294
bench_insert,diesel,1,,,122035476.0,ns,297
bench_insert,diesel,1,,,134107294.0,ns,300
