group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,10000,,,59922910.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,56930935.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57070239.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,59318196.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,58528575.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,59442899.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,52246617.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,55601202.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,58098165.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,75643707.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,59755106.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57629653.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,58834683.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,59638604.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,53243442.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,55745905.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,58918385.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,60811933.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,55523700.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57618852.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,63006588.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,60544926.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,58254568.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,54606577.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57254743.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,50484572.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,54976686.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57453748.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,58310370.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,59398498.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57401247.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57736855.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,59457599.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,59590002.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,54487573.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,61851359.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57638253.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57388746.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,50403571.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,54747780.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57366446.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,60392623.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,61796257.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,54822282.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,59735805.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,60806332.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,60079414.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,59235293.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57281344.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,53552450.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,54197166.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,51757204.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,58027463.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,57074839.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,62459474.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,59035388.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,58355577.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,61460180.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,60793263.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,60739662.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,56616556.0,ns,3
bench_medium_complex_query,sea-orm,10000,,,60361352.0,ns,3
