group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,10000,,,48487399.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50224624.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49942104.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,47956160.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,51052884.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49850197.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49634781.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,47888456.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,52128061.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,47784848.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49510372.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49168548.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50040011.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48203678.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48087070.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49201250.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48259683.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48380091.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49886800.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49083842.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49195950.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48062068.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49192050.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48066469.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48913529.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49614880.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49991407.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50462542.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50412137.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50124917.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50104216.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,55640015.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,51654028.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49594379.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,52544291.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,45955616.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,45128256.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,52634798.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49123945.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48857526.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,47615336.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50756262.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48766219.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48644711.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,51802938.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49105044.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50076614.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49821395.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49701687.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48685112.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48349584.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49540069.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50960372.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,55805321.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,48010259.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50541741.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,54979361.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50080008.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,56243052.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50794960.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50762057.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,56251353.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49802588.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49472565.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,47144396.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,47032089.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,49140640.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,47903251.0,ns,1
bench_trivial_query,sqlx_query_as_macro,10000,,,50868165.0,ns,1
