group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_as_macro,10,,,1868813.0,ns,5
bench_medium_complex_query,sqlx_query_as_macro,10,,,2861019.0,ns,10
bench_medium_complex_query,sqlx_query_as_macro,10,,,3959527.0,ns,15
bench_medium_complex_query,sqlx_query_as_macro,10,,,5297535.0,ns,20
bench_medium_complex_query,sqlx_query_as_macro,10,,,6193241.0,ns,25
bench_medium_complex_query,sqlx_query_as_macro,10,,,6938346.0,ns,30
bench_medium_complex_query,sqlx_query_as_macro,10,,,8196754.0,ns,35
bench_medium_complex_query,sqlx_query_as_macro,10,,,9059959.0,ns,40
bench_medium_complex_query,sqlx_query_as_macro,10,,,9762864.0,ns,45
bench_medium_complex_query,sqlx_query_as_macro,10,,,10972472.0,ns,50
bench_medium_complex_query,sqlx_query_as_macro,10,,,11941179.0,ns,55
bench_medium_complex_query,sqlx_query_as_macro,10,,,13529089.0,ns,60
bench_medium_complex_query,sqlx_query_as_macro,10,,,13997392.0,ns,65
bench_medium_complex_query,sqlx_query_as_macro,10,,,15318501.0,ns,70
bench_medium_complex_query,sqlx_query_as_macro,10,,,16095406.0,ns,75
bench_medium_complex_query,sqlx_query_as_macro,10,,,17027412.0,ns,80
bench_medium_complex_query,sqlx_query_as_macro,10,,,18717323.0,ns,85
bench_medium_complex_query,sqlx_query_as_macro,10,,,18984525.0,ns,90
bench_medium_complex_query,sqlx_query_as_macro,10,,,19933031.0,ns,95
bench_medium_complex_query,sqlx_query_as_macro,10,,,20943738.0,ns,100
bench_medium_complex_query,sqlx_query_as_macro,10,,,22338247.0,ns,105
bench_medium_complex_query,sqlx_query_as_macro,10,,,22929151.0,ns,110
bench_medium_complex_query,sqlx_query_as_macro,10,,,24197060.0,ns,115
bench_medium_complex_query,sqlx_query_as_macro,10,,,25734469.0,ns,120
bench_medium_complex_query,sqlx_query_as_macro,10,,,26762977.0,ns,125
bench_medium_complex_query,sqlx_query_as_macro,10,,,27623082.0,ns,130
bench_medium_complex_query,sqlx_query_as_macro,10,,,28448888.0,ns,135
bench_medium_complex_query,sqlx_query_as_macro,10,,,29171192.0,ns,140
bench_medium_complex_query,sqlx_query_as_macro,10,,,31095804.0,ns,145
bench_medium_complex_query,sqlx_query_as_macro,10,,,32741115.0,ns,150
bench_medium_complex_query,sqlx_query_as_macro,10,,,32535614.0,ns,155
bench_medium_complex_query,sqlx_query_as_macro,10,,,33541821.0,ns,160
bench_medium_complex_query,sqlx_query_as_macro,10,,,34701929.0,ns,165
bench_medium_complex_query,sqlx_query_as_macro,10,,,35004131.0,ns,170
bench_medium_complex_query,sqlx_query_as_macro,10,,,39196858.0,ns,175
bench_medium_complex_query,sqlx_query_as_macro,10,,,37584547.0,ns,180
bench_medium_complex_query,sqlx_query_as_macro,10,,,38417653.0,ns,185
bench_medium_complex_query,sqlx_query_as_macro,10,,,39267458.0,ns,190
bench_medium_complex_query,sqlx_query_as_macro,10,,,40842669.0,ns,195
bench_medium_complex_query,sqlx_query_as_macro,10,,,41224471.0,ns,200
bench_medium_complex_query,sqlx_query_as_macro,10,,,43299385.0,ns,205
bench_medium_complex_query,sqlx_query_as_macro,10,,,42999284.0,ns,210
bench_medium_complex_query,sqlx_query_as_macro,10,,,43772288.0,ns,215
bench_medium_complex_query,sqlx_query_as_macro,10,,,45978302.0,ns,220
bench_medium_complex_query,sqlx_query_as_macro,10,,,46553106.0,ns,225
bench_medium_complex_query,sqlx_query_as_macro,10,,,47431812.0,ns,230
bench_medium_complex_query,sqlx_query_as_macro,10,,,48433118.0,ns,235
bench_medium_complex_query,sqlx_query_as_macro,10,,,49656027.0,ns,240
bench_medium_complex_query,sqlx_query_as_macro,10,,,50352431.0,ns,245
bench_medium_complex_query,sqlx_query_as_macro,10,,,51494438.0,ns,250
bench_medium_complex_query,sqlx_query_as_macro,10,,,56337770.0,ns,255
bench_medium_complex_query,sqlx_query_as_macro,10,,,51997441.0,ns,260
bench_medium_complex_query,sqlx_query_as_macro,10,,,54717560.0,ns,265
bench_medium_complex_query,sqlx_query_as_macro,10,,,56102069.0,ns,270
bench_medium_complex_query,sqlx_query_as_macro,10,,,56844374.0,ns,275
bench_medium_complex_query,sqlx_query_as_macro,10,,,57682779.0,ns,280
bench_medium_complex_query,sqlx_query_as_macro,10,,,58601285.0,ns,285
bench_medium_complex_query,sqlx_query_as_macro,10,,,59222190.0,ns,290
bench_medium_complex_query,sqlx_query_as_macro,10,,,61715906.0,ns,295
bench_medium_complex_query,sqlx_query_as_macro,10,,,61784906.0,ns,300
bench_medium_complex_query,sqlx_query_as_macro,10,,,61626405.0,ns,305
bench_medium_complex_query,sqlx_query_as_macro,10,,,64258523.0,ns,310
bench_medium_complex_query,sqlx_query_as_macro,10,,,65420431.0,ns,315
bench_medium_complex_query,sqlx_query_as_macro,10,,,65593231.0,ns,320
bench_medium_complex_query,sqlx_query_as_macro,10,,,65899933.0,ns,325
bench_medium_complex_query,sqlx_query_as_macro,10,,,67943947.0,ns,330
bench_medium_complex_query,sqlx_query_as_macro,10,,,67164741.0,ns,335
bench_medium_complex_query,sqlx_query_as_macro,10,,,70700465.0,ns,340
bench_medium_complex_query,sqlx_query_as_macro,10,,,70889166.0,ns,345
bench_medium_complex_query,sqlx_query_as_macro,10,,,70766265.0,ns,350
bench_medium_complex_query,sqlx_query_as_macro,10,,,72676278.0,ns,355
bench_medium_complex_query,sqlx_query_as_macro,10,,,79606324.0,ns,360
bench_medium_complex_query,sqlx_query_as_macro,10,,,75488096.0,ns,365
bench_medium_complex_query,sqlx_query_as_macro,10,,,80247228.0,ns,370
bench_medium_complex_query,sqlx_query_as_macro,10,,,77475010.0,ns,375
bench_medium_complex_query,sqlx_query_as_macro,10,,,76048400.0,ns,380
bench_medium_complex_query,sqlx_query_as_macro,10,,,79631024.0,ns,385
bench_medium_complex_query,sqlx_query_as_macro,10,,,79926426.0,ns,390
bench_medium_complex_query,sqlx_query_as_macro,10,,,79617624.0,ns,395
bench_medium_complex_query,sqlx_query_as_macro,10,,,81796338.0,ns,400
bench_medium_complex_query,sqlx_query_as_macro,10,,,83437549.0,ns,405
bench_medium_complex_query,sqlx_query_as_macro,10,,,85777964.0,ns,410
bench_medium_complex_query,sqlx_query_as_macro,10,,,86729071.0,ns,415
bench_medium_complex_query,sqlx_query_as_macro,10,,,89980992.0,ns,420
bench_medium_complex_query,sqlx_query_as_macro,10,,,86399368.0,ns,425
bench_medium_complex_query,sqlx_query_as_macro,10,,,88945784.0,ns,430
bench_medium_complex_query,sqlx_query_as_macro,10,,,89671190.0,ns,435
bench_medium_complex_query,sqlx_query_as_macro,10,,,89869791.0,ns,440
bench_medium_complex_query,sqlx_query_as_macro,10,,,91600302.0,ns,445
bench_medium_complex_query,sqlx_query_as_macro,10,,,91357800.0,ns,450
bench_medium_complex_query,sqlx_query_as_macro,10,,,94696723.0,ns,455
bench_medium_complex_query,sqlx_query_as_macro,10,,,94358421.0,ns,460
bench_medium_complex_query,sqlx_query_as_macro,10,,,95513528.0,ns,465
bench_medium_complex_query,sqlx_query_as_macro,10,,,94445921.0,ns,470
bench_medium_complex_query,sqlx_query_as_macro,10,,,96869737.0,ns,475
bench_medium_complex_query,sqlx_query_as_macro,10,,,104180487.0,ns,480
bench_medium_complex_query,sqlx_query_as_macro,10,,,98291849.0,ns,485
bench_medium_complex_query,sqlx_query_as_macro,10,,,101122667.0,ns,490
bench_medium_complex_query,sqlx_query_as_macro,10,,,101764671.0,ns,495
bench_medium_complex_query,sqlx_query_as_macro,10,,,102689378.0,ns,500
