group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sea-orm,10,,,1058403.0,ns,14
bench_insert,sea-orm,10,,,1966804.0,ns,28
bench_insert,sea-orm,10,,,2906306.0,ns,42
bench_insert,sea-orm,10,,,3873409.0,ns,56
bench_insert,sea-orm,10,,,4822011.0,ns,70
bench_insert,sea-orm,10,,,6075614.0,ns,84
bench_insert,sea-orm,10,,,6786216.0,ns,98
bench_insert,sea-orm,10,,,7561617.0,ns,112
bench_insert,sea-orm,10,,,8307019.0,ns,126
bench_insert,sea-orm,10,,,9458521.0,ns,140
bench_insert,sea-orm,10,,,9674622.0,ns,154
bench_insert,sea-orm,10,,,9862123.0,ns,168
bench_insert,sea-orm,10,,,12430928.0,ns,182
bench_insert,sea-orm,10,,,12980729.0,ns,196
bench_insert,sea-orm,10,,,12278328.0,ns,210
bench_insert,sea-orm,10,,,15113034.0,ns,224
bench_insert,sea-orm,10,,,16020837.0,ns,238
bench_insert,sea-orm,10,,,17294039.0,ns,252
bench_insert,sea-orm,10,,,18210642.0,ns,266
bench_insert,sea-orm,10,,,19632945.0,ns,280
bench_insert,sea-orm,10,,,19967945.0,ns,294
bench_insert,sea-orm,10,,,21041548.0,ns,308
bench_insert,sea-orm,10,,,21859950.0,ns,322
bench_insert,sea-orm,10,,,22953053.0,ns,336
bench_insert,sea-orm,10,,,20701647.0,ns,350
bench_insert,sea-orm,10,,,21263548.0,ns,364
bench_insert,sea-orm,10,,,24594856.0,ns,378
bench_insert,sea-orm,10,,,25985759.0,ns,392
bench_insert,sea-orm,10,,,24681756.0,ns,406
bench_insert,sea-orm,10,,,25436458.0,ns,420
bench_insert,sea-orm,10,,,31072471.0,ns,434
bench_insert,sea-orm,10,,,32914975.0,ns,448
bench_insert,sea-orm,10,,,33426877.0,ns,462
bench_insert,sea-orm,10,,,39413989.0,ns,476
bench_insert,sea-orm,10,,,44084500.0,ns,490
bench_insert,sea-orm,10,,,41757395.0,ns,504
bench_insert,sea-orm,10,,,34967480.0,ns,518
bench_insert,sea-orm,10,,,37227385.0,ns,532
bench_insert,sea-orm,10,,,39361090.0,ns,546
bench_insert,sea-orm,10,,,39961591.0,ns,560
bench_insert,sea-orm,10,,,41410595.0,ns,574
bench_insert,sea-orm,10,,,42920298.0,ns,588
bench_insert,sea-orm,10,,,43607099.0,ns,602
bench_insert,sea-orm,10,,,45096203.0,ns,616
bench_insert,sea-orm,10,,,45759705.0,ns,630
bench_insert,sea-orm,10,,,47975909.0,ns,644
bench_insert,sea-orm,10,,,39357490.0,ns,658
bench_insert,sea-orm,10,,,48042010.0,ns,672
bench_insert,sea-orm,10,,,51176817.0,ns,686
bench_insert,sea-orm,10,,,51634818.0,ns,700
bench_insert,sea-orm,10,,,51823518.0,ns,714
bench_insert,sea-orm,10,,,53221921.0,ns,728
bench_insert,sea-orm,10,,,54842726.0,ns,742
bench_insert,sea-orm,10,,,47060208.0,ns,756
bench_insert,sea-orm,10,,,56719029.0,ns,770
bench_insert,sea-orm,10,,,57970432.0,ns,784
bench_insert,sea-orm,10,,,59386936.0,ns,798
bench_insert,sea-orm,10,,,60559338.0,ns,812
bench_insert,sea-orm,10,,,59780778.0,ns,826
bench_insert,sea-orm,10,,,57027759.0,ns,840
bench_insert,sea-orm,10,,,49869714.0,ns,854
bench_insert,sea-orm,10,,,62565794.0,ns,868
bench_insert,sea-orm,10,,,62931197.0,ns,882
bench_insert,sea-orm,10,,,65931915.0,ns,896
bench_insert,sea-orm,10,,,66147316.0,ns,910
bench_insert,sea-orm,10,,,65490913.0,ns,924
bench_insert,sea-orm,10,,,65975216.0,ns,938
bench_insert,sea-orm,10,,,70362843.0,ns,952
bench_insert,sea-orm,10,,,71865953.0,ns,966
bench_insert,sea-orm,10,,,71418750.0,ns,980
bench_insert,sea-orm,10,,,73326062.0,ns,994
bench_insert,sea-orm,10,,,75125374.0,ns,1008
bench_insert,sea-orm,10,,,74901272.0,ns,1022
bench_insert,sea-orm,10,,,74261868.0,ns,1036
bench_insert,sea-orm,10,,,74579170.0,ns,1050
bench_insert,sea-orm,10,,,54584144.0,ns,1064
bench_insert,sea-orm,10,,,60740583.0,ns,1078
bench_insert,sea-orm,10,,,77358686.0,ns,1092
bench_insert,sea-orm,10,,,86816345.0,ns,1106
bench_insert,sea-orm,10,,,74018865.0,ns,1120
bench_insert,sea-orm,10,,,84101629.0,ns,1134
bench_insert,sea-orm,10,,,84703132.0,ns,1148
bench_insert,sea-orm,10,,,67152322.0,ns,1162
bench_insert,sea-orm,10,,,77364986.0,ns,1176
bench_insert,sea-orm,10,,,64432604.0,ns,1190
bench_insert,sea-orm,10,,,89499862.0,ns,1204
bench_insert,sea-orm,10,,,89298561.0,ns,1218
bench_insert,sea-orm,10,,,76825783.0,ns,1232
bench_insert,sea-orm,10,,,91296873.0,ns,1246
bench_insert,sea-orm,10,,,90400268.0,ns,1260
bench_insert,sea-orm,10,,,71899251.0,ns,1274
bench_insert,sea-orm,10,,,79096397.0,ns,1288
bench_insert,sea-orm,10,,,97424412.0,ns,1302
bench_insert,sea-orm,10,,,97249911.0,ns,1316
bench_insert,sea-orm,10,,,83798526.0,ns,1330
bench_insert,sea-orm,10,,,90545169.0,ns,1344
bench_insert,sea-orm,10,,,100092229.0,ns,1358
bench_insert,sea-orm,10,,,94328093.0,ns,1372
bench_insert,sea-orm,10,,,91745076.0,ns,1386
bench_insert,sea-orm,10,,,85027934.0,ns,1400
