group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_from_row,10,,,1243603.0,ns,10
bench_trivial_query,sqlx_query_from_row,10,,,2234306.0,ns,20
bench_trivial_query,sqlx_query_from_row,10,,,4164011.0,ns,30
bench_trivial_query,sqlx_query_from_row,10,,,4702211.0,ns,40
bench_trivial_query,sqlx_query_from_row,10,,,5325713.0,ns,50
bench_trivial_query,sqlx_query_from_row,10,,,6488916.0,ns,60
bench_trivial_query,sqlx_query_from_row,10,,,8682121.0,ns,70
bench_trivial_query,sqlx_query_from_row,10,,,8547221.0,ns,80
bench_trivial_query,sqlx_query_from_row,10,,,9659127.0,ns,90
bench_trivial_query,sqlx_query_from_row,10,,,10607529.0,ns,100
bench_trivial_query,sqlx_query_from_row,10,,,11843133.0,ns,110
bench_trivial_query,sqlx_query_from_row,10,,,13642237.0,ns,120
bench_trivial_query,sqlx_query_from_row,10,,,18845152.0,ns,130
bench_trivial_query,sqlx_query_from_row,10,,,16041444.0,ns,140
bench_trivial_query,sqlx_query_from_row,10,,,19217753.0,ns,150
bench_trivial_query,sqlx_query_from_row,10,,,16857947.0,ns,160
bench_trivial_query,sqlx_query_from_row,10,,,19737355.0,ns,170
bench_trivial_query,sqlx_query_from_row,10,,,19763134.0,ns,180
bench_trivial_query,sqlx_query_from_row,10,,,20618535.0,ns,190
bench_trivial_query,sqlx_query_from_row,10,,,23449440.0,ns,200
bench_trivial_query,sqlx_query_from_row,10,,,23669840.0,ns,210
bench_trivial_query,sqlx_query_from_row,10,,,23236339.0,ns,220
bench_trivial_query,sqlx_query_from_row,10,,,27580846.0,ns,230
bench_trivial_query,sqlx_query_from_row,10,,,26923146.0,ns,240
bench_trivial_query,sqlx_query_from_row,10,,,28265548.0,ns,250
bench_trivial_query,sqlx_query_from_row,10,,,32753956.0,ns,260
bench_trivial_query,sqlx_query_from_row,10,,,28461049.0,ns,270
bench_trivial_query,sqlx_query_from_row,10,,,33572156.0,ns,280
bench_trivial_query,sqlx_query_from_row,10,,,31482053.0,ns,290
bench_trivial_query,sqlx_query_from_row,10,,,32762256.0,ns,300
bench_trivial_query,sqlx_query_from_row,10,,,34873759.0,ns,310
bench_trivial_query,sqlx_query_from_row,10,,,33786457.0,ns,320
bench_trivial_query,sqlx_query_from_row,10,,,38287065.0,ns,330
bench_trivial_query,sqlx_query_from_row,10,,,36931962.0,ns,340
bench_trivial_query,sqlx_query_from_row,10,,,36495562.0,ns,350
bench_trivial_query,sqlx_query_from_row,10,,,39833667.0,ns,360
bench_trivial_query,sqlx_query_from_row,10,,,43496974.0,ns,370
bench_trivial_query,sqlx_query_from_row,10,,,39202266.0,ns,380
bench_trivial_query,sqlx_query_from_row,10,,,40634468.0,ns,390
bench_trivial_query,sqlx_query_from_row,10,,,46862680.0,ns,400
bench_trivial_query,sqlx_query_from_row,10,,,42711972.0,ns,410
bench_trivial_query,sqlx_query_from_row,10,,,50364985.0,ns,420
bench_trivial_query,sqlx_query_from_row,10,,,46322779.0,ns,430
bench_trivial_query,sqlx_query_from_row,10,,,46378126.0,ns,440
bench_trivial_query,sqlx_query_from_row,10,,,46334426.0,ns,450
bench_trivial_query,sqlx_query_from_row,10,,,49072334.0,ns,460
bench_trivial_query,sqlx_query_from_row,10,,,49600935.0,ns,470
bench_trivial_query,sqlx_query_from_row,10,,,51395840.0,ns,480
bench_trivial_query,sqlx_query_from_row,10,,,52006641.0,ns,490
bench_trivial_query,sqlx_query_from_row,10,,,58416559.0,ns,500
bench_trivial_query,sqlx_query_from_row,10,,,58418959.0,ns,510
bench_trivial_query,sqlx_query_from_row,10,,,59356861.0,ns,520
bench_trivial_query,sqlx_query_from_row,10,,,59546762.0,ns,530
bench_trivial_query,sqlx_query_from_row,10,,,56830355.0,ns,540
bench_trivial_query,sqlx_query_from_row,10,,,66034379.0,ns,550
bench_trivial_query,sqlx_query_from_row,10,,,64454875.0,ns,560
bench_trivial_query,sqlx_query_from_row,10,,,67273782.0,ns,570
bench_trivial_query,sqlx_query_from_row,10,,,59602962.0,ns,580
bench_trivial_query,sqlx_query_from_row,10,,,69658489.0,ns,590
bench_trivial_query,sqlx_query_from_row,10,,,62131369.0,ns,600
bench_trivial_query,sqlx_query_from_row,10,,,68278885.0,ns,610
bench_trivial_query,sqlx_query_from_row,10,,,66428180.0,ns,620
bench_trivial_query,sqlx_query_from_row,10,,,71053994.0,ns,630
bench_trivial_query,sqlx_query_from_row,10,,,70944993.0,ns,640
bench_trivial_query,sqlx_query_from_row,10,,,70573792.0,ns,650
bench_trivial_query,sqlx_query_from_row,10,,,71864996.0,ns,660
bench_trivial_query,sqlx_query_from_row,10,,,72906898.0,ns,670
bench_trivial_query,sqlx_query_from_row,10,,,92274150.0,ns,680
bench_trivial_query,sqlx_query_from_row,10,,,74725403.0,ns,690
bench_trivial_query,sqlx_query_from_row,10,,,74052001.0,ns,700
bench_trivial_query,sqlx_query_from_row,10,,,81654819.0,ns,710
bench_trivial_query,sqlx_query_from_row,10,,,78323707.0,ns,720
bench_trivial_query,sqlx_query_from_row,10,,,79636511.0,ns,730
bench_trivial_query,sqlx_query_from_row,10,,,88936736.0,ns,740
bench_trivial_query,sqlx_query_from_row,10,,,102706772.0,ns,750
bench_trivial_query,sqlx_query_from_row,10,,,83272421.0,ns,760
bench_trivial_query,sqlx_query_from_row,10,,,83970523.0,ns,770
bench_trivial_query,sqlx_query_from_row,10,,,83588722.0,ns,780
bench_trivial_query,sqlx_query_from_row,10,,,97528059.0,ns,790
bench_trivial_query,sqlx_query_from_row,10,,,86584430.0,ns,800
bench_trivial_query,sqlx_query_from_row,10,,,92106444.0,ns,810
bench_trivial_query,sqlx_query_from_row,10,,,90298740.0,ns,820
bench_trivial_query,sqlx_query_from_row,10,,,85875228.0,ns,830
bench_trivial_query,sqlx_query_from_row,10,,,88197733.0,ns,840
bench_trivial_query,sqlx_query_from_row,10,,,101361469.0,ns,850
bench_trivial_query,sqlx_query_from_row,10,,,89781538.0,ns,860
bench_trivial_query,sqlx_query_from_row,10,,,92733046.0,ns,870
bench_trivial_query,sqlx_query_from_row,10,,,91006741.0,ns,880
bench_trivial_query,sqlx_query_from_row,10,,,93276848.0,ns,890
bench_trivial_query,sqlx_query_from_row,10,,,93498548.0,ns,900
bench_trivial_query,sqlx_query_from_row,10,,,94309250.0,ns,910
bench_trivial_query,sqlx_query_from_row,10,,,96114754.0,ns,920
bench_trivial_query,sqlx_query_from_row,10,,,95941755.0,ns,930
bench_trivial_query,sqlx_query_from_row,10,,,103253374.0,ns,940
bench_trivial_query,sqlx_query_from_row,10,,,107077684.0,ns,950
bench_trivial_query,sqlx_query_from_row,10,,,113042900.0,ns,960
bench_trivial_query,sqlx_query_from_row,10,,,110636194.0,ns,970
bench_trivial_query,sqlx_query_from_row,10,,,106056982.0,ns,980
bench_trivial_query,sqlx_query_from_row,10,,,118630315.0,ns,990
bench_trivial_query,sqlx_query_from_row,10,,,106798983.0,ns,1000
