group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,1,,,940233.0,ns,29
bench_trivial_query,sqlx_query_as_macro,1,,,1769851.0,ns,58
bench_trivial_query,sqlx_query_as_macro,1,,,2684480.0,ns,87
bench_trivial_query,sqlx_query_as_macro,1,,,3578007.0,ns,116
bench_trivial_query,sqlx_query_as_macro,1,,,4482235.0,ns,145
bench_trivial_query,sqlx_query_as_macro,1,,,5329855.0,ns,174
bench_trivial_query,sqlx_query_as_macro,1,,,6362701.0,ns,203
bench_trivial_query,sqlx_query_as_macro,1,,,7214322.0,ns,232
bench_trivial_query,sqlx_query_as_macro,1,,,8075044.0,ns,261
bench_trivial_query,sqlx_query_as_macro,1,,,8988974.0,ns,290
bench_trivial_query,sqlx_query_as_macro,1,,,9864297.0,ns,319
bench_trivial_query,sqlx_query_as_macro,1,,,10758224.0,ns,348
bench_trivial_query,sqlx_query_as_macro,1,,,12543076.0,ns,377
bench_trivial_query,sqlx_query_as_macro,1,,,12755807.0,ns,406
bench_trivial_query,sqlx_query_as_macro,1,,,13593625.0,ns,435
bench_trivial_query,sqlx_query_as_macro,1,,,14770192.0,ns,464
bench_trivial_query,sqlx_query_as_macro,1,,,15554103.0,ns,493
bench_trivial_query,sqlx_query_as_macro,1,,,16301009.0,ns,522
bench_trivial_query,sqlx_query_as_macro,1,,,17092521.0,ns,551
bench_trivial_query,sqlx_query_as_macro,1,,,18368401.0,ns,580
bench_trivial_query,sqlx_query_as_macro,1,,,19565171.0,ns,609
bench_trivial_query,sqlx_query_as_macro,1,,,20838451.0,ns,638
bench_trivial_query,sqlx_query_as_macro,1,,,21416433.0,ns,667
bench_trivial_query,sqlx_query_as_macro,1,,,22406273.0,ns,696
bench_trivial_query,sqlx_query_as_macro,1,,,24279039.0,ns,725
bench_trivial_query,sqlx_query_as_macro,1,,,24977538.0,ns,754
bench_trivial_query,sqlx_query_as_macro,1,,,25355091.0,ns,783
bench_trivial_query,sqlx_query_as_macro,1,,,26715684.0,ns,812
bench_trivial_query,sqlx_query_as_macro,1,,,27442986.0,ns,841
bench_trivial_query,sqlx_query_as_macro,1,,,28322112.0,ns,870
bench_trivial_query,sqlx_query_as_macro,1,,,29742312.0,ns,899
