group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,10,,,1169420.0,ns,10
bench_trivial_query,sqlx_query_as_macro,10,,,2142935.0,ns,20
bench_trivial_query,sqlx_query_as_macro,10,,,3020050.0,ns,30
bench_trivial_query,sqlx_query_as_macro,10,,,3951866.0,ns,40
bench_trivial_query,sqlx_query_as_macro,10,,,4845680.0,ns,50
bench_trivial_query,sqlx_query_as_macro,10,,,5851997.0,ns,60
bench_trivial_query,sqlx_query_as_macro,10,,,7929831.0,ns,70
bench_trivial_query,sqlx_query_as_macro,10,,,7678627.0,ns,80
bench_trivial_query,sqlx_query_as_macro,10,,,8622242.0,ns,90
bench_trivial_query,sqlx_query_as_macro,10,,,9759062.0,ns,100
bench_trivial_query,sqlx_query_as_macro,10,,,10535174.0,ns,110
bench_trivial_query,sqlx_query_as_macro,10,,,11547091.0,ns,120
bench_trivial_query,sqlx_query_as_macro,10,,,12946014.0,ns,130
bench_trivial_query,sqlx_query_as_macro,10,,,13766628.0,ns,140
bench_trivial_query,sqlx_query_as_macro,10,,,14444039.0,ns,150
bench_trivial_query,sqlx_query_as_macro,10,,,16208168.0,ns,160
bench_trivial_query,sqlx_query_as_macro,10,,,16734077.0,ns,170
bench_trivial_query,sqlx_query_as_macro,10,,,17102983.0,ns,180
bench_trivial_query,sqlx_query_as_macro,10,,,18431105.0,ns,190
bench_trivial_query,sqlx_query_as_macro,10,,,19380721.0,ns,200
bench_trivial_query,sqlx_query_as_macro,10,,,20351836.0,ns,210
bench_trivial_query,sqlx_query_as_macro,10,,,21762960.0,ns,220
bench_trivial_query,sqlx_query_as_macro,10,,,36809009.0,ns,230
bench_trivial_query,sqlx_query_as_macro,10,,,23376587.0,ns,240
bench_trivial_query,sqlx_query_as_macro,10,,,23928396.0,ns,250
bench_trivial_query,sqlx_query_as_macro,10,,,27279151.0,ns,260
bench_trivial_query,sqlx_query_as_macro,10,,,28189266.0,ns,270
bench_trivial_query,sqlx_query_as_macro,10,,,36074097.0,ns,280
bench_trivial_query,sqlx_query_as_macro,10,,,28950779.0,ns,290
bench_trivial_query,sqlx_query_as_macro,10,,,30176099.0,ns,300
bench_trivial_query,sqlx_query_as_macro,10,,,36002396.0,ns,310
bench_trivial_query,sqlx_query_as_macro,10,,,34981179.0,ns,320
bench_trivial_query,sqlx_query_as_macro,10,,,31935529.0,ns,330
bench_trivial_query,sqlx_query_as_macro,10,,,33141948.0,ns,340
bench_trivial_query,sqlx_query_as_macro,10,,,34684074.0,ns,350
bench_trivial_query,sqlx_query_as_macro,10,,,34929778.0,ns,360
bench_trivial_query,sqlx_query_as_macro,10,,,36701107.0,ns,370
bench_trivial_query,sqlx_query_as_macro,10,,,36696607.0,ns,380
bench_trivial_query,sqlx_query_as_macro,10,,,38448236.0,ns,390
bench_trivial_query,sqlx_query_as_macro,10,,,39075146.0,ns,400
bench_trivial_query,sqlx_query_as_macro,10,,,39836559.0,ns,410
bench_trivial_query,sqlx_query_as_macro,10,,,40495470.0,ns,420
bench_trivial_query,sqlx_query_as_macro,10,,,42729107.0,ns,430
bench_trivial_query,sqlx_query_as_macro,10,,,49169313.0,ns,440
bench_trivial_query,sqlx_query_as_macro,10,,,44722540.0,ns,450
bench_trivial_query,sqlx_query_as_macro,10,,,44876243.0,ns,460
bench_trivial_query,sqlx_query_as_macro,10,,,46216665.0,ns,470
bench_trivial_query,sqlx_query_as_macro,10,,,47242882.0,ns,480
bench_trivial_query,sqlx_query_as_macro,10,,,48165197.0,ns,490
bench_trivial_query,sqlx_query_as_macro,10,,,49023811.0,ns,500
bench_trivial_query,sqlx_query_as_macro,10,,,55091712.0,ns,510
bench_trivial_query,sqlx_query_as_macro,10,,,52094863.0,ns,520
bench_trivial_query,sqlx_query_as_macro,10,,,51864858.0,ns,530
bench_trivial_query,sqlx_query_as_macro,10,,,58469168.0,ns,540
bench_trivial_query,sqlx_query_as_macro,10,,,61420016.0,ns,550
bench_trivial_query,sqlx_query_as_macro,10,,,54805807.0,ns,560
bench_trivial_query,sqlx_query_as_macro,10,,,55658922.0,ns,570
bench_trivial_query,sqlx_query_as_macro,10,,,63097044.0,ns,580
bench_trivial_query,sqlx_query_as_macro,10,,,61940025.0,ns,590
bench_trivial_query,sqlx_query_as_macro,10,,,68257729.0,ns,600
bench_trivial_query,sqlx_query_as_macro,10,,,61389416.0,ns,610
bench_trivial_query,sqlx_query_as_macro,10,,,73137010.0,ns,620
bench_trivial_query,sqlx_query_as_macro,10,,,61769422.0,ns,630
bench_trivial_query,sqlx_query_as_macro,10,,,64111640.0,ns,640
bench_trivial_query,sqlx_query_as_macro,10,,,65802459.0,ns,650
bench_trivial_query,sqlx_query_as_macro,10,,,65115451.0,ns,660
bench_trivial_query,sqlx_query_as_macro,10,,,69184398.0,ns,670
bench_trivial_query,sqlx_query_as_macro,10,,,72085631.0,ns,680
bench_trivial_query,sqlx_query_as_macro,10,,,67663180.0,ns,690
bench_trivial_query,sqlx_query_as_macro,10,,,83612064.0,ns,700
bench_trivial_query,sqlx_query_as_macro,10,,,73706550.0,ns,710
bench_trivial_query,sqlx_query_as_macro,10,,,71340123.0,ns,720
bench_trivial_query,sqlx_query_as_macro,10,,,75669073.0,ns,730
bench_trivial_query,sqlx_query_as_macro,10,,,73590349.0,ns,740
bench_trivial_query,sqlx_query_as_macro,10,,,74812263.0,ns,750
bench_trivial_query,sqlx_query_as_macro,10,,,75330569.0,ns,760
bench_trivial_query,sqlx_query_as_macro,10,,,75322968.0,ns,770
bench_trivial_query,sqlx_query_as_macro,10,,,77748397.0,ns,780
bench_trivial_query,sqlx_query_as_macro,10,,,78327803.0,ns,790
bench_trivial_query,sqlx_query_as_macro,10,,,79021012.0,ns,800
bench_trivial_query,sqlx_query_as_macro,10,,,83778266.0,ns,810
bench_trivial_query,sqlx_query_as_macro,10,,,81375139.0,ns,820
bench_trivial_query,sqlx_query_as_macro,10,,,81484840.0,ns,830
bench_trivial_query,sqlx_query_as_macro,10,,,83473462.0,ns,840
bench_trivial_query,sqlx_query_as_macro,10,,,85999092.0,ns,850
bench_trivial_query,sqlx_query_as_macro,10,,,84783278.0,ns,860
bench_trivial_query,sqlx_query_as_macro,10,,,86560598.0,ns,870
bench_trivial_query,sqlx_query_as_macro,10,,,86751801.0,ns,880
bench_trivial_query,sqlx_query_as_macro,10,,,86767000.0,ns,890
bench_trivial_query,sqlx_query_as_macro,10,,,95900706.0,ns,900
bench_trivial_query,sqlx_query_as_macro,10,,,100912964.0,ns,910
bench_trivial_query,sqlx_query_as_macro,10,,,100027854.0,ns,920
bench_trivial_query,sqlx_query_as_macro,10,,,102340880.0,ns,930
bench_trivial_query,sqlx_query_as_macro,10,,,94417220.0,ns,940
bench_trivial_query,sqlx_query_as_macro,10,,,108743777.0,ns,950
bench_trivial_query,sqlx_query_as_macro,10,,,102157370.0,ns,960
