group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async,1,,,956097.0,ns,13
bench_trivial_query,diesel_async,1,,,1715695.0,ns,26
bench_trivial_query,diesel_async,1,,,2625792.0,ns,39
bench_trivial_query,diesel_async,1,,,3606089.0,ns,52
bench_trivial_query,diesel_async,1,,,4328186.0,ns,65
bench_trivial_query,diesel_async,1,,,4927785.0,ns,78
bench_trivial_query,diesel_async,1,,,8572872.0,ns,91
bench_trivial_query,diesel_async,1,,,8159274.0,ns,104
bench_trivial_query,diesel_async,1,,,7318577.0,ns,117
bench_trivial_query,diesel_async,1,,,8074574.0,ns,130
bench_trivial_query,diesel_async,1,,,10074668.0,ns,143
bench_trivial_query,diesel_async,1,,,10148368.0,ns,156
bench_trivial_query,diesel_async,1,,,12362760.0,ns,169
bench_trivial_query,diesel_async,1,,,11876162.0,ns,182
bench_trivial_query,diesel_async,1,,,12004361.0,ns,195
bench_trivial_query,diesel_async,1,,,12554860.0,ns,208
bench_trivial_query,diesel_async,1,,,13664456.0,ns,221
bench_trivial_query,diesel_async,1,,,13989455.0,ns,234
bench_trivial_query,diesel_async,1,,,14741953.0,ns,247
bench_trivial_query,diesel_async,1,,,15778850.0,ns,260
bench_trivial_query,diesel_async,1,,,16236748.0,ns,273
bench_trivial_query,diesel_async,1,,,17548643.0,ns,286
bench_trivial_query,diesel_async,1,,,18188441.0,ns,299
bench_trivial_query,diesel_async,1,,,20255934.0,ns,312
bench_trivial_query,diesel_async,1,,,19584237.0,ns,325
bench_trivial_query,diesel_async,1,,,21250532.0,ns,338
bench_trivial_query,diesel_async,1,,,21013232.0,ns,351
bench_trivial_query,diesel_async,1,,,22106129.0,ns,364
bench_trivial_query,diesel_async,1,,,23051325.0,ns,377
bench_trivial_query,diesel_async,1,,,23554125.0,ns,390
bench_trivial_query,diesel_async,1,,,25299019.0,ns,403
bench_trivial_query,diesel_async,1,,,30721802.0,ns,416
bench_trivial_query,diesel_async,1,,,26102316.0,ns,429
bench_trivial_query,diesel_async,1,,,27519011.0,ns,442
bench_trivial_query,diesel_async,1,,,27351812.0,ns,455
bench_trivial_query,diesel_async,1,,,29571005.0,ns,468
bench_trivial_query,diesel_async,1,,,29296728.0,ns,481
bench_trivial_query,diesel_async,1,,,40966499.0,ns,494
bench_trivial_query,diesel_async,1,,,32289320.0,ns,507
bench_trivial_query,diesel_async,1,,,32024122.0,ns,520
bench_trivial_query,diesel_async,1,,,33428418.0,ns,533
bench_trivial_query,diesel_async,1,,,34333716.0,ns,546
bench_trivial_query,diesel_async,1,,,35557112.0,ns,559
bench_trivial_query,diesel_async,1,,,35268113.0,ns,572
bench_trivial_query,diesel_async,1,,,37282308.0,ns,585
bench_trivial_query,diesel_async,1,,,37874107.0,ns,598
bench_trivial_query,diesel_async,1,,,38614605.0,ns,611
bench_trivial_query,diesel_async,1,,,38387806.0,ns,624
bench_trivial_query,diesel_async,1,,,39980002.0,ns,637
bench_trivial_query,diesel_async,1,,,40048102.0,ns,650
bench_trivial_query,diesel_async,1,,,41180899.0,ns,663
bench_trivial_query,diesel_async,1,,,42155996.0,ns,676
bench_trivial_query,diesel_async,1,,,42429196.0,ns,689
bench_trivial_query,diesel_async,1,,,42903995.0,ns,702
bench_trivial_query,diesel_async,1,,,50040276.0,ns,715
bench_trivial_query,diesel_async,1,,,45933887.0,ns,728
bench_trivial_query,diesel_async,1,,,45052089.0,ns,741
bench_trivial_query,diesel_async,1,,,50058177.0,ns,754
bench_trivial_query,diesel_async,1,,,58359156.0,ns,767
bench_trivial_query,diesel_async,1,,,48503281.0,ns,780
bench_trivial_query,diesel_async,1,,,48289382.0,ns,793
bench_trivial_query,diesel_async,1,,,50122777.0,ns,806
bench_trivial_query,diesel_async,1,,,50946875.0,ns,819
bench_trivial_query,diesel_async,1,,,52026972.0,ns,832
bench_trivial_query,diesel_async,1,,,50590676.0,ns,845
bench_trivial_query,diesel_async,1,,,52146472.0,ns,858
bench_trivial_query,diesel_async,1,,,52999870.0,ns,871
bench_trivial_query,diesel_async,1,,,57943758.0,ns,884
bench_trivial_query,diesel_async,1,,,54412466.0,ns,897
bench_trivial_query,diesel_async,1,,,56108662.0,ns,910
bench_trivial_query,diesel_async,1,,,66968836.0,ns,923
bench_trivial_query,diesel_async,1,,,55487164.0,ns,936
bench_trivial_query,diesel_async,1,,,59586454.0,ns,949
bench_trivial_query,diesel_async,1,,,76072913.0,ns,962
bench_trivial_query,diesel_async,1,,,69974228.0,ns,975
bench_trivial_query,diesel_async,1,,,60635951.0,ns,988
bench_trivial_query,diesel_async,1,,,60961350.0,ns,1001
bench_trivial_query,diesel_async,1,,,62759145.0,ns,1014
bench_trivial_query,diesel_async,1,,,66952235.0,ns,1027
bench_trivial_query,diesel_async,1,,,64291042.0,ns,1040
bench_trivial_query,diesel_async,1,,,65856739.0,ns,1053
bench_trivial_query,diesel_async,1,,,88206570.0,ns,1066
bench_trivial_query,diesel_async,1,,,85495721.0,ns,1079
bench_trivial_query,diesel_async,1,,,67428980.0,ns,1092
bench_trivial_query,diesel_async,1,,,80438138.0,ns,1105
bench_trivial_query,diesel_async,1,,,95406489.0,ns,1118
bench_trivial_query,diesel_async,1,,,100861171.0,ns,1131
bench_trivial_query,diesel_async,1,,,70016871.0,ns,1144
bench_trivial_query,diesel_async,1,,,78925042.0,ns,1157
bench_trivial_query,diesel_async,1,,,73208262.0,ns,1170
