group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,rusqlite_by_name,10000,,,50977711.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50639107.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50381905.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50677708.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50373604.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50718208.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50780108.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50331904.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50507306.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50353405.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,52587226.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,51405311.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50668903.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50941906.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,51165509.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,51218109.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50890206.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50862805.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,51118508.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50815306.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,51116708.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50580003.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50667003.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50809705.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50694104.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50417502.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50709904.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50413401.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50677404.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50591803.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50380001.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50379100.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50678604.0,ns,12
bench_trivial_query,rusqlite_by_name,10000,,,50857005.0,ns,12
