group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,1000,,,51402254.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51159347.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49471106.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,48242677.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51980667.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51281051.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51072845.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51711361.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,48620786.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,52121471.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,48594685.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49130698.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,52801588.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,48824891.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,48656187.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49536809.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50402330.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50692336.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49266302.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49313103.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,53018993.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51074645.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50630635.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50377629.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49219400.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50739937.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51558857.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49984819.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,47490358.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,48951494.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51041145.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,52576582.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51584458.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49866916.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,52023568.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50746237.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,52476079.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,48955994.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49367804.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51970467.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50947442.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50246925.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51219449.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51789863.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51461055.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,48397980.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51950567.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51080646.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51304051.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51543157.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50580134.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,52649484.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,48560684.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49180299.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51900566.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,52207873.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49191700.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49287702.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50370528.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49802715.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50308726.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,49506407.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50177424.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,52034969.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,48055972.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,52446979.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,50795038.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51343152.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,51955267.0,ns,12
