group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,10,,,1049431.0,ns,188
bench_medium_complex_query,diesel,10,,,2031608.0,ns,376
bench_medium_complex_query,diesel,10,,,3019716.0,ns,564
bench_medium_complex_query,diesel,10,,,4029173.0,ns,752
bench_medium_complex_query,diesel,10,,,4988187.0,ns,940
bench_medium_complex_query,diesel,10,,,5917424.0,ns,1128
bench_medium_complex_query,diesel,10,,,6924528.0,ns,1316
bench_medium_complex_query,diesel,10,,,8061652.0,ns,1504
bench_medium_complex_query,diesel,10,,,8972816.0,ns,1692
bench_medium_complex_query,diesel,10,,,9933233.0,ns,1880
bench_medium_complex_query,diesel,10,,,10857983.0,ns,2068
bench_medium_complex_query,diesel,10,,,12077561.0,ns,2256
bench_medium_complex_query,diesel,10,,,13077550.0,ns,2444
bench_medium_complex_query,diesel,10,,,14015435.0,ns,2632
bench_medium_complex_query,diesel,10,,,14961604.0,ns,2820
bench_medium_complex_query,diesel,10,,,15940926.0,ns,3008
bench_medium_complex_query,diesel,10,,,17053214.0,ns,3196
bench_medium_complex_query,diesel,10,,,17971641.0,ns,3384
bench_medium_complex_query,diesel,10,,,19029109.0,ns,3572
bench_medium_complex_query,diesel,10,,,20128102.0,ns,3760
bench_medium_complex_query,diesel,10,,,20753875.0,ns,3948
bench_medium_complex_query,diesel,10,,,22025421.0,ns,4136
bench_medium_complex_query,diesel,10,,,23236833.0,ns,4324
bench_medium_complex_query,diesel,10,,,24117351.0,ns,4512
bench_medium_complex_query,diesel,10,,,25206015.0,ns,4700
bench_medium_complex_query,diesel,10,,,25749005.0,ns,4888
bench_medium_complex_query,diesel,10,,,26870079.0,ns,5076
bench_medium_complex_query,diesel,10,,,27660941.0,ns,5264
bench_medium_complex_query,diesel,10,,,28919130.0,ns,5452
bench_medium_complex_query,diesel,10,,,30722244.0,ns,5640
bench_medium_complex_query,diesel,10,,,30913289.0,ns,5828
bench_medium_complex_query,diesel,10,,,32202538.0,ns,6016
bench_medium_complex_query,diesel,10,,,32820967.0,ns,6204
bench_medium_complex_query,diesel,10,,,33511661.0,ns,6392
bench_medium_complex_query,diesel,10,,,35076111.0,ns,6580
bench_medium_complex_query,diesel,10,,,35489520.0,ns,6768
bench_medium_complex_query,diesel,10,,,36793665.0,ns,6956
bench_medium_complex_query,diesel,10,,,37484740.0,ns,7144
bench_medium_complex_query,diesel,10,,,38231158.0,ns,7332
bench_medium_complex_query,diesel,10,,,39919488.0,ns,7520
bench_medium_complex_query,diesel,10,,,40227881.0,ns,7708
bench_medium_complex_query,diesel,10,,,42537207.0,ns,7896
bench_medium_complex_query,diesel,10,,,42332585.0,ns,8084
bench_medium_complex_query,diesel,10,,,44157289.0,ns,8272
bench_medium_complex_query,diesel,10,,,45271722.0,ns,8460
bench_medium_complex_query,diesel,10,,,45117354.0,ns,8648
bench_medium_complex_query,diesel,10,,,46670984.0,ns,8836
bench_medium_complex_query,diesel,10,,,47742196.0,ns,9024
bench_medium_complex_query,diesel,10,,,49197773.0,ns,9212
bench_medium_complex_query,diesel,10,,,50160614.0,ns,9400
bench_medium_complex_query,diesel,10,,,50531994.0,ns,9588
bench_medium_complex_query,diesel,10,,,51528667.0,ns,9776
bench_medium_complex_query,diesel,10,,,52388877.0,ns,9964
bench_medium_complex_query,diesel,10,,,53430544.0,ns,10152
bench_medium_complex_query,diesel,10,,,54885792.0,ns,10340
bench_medium_complex_query,diesel,10,,,55690137.0,ns,10528
bench_medium_complex_query,diesel,10,,,56604136.0,ns,10716
bench_medium_complex_query,diesel,10,,,57864059.0,ns,10904
bench_medium_complex_query,diesel,10,,,58817373.0,ns,11092
bench_medium_complex_query,diesel,10,,,59550676.0,ns,11280
bench_medium_complex_query,diesel,10,,,60231592.0,ns,11468
bench_medium_complex_query,diesel,10,,,61638489.0,ns,11656
bench_medium_complex_query,diesel,10,,,63017543.0,ns,11844
bench_medium_complex_query,diesel,10,,,64333280.0,ns,12032
bench_medium_complex_query,diesel,10,,,64386168.0,ns,12220
bench_medium_complex_query,diesel,10,,,66748301.0,ns,12408
bench_medium_complex_query,diesel,10,,,66617929.0,ns,12596
bench_medium_complex_query,diesel,10,,,68199668.0,ns,12784
bench_medium_complex_query,diesel,10,,,69103437.0,ns,12972
bench_medium_complex_query,diesel,10,,,70964639.0,ns,13160
bench_medium_complex_query,diesel,10,,,70554746.0,ns,13348
bench_medium_complex_query,diesel,10,,,71831420.0,ns,13536
bench_medium_complex_query,diesel,10,,,72150694.0,ns,13724
bench_medium_complex_query,diesel,10,,,74035971.0,ns,13912
bench_medium_complex_query,diesel,10,,,75195697.0,ns,14100
bench_medium_complex_query,diesel,10,,,91636040.0,ns,14288
bench_medium_complex_query,diesel,10,,,76819146.0,ns,14476
bench_medium_complex_query,diesel,10,,,77946763.0,ns,14664
bench_medium_complex_query,diesel,10,,,78659337.0,ns,14852
bench_medium_complex_query,diesel,10,,,79013346.0,ns,15040
bench_medium_complex_query,diesel,10,,,79627760.0,ns,15228
bench_medium_complex_query,diesel,10,,,82218777.0,ns,15416
bench_medium_complex_query,diesel,10,,,83378063.0,ns,15604
bench_medium_complex_query,diesel,10,,,83509007.0,ns,15792
bench_medium_complex_query,diesel,10,,,84010199.0,ns,15980
bench_medium_complex_query,diesel,10,,,86269050.0,ns,16168
bench_medium_complex_query,diesel,10,,,86727201.0,ns,16356
bench_medium_complex_query,diesel,10,,,88277083.0,ns,16544
bench_medium_complex_query,diesel,10,,,89244392.0,ns,16732
bench_medium_complex_query,diesel,10,,,90130010.0,ns,16920
bench_medium_complex_query,diesel,10,,,90101666.0,ns,17108
bench_medium_complex_query,diesel,10,,,91341072.0,ns,17296
bench_medium_complex_query,diesel,10,,,95874803.0,ns,17484
bench_medium_complex_query,diesel,10,,,94348454.0,ns,17672
bench_medium_complex_query,diesel,10,,,93481712.0,ns,17860
bench_medium_complex_query,diesel,10,,,96248217.0,ns,18048
bench_medium_complex_query,diesel,10,,,96548386.0,ns,18236
bench_medium_complex_query,diesel,10,,,97570696.0,ns,18424
bench_medium_complex_query,diesel,10,,,99568862.0,ns,18612
bench_medium_complex_query,diesel,10,,,99545839.0,ns,18800
