group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,1000,,,53931806.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,52455115.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53694374.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54646217.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55237793.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,49199521.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,56000842.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,49740884.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55039292.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53066870.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55113261.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48762142.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53592675.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,52204406.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,52921488.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,52585689.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53529086.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,52356470.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55295301.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48054308.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55252050.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48960024.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54535278.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,52038586.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,51629460.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54899090.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,51478423.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,52918863.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55438329.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55256087.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,49439992.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54802749.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,47714061.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55048637.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,50580402.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54380899.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,49671255.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,51972984.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54773252.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54424533.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,51814246.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54350493.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53241436.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53277595.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,52286188.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,51411643.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48897256.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54600250.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53586443.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,52540523.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55833629.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48266044.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53331337.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53280319.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55643924.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,51462076.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,49191687.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55059179.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48529296.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54854907.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,50927296.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54772844.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,49659853.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54024276.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55030816.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48693164.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53874999.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54499996.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55200148.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55378702.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53253958.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54178623.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54122565.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55377244.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48795806.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55124061.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48425483.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,51784916.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55776479.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,50520884.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55396991.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54869144.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54637019.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55821717.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,49108360.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53983362.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53107867.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53620364.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54951698.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48770088.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54968039.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48916531.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54668287.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,48840749.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54714875.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,49403983.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,53884649.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,55817000.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54792500.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,54415154.0,ns,24
