group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,rusqlite_by_name,1000,,,1450321.0,ns,3
bench_medium_complex_query,rusqlite_by_name,1000,,,2932942.0,ns,6
bench_medium_complex_query,rusqlite_by_name,1000,,,4361612.0,ns,9
bench_medium_complex_query,rusqlite_by_name,1000,,,5822733.0,ns,12
bench_medium_complex_query,rusqlite_by_name,1000,,,7250622.0,ns,15
bench_medium_complex_query,rusqlite_by_name,1000,,,8691335.0,ns,18
bench_medium_complex_query,rusqlite_by_name,1000,,,10238967.0,ns,21
bench_medium_complex_query,rusqlite_by_name,1000,,,11629096.0,ns,24
bench_medium_complex_query,rusqlite_by_name,1000,,,13270983.0,ns,27
bench_medium_complex_query,rusqlite_by_name,1000,,,14684143.0,ns,30
bench_medium_complex_query,rusqlite_by_name,1000,,,16022712.0,ns,33
bench_medium_complex_query,rusqlite_by_name,1000,,,17486768.0,ns,36
bench_medium_complex_query,rusqlite_by_name,1000,,,18891673.0,ns,39
bench_medium_complex_query,rusqlite_by_name,1000,,,20357762.0,ns,42
bench_medium_complex_query,rusqlite_by_name,1000,,,21859628.0,ns,45
bench_medium_complex_query,rusqlite_by_name,1000,,,23208358.0,ns,48
bench_medium_complex_query,rusqlite_by_name,1000,,,24638751.0,ns,51
bench_medium_complex_query,rusqlite_by_name,1000,,,26184427.0,ns,54
bench_medium_complex_query,rusqlite_by_name,1000,,,27942079.0,ns,57
bench_medium_complex_query,rusqlite_by_name,1000,,,29079005.0,ns,60
bench_medium_complex_query,rusqlite_by_name,1000,,,30458963.0,ns,63
bench_medium_complex_query,rusqlite_by_name,1000,,,32366994.0,ns,66
bench_medium_complex_query,rusqlite_by_name,1000,,,34007518.0,ns,69
bench_medium_complex_query,rusqlite_by_name,1000,,,35135117.0,ns,72
bench_medium_complex_query,rusqlite_by_name,1000,,,36637002.0,ns,75
bench_medium_complex_query,rusqlite_by_name,1000,,,38252259.0,ns,78
bench_medium_complex_query,rusqlite_by_name,1000,,,40447505.0,ns,81
bench_medium_complex_query,rusqlite_by_name,1000,,,41272811.0,ns,84
bench_medium_complex_query,rusqlite_by_name,1000,,,42462285.0,ns,87
bench_medium_complex_query,rusqlite_by_name,1000,,,43854877.0,ns,90
bench_medium_complex_query,rusqlite_by_name,1000,,,45069527.0,ns,93
bench_medium_complex_query,rusqlite_by_name,1000,,,46699913.0,ns,96
bench_medium_complex_query,rusqlite_by_name,1000,,,48233056.0,ns,99
bench_medium_complex_query,rusqlite_by_name,1000,,,49463386.0,ns,102
bench_medium_complex_query,rusqlite_by_name,1000,,,50807528.0,ns,105
bench_medium_complex_query,rusqlite_by_name,1000,,,52418015.0,ns,108
bench_medium_complex_query,rusqlite_by_name,1000,,,54521922.0,ns,111
bench_medium_complex_query,rusqlite_by_name,1000,,,57969871.0,ns,114
bench_medium_complex_query,rusqlite_by_name,1000,,,57579891.0,ns,117
bench_medium_complex_query,rusqlite_by_name,1000,,,57984196.0,ns,120
bench_medium_complex_query,rusqlite_by_name,1000,,,59652591.0,ns,123
bench_medium_complex_query,rusqlite_by_name,1000,,,61094826.0,ns,126
bench_medium_complex_query,rusqlite_by_name,1000,,,62656233.0,ns,129
bench_medium_complex_query,rusqlite_by_name,1000,,,64129043.0,ns,132
bench_medium_complex_query,rusqlite_by_name,1000,,,65560668.0,ns,135
bench_medium_complex_query,rusqlite_by_name,1000,,,67138334.0,ns,138
