group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,rusqlite_by_id,10000,,,1816398.0,ns,1
bench_trivial_query,rusqlite_by_id,10000,,,3618210.0,ns,2
bench_trivial_query,rusqlite_by_id,10000,,,5435059.0,ns,3
bench_trivial_query,rusqlite_by_id,10000,,,7364609.0,ns,4
bench_trivial_query,rusqlite_by_id,10000,,,9095308.0,ns,5
bench_trivial_query,rusqlite_by_id,10000,,,10858757.0,ns,6
bench_trivial_query,rusqlite_by_id,10000,,,12639249.0,ns,7
bench_trivial_query,rusqlite_by_id,10000,,,14516281.0,ns,8
bench_trivial_query,rusqlite_by_id,10000,,,16246780.0,ns,9
bench_trivial_query,rusqlite_by_id,10000,,,18051667.0,ns,10
bench_trivial_query,rusqlite_by_id,10000,,,19943085.0,ns,11
bench_trivial_query,rusqlite_by_id,10000,,,21652114.0,ns,12
bench_trivial_query,rusqlite_by_id,10000,,,23563790.0,ns,13
bench_trivial_query,rusqlite_by_id,10000,,,25353920.0,ns,14
bench_trivial_query,rusqlite_by_id,10000,,,27214229.0,ns,15
bench_trivial_query,rusqlite_by_id,10000,,,29012204.0,ns,16
bench_trivial_query,rusqlite_by_id,10000,,,30822110.0,ns,17
bench_trivial_query,rusqlite_by_id,10000,,,32711165.0,ns,18
bench_trivial_query,rusqlite_by_id,10000,,,34546909.0,ns,19
bench_trivial_query,rusqlite_by_id,10000,,,36252200.0,ns,20
bench_trivial_query,rusqlite_by_id,10000,,,37984623.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,39951391.0,ns,22
bench_trivial_query,rusqlite_by_id,10000,,,41639921.0,ns,23
bench_trivial_query,rusqlite_by_id,10000,,,43494521.0,ns,24
bench_trivial_query,rusqlite_by_id,10000,,,45483923.0,ns,25
bench_trivial_query,rusqlite_by_id,10000,,,47174205.0,ns,26
bench_trivial_query,rusqlite_by_id,10000,,,50090706.0,ns,27
bench_trivial_query,rusqlite_by_id,10000,,,50930383.0,ns,28
bench_trivial_query,rusqlite_by_id,10000,,,52547170.0,ns,29
bench_trivial_query,rusqlite_by_id,10000,,,54355102.0,ns,30
bench_trivial_query,rusqlite_by_id,10000,,,56416067.0,ns,31
bench_trivial_query,rusqlite_by_id,10000,,,58351808.0,ns,32
bench_trivial_query,rusqlite_by_id,10000,,,59989784.0,ns,33
bench_trivial_query,rusqlite_by_id,10000,,,61831840.0,ns,34
bench_trivial_query,rusqlite_by_id,10000,,,63721948.0,ns,35
bench_trivial_query,rusqlite_by_id,10000,,,65637590.0,ns,36
bench_trivial_query,rusqlite_by_id,10000,,,67210674.0,ns,37
bench_trivial_query,rusqlite_by_id,10000,,,68924593.0,ns,38
bench_trivial_query,rusqlite_by_id,10000,,,70899818.0,ns,39
bench_trivial_query,rusqlite_by_id,10000,,,72926799.0,ns,40
bench_trivial_query,rusqlite_by_id,10000,,,92869012.0,ns,41
bench_trivial_query,rusqlite_by_id,10000,,,103525182.0,ns,42
bench_trivial_query,rusqlite_by_id,10000,,,78113544.0,ns,43
bench_trivial_query,rusqlite_by_id,10000,,,79495543.0,ns,44
bench_trivial_query,rusqlite_by_id,10000,,,81379338.0,ns,45
bench_trivial_query,rusqlite_by_id,10000,,,83254044.0,ns,46
bench_trivial_query,rusqlite_by_id,10000,,,84868135.0,ns,47
bench_trivial_query,rusqlite_by_id,10000,,,87066467.0,ns,48
bench_trivial_query,rusqlite_by_id,10000,,,88963396.0,ns,49
bench_trivial_query,rusqlite_by_id,10000,,,90547360.0,ns,50
bench_trivial_query,rusqlite_by_id,10000,,,92379990.0,ns,51
bench_trivial_query,rusqlite_by_id,10000,,,93984934.0,ns,52
bench_trivial_query,rusqlite_by_id,10000,,,95761147.0,ns,53
bench_trivial_query,rusqlite_by_id,10000,,,97849563.0,ns,54
bench_trivial_query,rusqlite_by_id,10000,,,99626619.0,ns,55
bench_trivial_query,rusqlite_by_id,10000,,,101469677.0,ns,56
bench_trivial_query,rusqlite_by_id,10000,,,103092404.0,ns,57
bench_trivial_query,rusqlite_by_id,10000,,,104728957.0,ns,58
bench_trivial_query,rusqlite_by_id,10000,,,107021955.0,ns,59
bench_trivial_query,rusqlite_by_id,10000,,,108791657.0,ns,60
bench_trivial_query,rusqlite_by_id,10000,,,111568606.0,ns,61
bench_trivial_query,rusqlite_by_id,10000,,,112237444.0,ns,62
bench_trivial_query,rusqlite_by_id,10000,,,113989543.0,ns,63
bench_trivial_query,rusqlite_by_id,10000,,,115962144.0,ns,64
bench_trivial_query,rusqlite_by_id,10000,,,117882446.0,ns,65
bench_trivial_query,rusqlite_by_id,10000,,,119107692.0,ns,66
bench_trivial_query,rusqlite_by_id,10000,,,121012433.0,ns,67
bench_trivial_query,rusqlite_by_id,10000,,,122909685.0,ns,68
bench_trivial_query,rusqlite_by_id,10000,,,125029096.0,ns,69
bench_trivial_query,rusqlite_by_id,10000,,,126708798.0,ns,70
bench_trivial_query,rusqlite_by_id,10000,,,128379774.0,ns,71
bench_trivial_query,rusqlite_by_id,10000,,,130574846.0,ns,72
bench_trivial_query,rusqlite_by_id,10000,,,131951844.0,ns,73
bench_trivial_query,rusqlite_by_id,10000,,,133845364.0,ns,74
bench_trivial_query,rusqlite_by_id,10000,,,135441880.0,ns,75
bench_trivial_query,rusqlite_by_id,10000,,,138887284.0,ns,76
bench_trivial_query,rusqlite_by_id,10000,,,139647431.0,ns,77
bench_trivial_query,rusqlite_by_id,10000,,,141560929.0,ns,78
bench_trivial_query,rusqlite_by_id,10000,,,143522015.0,ns,79
bench_trivial_query,rusqlite_by_id,10000,,,145091442.0,ns,80
bench_trivial_query,rusqlite_by_id,10000,,,146953251.0,ns,81
bench_trivial_query,rusqlite_by_id,10000,,,148877821.0,ns,82
bench_trivial_query,rusqlite_by_id,10000,,,150169639.0,ns,83
bench_trivial_query,rusqlite_by_id,10000,,,152294882.0,ns,84
bench_trivial_query,rusqlite_by_id,10000,,,154551950.0,ns,85
bench_trivial_query,rusqlite_by_id,10000,,,156464606.0,ns,86
bench_trivial_query,rusqlite_by_id,10000,,,158260524.0,ns,87
bench_trivial_query,rusqlite_by_id,10000,,,159853153.0,ns,88
bench_trivial_query,rusqlite_by_id,10000,,,161331860.0,ns,89
bench_trivial_query,rusqlite_by_id,10000,,,163657306.0,ns,90
bench_trivial_query,rusqlite_by_id,10000,,,165282706.0,ns,91
bench_trivial_query,rusqlite_by_id,10000,,,166958601.0,ns,92
bench_trivial_query,rusqlite_by_id,10000,,,169075387.0,ns,93
bench_trivial_query,rusqlite_by_id,10000,,,170671804.0,ns,94
bench_trivial_query,rusqlite_by_id,10000,,,172594188.0,ns,95
bench_trivial_query,rusqlite_by_id,10000,,,174359610.0,ns,96
bench_trivial_query,rusqlite_by_id,10000,,,176246818.0,ns,97
bench_trivial_query,rusqlite_by_id,10000,,,177893218.0,ns,98
bench_trivial_query,rusqlite_by_id,10000,,,180215486.0,ns,99
bench_trivial_query,rusqlite_by_id,10000,,,182568601.0,ns,100
