group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,1000,,,1155306.0,ns,1
bench_medium_complex_query,sea-orm,1000,,,3223359.0,ns,2
bench_medium_complex_query,sea-orm,1000,,,4372824.0,ns,3
bench_medium_complex_query,sea-orm,1000,,,6387558.0,ns,4
bench_medium_complex_query,sea-orm,1000,,,7856418.0,ns,5
bench_medium_complex_query,sea-orm,1000,,,9640743.0,ns,6
bench_medium_complex_query,sea-orm,1000,,,11081940.0,ns,7
bench_medium_complex_query,sea-orm,1000,,,12099441.0,ns,8
bench_medium_complex_query,sea-orm,1000,,,14190995.0,ns,9
bench_medium_complex_query,sea-orm,1000,,,15973789.0,ns,10
bench_medium_complex_query,sea-orm,1000,,,17373220.0,ns,11
bench_medium_complex_query,sea-orm,1000,,,19258492.0,ns,12
bench_medium_complex_query,sea-orm,1000,,,20319513.0,ns,13
bench_medium_complex_query,sea-orm,1000,,,22134524.0,ns,14
bench_medium_complex_query,sea-orm,1000,,,23123784.0,ns,15
bench_medium_complex_query,sea-orm,1000,,,25322639.0,ns,16
bench_medium_complex_query,sea-orm,1000,,,25813581.0,ns,17
bench_medium_complex_query,sea-orm,1000,,,28318776.0,ns,18
bench_medium_complex_query,sea-orm,1000,,,29238034.0,ns,19
bench_medium_complex_query,sea-orm,1000,,,30888761.0,ns,20
bench_medium_complex_query,sea-orm,1000,,,28997117.0,ns,21
bench_medium_complex_query,sea-orm,1000,,,25454814.0,ns,22
bench_medium_complex_query,sea-orm,1000,,,30942151.0,ns,23
bench_medium_complex_query,sea-orm,1000,,,37680520.0,ns,24
bench_medium_complex_query,sea-orm,1000,,,38169909.0,ns,25
bench_medium_complex_query,sea-orm,1000,,,40989288.0,ns,26
bench_medium_complex_query,sea-orm,1000,,,41260972.0,ns,27
bench_medium_complex_query,sea-orm,1000,,,33512917.0,ns,28
bench_medium_complex_query,sea-orm,1000,,,42798136.0,ns,29
bench_medium_complex_query,sea-orm,1000,,,48213350.0,ns,30
bench_medium_complex_query,sea-orm,1000,,,49736225.0,ns,31
bench_medium_complex_query,sea-orm,1000,,,37893364.0,ns,32
bench_medium_complex_query,sea-orm,1000,,,50952358.0,ns,33
bench_medium_complex_query,sea-orm,1000,,,39398802.0,ns,34
bench_medium_complex_query,sea-orm,1000,,,53500378.0,ns,35
bench_medium_complex_query,sea-orm,1000,,,50652587.0,ns,36
bench_medium_complex_query,sea-orm,1000,,,42192744.0,ns,37
bench_medium_complex_query,sea-orm,1000,,,58170310.0,ns,38
bench_medium_complex_query,sea-orm,1000,,,44466959.0,ns,39
bench_medium_complex_query,sea-orm,1000,,,60678700.0,ns,40
bench_medium_complex_query,sea-orm,1000,,,47497319.0,ns,41
bench_medium_complex_query,sea-orm,1000,,,48870560.0,ns,42
