group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sea-orm,50,,,89491502.0,ns,1
bench_insert,sea-orm,50,,,98528056.0,ns,2
bench_insert,sea-orm,50,,,96493107.0,ns,3
bench_insert,sea-orm,50,,,96370548.0,ns,4
bench_insert,sea-orm,50,,,95844279.0,ns,5
bench_insert,sea-orm,50,,,98917996.0,ns,6
bench_insert,sea-orm,50,,,103554152.0,ns,7
bench_insert,sea-orm,50,,,101858048.0,ns,8
bench_insert,sea-orm,50,,,102933657.0,ns,9
bench_insert,sea-orm,50,,,104337613.0,ns,10
bench_insert,sea-orm,50,,,106008495.0,ns,11
bench_insert,sea-orm,50,,,106258241.0,ns,12
bench_insert,sea-orm,50,,,106469642.0,ns,13
bench_insert,sea-orm,50,,,109414933.0,ns,14
bench_insert,sea-orm,50,,,109330725.0,ns,15
bench_insert,sea-orm,50,,,111374930.0,ns,16
bench_insert,sea-orm,50,,,113675413.0,ns,17
bench_insert,sea-orm,50,,,118046499.0,ns,18
bench_insert,sea-orm,50,,,116289007.0,ns,19
bench_insert,sea-orm,50,,,117198082.0,ns,20
bench_insert,sea-orm,50,,,119047652.0,ns,21
bench_insert,sea-orm,50,,,118201410.0,ns,22
bench_insert,sea-orm,50,,,121384872.0,ns,23
bench_insert,sea-orm,50,,,123658468.0,ns,24
bench_insert,sea-orm,50,,,126857313.0,ns,25
bench_insert,sea-orm,50,,,131559933.0,ns,26
bench_insert,sea-orm,50,,,128659407.0,ns,27
bench_insert,sea-orm,50,,,128227829.0,ns,28
bench_insert,sea-orm,50,,,129748551.0,ns,29
bench_insert,sea-orm,50,,,128620929.0,ns,30
bench_insert,sea-orm,50,,,133027574.0,ns,31
bench_insert,sea-orm,50,,,137041183.0,ns,32
bench_insert,sea-orm,50,,,133712077.0,ns,33
bench_insert,sea-orm,50,,,134215258.0,ns,34
bench_insert,sea-orm,50,,,137866350.0,ns,35
bench_insert,sea-orm,50,,,139005726.0,ns,36
bench_insert,sea-orm,50,,,135665615.0,ns,37
bench_insert,sea-orm,50,,,141037201.0,ns,38
bench_insert,sea-orm,50,,,141022478.0,ns,39
bench_insert,sea-orm,50,,,142731295.0,ns,40
bench_insert,sea-orm,50,,,145056342.0,ns,41
bench_insert,sea-orm,50,,,149172877.0,ns,42
bench_insert,sea-orm,50,,,147122724.0,ns,43
bench_insert,sea-orm,50,,,150565015.0,ns,44
bench_insert,sea-orm,50,,,147146919.0,ns,45
bench_insert,sea-orm,50,,,166131374.0,ns,46
bench_insert,sea-orm,50,,,154631739.0,ns,47
bench_insert,sea-orm,50,,,155956925.0,ns,48
bench_insert,sea-orm,50,,,159692220.0,ns,49
bench_insert,sea-orm,50,,,153324547.0,ns,50
bench_insert,sea-orm,50,,,157183252.0,ns,51
bench_insert,sea-orm,50,,,160399215.0,ns,52
bench_insert,sea-orm,50,,,163655037.0,ns,53
bench_insert,sea-orm,50,,,160799712.0,ns,54
bench_insert,sea-orm,50,,,163125709.0,ns,55
bench_insert,sea-orm,50,,,164798138.0,ns,56
bench_insert,sea-orm,50,,,172418464.0,ns,57
bench_insert,sea-orm,50,,,164506226.0,ns,58
bench_insert,sea-orm,50,,,166744703.0,ns,59
bench_insert,sea-orm,50,,,164535996.0,ns,60
bench_insert,sea-orm,50,,,167729676.0,ns,61
bench_insert,sea-orm,50,,,169020985.0,ns,62
bench_insert,sea-orm,50,,,171539238.0,ns,63
bench_insert,sea-orm,50,,,175728646.0,ns,64
bench_insert,sea-orm,50,,,174178706.0,ns,65
bench_insert,sea-orm,50,,,173877202.0,ns,66
bench_insert,sea-orm,50,,,192546948.0,ns,67
bench_insert,sea-orm,50,,,184597539.0,ns,68
bench_insert,sea-orm,50,,,180998934.0,ns,69
bench_insert,sea-orm,50,,,181307459.0,ns,70
bench_insert,sea-orm,50,,,188811942.0,ns,71
bench_insert,sea-orm,50,,,180359279.0,ns,72
bench_insert,sea-orm,50,,,182788758.0,ns,73
bench_insert,sea-orm,50,,,187006525.0,ns,74
bench_insert,sea-orm,50,,,183158987.0,ns,75
bench_insert,sea-orm,50,,,186898497.0,ns,76
bench_insert,sea-orm,50,,,189934203.0,ns,77
bench_insert,sea-orm,50,,,192222514.0,ns,78
bench_insert,sea-orm,50,,,193893694.0,ns,79
bench_insert,sea-orm,50,,,193907665.0,ns,80
bench_insert,sea-orm,50,,,197746330.0,ns,81
bench_insert,sea-orm,50,,,200794432.0,ns,82
bench_insert,sea-orm,50,,,206993875.0,ns,83
bench_insert,sea-orm,50,,,208613935.0,ns,84
bench_insert,sea-orm,50,,,234235081.0,ns,85
bench_insert,sea-orm,50,,,200689837.0,ns,86
bench_insert,sea-orm,50,,,209235362.0,ns,87
bench_insert,sea-orm,50,,,205665768.0,ns,88
bench_insert,sea-orm,50,,,208849583.0,ns,89
bench_insert,sea-orm,50,,,211106270.0,ns,90
bench_insert,sea-orm,50,,,208363265.0,ns,91
bench_insert,sea-orm,50,,,208946913.0,ns,92
bench_insert,sea-orm,50,,,207079225.0,ns,93
bench_insert,sea-orm,50,,,210267576.0,ns,94
bench_insert,sea-orm,50,,,215407027.0,ns,95
bench_insert,sea-orm,50,,,211230881.0,ns,96
bench_insert,sea-orm,50,,,210501280.0,ns,97
bench_insert,sea-orm,50,,,221784681.0,ns,98
bench_insert,sea-orm,50,,,217089756.0,ns,99
bench_insert,sea-orm,50,,,220507733.0,ns,100
