group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,2391207.0,ns,1
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,4009644.0,ns,2
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,5539975.0,ns,3
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,7471498.0,ns,4
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,16194068.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,13246873.0,ns,6
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,14880010.0,ns,7
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,13889623.0,ns,8
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,28001481.0,ns,9
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,17721483.0,ns,10
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,19825328.0,ns,11
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,21046558.0,ns,12
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,23370528.0,ns,13
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,30495904.0,ns,14
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,25472305.0,ns,15
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,33289430.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,38093389.0,ns,17
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,37823312.0,ns,18
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,48508008.0,ns,19
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,49658083.0,ns,20
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,34536642.0,ns,21
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,39111615.0,ns,22
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,39840802.0,ns,23
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,43748716.0,ns,24
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,43245474.0,ns,25
bench_medium_complex_query,diesel_async_queryable_by_name,1000,,,41660397.0,ns,26
