group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,rusqlite_by_name,100,,,1001365.0,ns,36
bench_trivial_query,rusqlite_by_name,100,,,2052093.0,ns,72
bench_trivial_query,rusqlite_by_name,100,,,3034423.0,ns,108
bench_trivial_query,rusqlite_by_name,100,,,4050075.0,ns,144
bench_trivial_query,rusqlite_by_name,100,,,5079362.0,ns,180
bench_trivial_query,rusqlite_by_name,100,,,6114721.0,ns,216
bench_trivial_query,rusqlite_by_name,100,,,7106489.0,ns,252
bench_trivial_query,rusqlite_by_name,100,,,8179608.0,ns,288
bench_trivial_query,rusqlite_by_name,100,,,9119930.0,ns,324
bench_trivial_query,rusqlite_by_name,100,,,10203317.0,ns,360
bench_trivial_query,rusqlite_by_name,100,,,11360269.0,ns,396
bench_trivial_query,rusqlite_by_name,100,,,12336579.0,ns,432
bench_trivial_query,rusqlite_by_name,100,,,13265167.0,ns,468
bench_trivial_query,rusqlite_by_name,100,,,14324290.0,ns,504
bench_trivial_query,rusqlite_by_name,100,,,15281744.0,ns,540
bench_trivial_query,rusqlite_by_name,100,,,16254124.0,ns,576
bench_trivial_query,rusqlite_by_name,100,,,17409598.0,ns,612
bench_trivial_query,rusqlite_by_name,100,,,18174773.0,ns,648
bench_trivial_query,rusqlite_by_name,100,,,19269020.0,ns,684
bench_trivial_query,rusqlite_by_name,100,,,20387314.0,ns,720
bench_trivial_query,rusqlite_by_name,100,,,21462406.0,ns,756
bench_trivial_query,rusqlite_by_name,100,,,22439706.0,ns,792
bench_trivial_query,rusqlite_by_name,100,,,23700935.0,ns,828
bench_trivial_query,rusqlite_by_name,100,,,24098176.0,ns,864
bench_trivial_query,rusqlite_by_name,100,,,25043857.0,ns,900
bench_trivial_query,rusqlite_by_name,100,,,26377522.0,ns,936
bench_trivial_query,rusqlite_by_name,100,,,27408661.0,ns,972
bench_trivial_query,rusqlite_by_name,100,,,28153810.0,ns,1008
bench_trivial_query,rusqlite_by_name,100,,,29361859.0,ns,1044
bench_trivial_query,rusqlite_by_name,100,,,30201824.0,ns,1080
bench_trivial_query,rusqlite_by_name,100,,,31283649.0,ns,1116
bench_trivial_query,rusqlite_by_name,100,,,32502399.0,ns,1152
bench_trivial_query,rusqlite_by_name,100,,,33239823.0,ns,1188
bench_trivial_query,rusqlite_by_name,100,,,34299367.0,ns,1224
bench_trivial_query,rusqlite_by_name,100,,,35754857.0,ns,1260
bench_trivial_query,rusqlite_by_name,100,,,36734533.0,ns,1296
bench_trivial_query,rusqlite_by_name,100,,,37818431.0,ns,1332
bench_trivial_query,rusqlite_by_name,100,,,38686037.0,ns,1368
bench_trivial_query,rusqlite_by_name,100,,,39969056.0,ns,1404
bench_trivial_query,rusqlite_by_name,100,,,40890062.0,ns,1440
bench_trivial_query,rusqlite_by_name,100,,,41811999.0,ns,1476
bench_trivial_query,rusqlite_by_name,100,,,42925804.0,ns,1512
bench_trivial_query,rusqlite_by_name,100,,,44024351.0,ns,1548
bench_trivial_query,rusqlite_by_name,100,,,45035293.0,ns,1584
bench_trivial_query,rusqlite_by_name,100,,,45856083.0,ns,1620
bench_trivial_query,rusqlite_by_name,100,,,46535057.0,ns,1656
bench_trivial_query,rusqlite_by_name,100,,,48370776.0,ns,1692
bench_trivial_query,rusqlite_by_name,100,,,48476363.0,ns,1728
bench_trivial_query,rusqlite_by_name,100,,,49916906.0,ns,1764
bench_trivial_query,rusqlite_by_name,100,,,51060997.0,ns,1800
bench_trivial_query,rusqlite_by_name,100,,,51712800.0,ns,1836
bench_trivial_query,rusqlite_by_name,100,,,52841383.0,ns,1872
bench_trivial_query,rusqlite_by_name,100,,,54374839.0,ns,1908
bench_trivial_query,rusqlite_by_name,100,,,54850134.0,ns,1944
bench_trivial_query,rusqlite_by_name,100,,,55993253.0,ns,1980
bench_trivial_query,rusqlite_by_name,100,,,57282745.0,ns,2016
bench_trivial_query,rusqlite_by_name,100,,,58277447.0,ns,2052
bench_trivial_query,rusqlite_by_name,100,,,59678919.0,ns,2088
bench_trivial_query,rusqlite_by_name,100,,,59801888.0,ns,2124
bench_trivial_query,rusqlite_by_name,100,,,61299477.0,ns,2160
bench_trivial_query,rusqlite_by_name,100,,,62394817.0,ns,2196
bench_trivial_query,rusqlite_by_name,100,,,62800022.0,ns,2232
bench_trivial_query,rusqlite_by_name,100,,,64523172.0,ns,2268
bench_trivial_query,rusqlite_by_name,100,,,65513305.0,ns,2304
bench_trivial_query,rusqlite_by_name,100,,,66315941.0,ns,2340
bench_trivial_query,rusqlite_by_name,100,,,67348053.0,ns,2376
bench_trivial_query,rusqlite_by_name,100,,,68737350.0,ns,2412
bench_trivial_query,rusqlite_by_name,100,,,68755134.0,ns,2448
bench_trivial_query,rusqlite_by_name,100,,,69846165.0,ns,2484
bench_trivial_query,rusqlite_by_name,100,,,71681836.0,ns,2520
bench_trivial_query,rusqlite_by_name,100,,,72420271.0,ns,2556
bench_trivial_query,rusqlite_by_name,100,,,73142015.0,ns,2592
bench_trivial_query,rusqlite_by_name,100,,,73450629.0,ns,2628
bench_trivial_query,rusqlite_by_name,100,,,74490978.0,ns,2664
bench_trivial_query,rusqlite_by_name,100,,,76373174.0,ns,2700
bench_trivial_query,rusqlite_by_name,100,,,77535980.0,ns,2736
bench_trivial_query,rusqlite_by_name,100,,,78820321.0,ns,2772
bench_trivial_query,rusqlite_by_name,100,,,79791681.0,ns,2808
bench_trivial_query,rusqlite_by_name,100,,,81025889.0,ns,2844
bench_trivial_query,rusqlite_by_name,100,,,80586722.0,ns,2880
bench_trivial_query,rusqlite_by_name,100,,,81717848.0,ns,2916
bench_trivial_query,rusqlite_by_name,100,,,83683459.0,ns,2952
bench_trivial_query,rusqlite_by_name,100,,,86658421.0,ns,2988
bench_trivial_query,rusqlite_by_name,100,,,85473744.0,ns,3024
bench_trivial_query,rusqlite_by_name,100,,,86876948.0,ns,3060
bench_trivial_query,rusqlite_by_name,100,,,87599964.0,ns,3096
bench_trivial_query,rusqlite_by_name,100,,,87119850.0,ns,3132
bench_trivial_query,rusqlite_by_name,100,,,91723245.0,ns,3168
bench_trivial_query,rusqlite_by_name,100,,,89837943.0,ns,3204
bench_trivial_query,rusqlite_by_name,100,,,91621014.0,ns,3240
bench_trivial_query,rusqlite_by_name,100,,,93439221.0,ns,3276
bench_trivial_query,rusqlite_by_name,100,,,92924492.0,ns,3312
bench_trivial_query,rusqlite_by_name,100,,,93777150.0,ns,3348
bench_trivial_query,rusqlite_by_name,100,,,95103109.0,ns,3384
bench_trivial_query,rusqlite_by_name,100,,,96279742.0,ns,3420
bench_trivial_query,rusqlite_by_name,100,,,98055489.0,ns,3456
bench_trivial_query,rusqlite_by_name,100,,,99467008.0,ns,3492
bench_trivial_query,rusqlite_by_name,100,,,99710682.0,ns,3528
bench_trivial_query,rusqlite_by_name,100,,,101186050.0,ns,3564
bench_trivial_query,rusqlite_by_name,100,,,101771190.0,ns,3600
