group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_from_row,1,,,1159425.0,ns,10
bench_trivial_query,sqlx_query_from_row,1,,,2240631.0,ns,20
bench_trivial_query,sqlx_query_from_row,1,,,4044102.0,ns,30
bench_trivial_query,sqlx_query_from_row,1,,,4174361.0,ns,40
bench_trivial_query,sqlx_query_from_row,1,,,6652693.0,ns,50
bench_trivial_query,sqlx_query_from_row,1,,,6331373.0,ns,60
bench_trivial_query,sqlx_query_from_row,1,,,6999861.0,ns,70
bench_trivial_query,sqlx_query_from_row,1,,,10866201.0,ns,80
bench_trivial_query,sqlx_query_from_row,1,,,12068702.0,ns,90
bench_trivial_query,sqlx_query_from_row,1,,,11272010.0,ns,100
bench_trivial_query,sqlx_query_from_row,1,,,11089436.0,ns,110
bench_trivial_query,sqlx_query_from_row,1,,,11863671.0,ns,120
bench_trivial_query,sqlx_query_from_row,1,,,13386629.0,ns,130
bench_trivial_query,sqlx_query_from_row,1,,,19513047.0,ns,140
bench_trivial_query,sqlx_query_from_row,1,,,19821874.0,ns,150
bench_trivial_query,sqlx_query_from_row,1,,,15785749.0,ns,160
bench_trivial_query,sqlx_query_from_row,1,,,16949187.0,ns,170
bench_trivial_query,sqlx_query_from_row,1,,,22477263.0,ns,180
bench_trivial_query,sqlx_query_from_row,1,,,25490922.0,ns,190
bench_trivial_query,sqlx_query_from_row,1,,,20937841.0,ns,200
bench_trivial_query,sqlx_query_from_row,1,,,25888159.0,ns,210
bench_trivial_query,sqlx_query_from_row,1,,,28826307.0,ns,220
bench_trivial_query,sqlx_query_from_row,1,,,30907884.0,ns,230
bench_trivial_query,sqlx_query_from_row,1,,,26429513.0,ns,240
bench_trivial_query,sqlx_query_from_row,1,,,30112557.0,ns,250
bench_trivial_query,sqlx_query_from_row,1,,,34885229.0,ns,260
bench_trivial_query,sqlx_query_from_row,1,,,27026363.0,ns,270
bench_trivial_query,sqlx_query_from_row,1,,,31394960.0,ns,280
bench_trivial_query,sqlx_query_from_row,1,,,38353233.0,ns,290
bench_trivial_query,sqlx_query_from_row,1,,,40715133.0,ns,300
bench_trivial_query,sqlx_query_from_row,1,,,41646323.0,ns,310
bench_trivial_query,sqlx_query_from_row,1,,,41383001.0,ns,320
bench_trivial_query,sqlx_query_from_row,1,,,32879403.0,ns,330
bench_trivial_query,sqlx_query_from_row,1,,,33098036.0,ns,340
bench_trivial_query,sqlx_query_from_row,1,,,34814465.0,ns,350
bench_trivial_query,sqlx_query_from_row,1,,,41890571.0,ns,360
bench_trivial_query,sqlx_query_from_row,1,,,36507757.0,ns,370
bench_trivial_query,sqlx_query_from_row,1,,,38682147.0,ns,380
bench_trivial_query,sqlx_query_from_row,1,,,49641013.0,ns,390
bench_trivial_query,sqlx_query_from_row,1,,,40225964.0,ns,400
bench_trivial_query,sqlx_query_from_row,1,,,43956190.0,ns,410
bench_trivial_query,sqlx_query_from_row,1,,,45980910.0,ns,420
bench_trivial_query,sqlx_query_from_row,1,,,54996033.0,ns,430
bench_trivial_query,sqlx_query_from_row,1,,,43711600.0,ns,440
bench_trivial_query,sqlx_query_from_row,1,,,58392526.0,ns,450
bench_trivial_query,sqlx_query_from_row,1,,,44059177.0,ns,460
bench_trivial_query,sqlx_query_from_row,1,,,58779889.0,ns,470
bench_trivial_query,sqlx_query_from_row,1,,,47312605.0,ns,480
bench_trivial_query,sqlx_query_from_row,1,,,47930816.0,ns,490
bench_trivial_query,sqlx_query_from_row,1,,,52159253.0,ns,500
bench_trivial_query,sqlx_query_from_row,1,,,68699361.0,ns,510
bench_trivial_query,sqlx_query_from_row,1,,,52324188.0,ns,520
bench_trivial_query,sqlx_query_from_row,1,,,53267506.0,ns,530
bench_trivial_query,sqlx_query_from_row,1,,,54509887.0,ns,540
bench_trivial_query,sqlx_query_from_row,1,,,72991018.0,ns,550
bench_trivial_query,sqlx_query_from_row,1,,,56790890.0,ns,560
bench_trivial_query,sqlx_query_from_row,1,,,57157674.0,ns,570
bench_trivial_query,sqlx_query_from_row,1,,,61780202.0,ns,580
bench_trivial_query,sqlx_query_from_row,1,,,64836469.0,ns,590
bench_trivial_query,sqlx_query_from_row,1,,,59905002.0,ns,600
bench_trivial_query,sqlx_query_from_row,1,,,60712334.0,ns,610
bench_trivial_query,sqlx_query_from_row,1,,,62159671.0,ns,620
bench_trivial_query,sqlx_query_from_row,1,,,65158011.0,ns,630
bench_trivial_query,sqlx_query_from_row,1,,,63833126.0,ns,640
bench_trivial_query,sqlx_query_from_row,1,,,67026974.0,ns,650
bench_trivial_query,sqlx_query_from_row,1,,,68643927.0,ns,660
bench_trivial_query,sqlx_query_from_row,1,,,67168001.0,ns,670
bench_trivial_query,sqlx_query_from_row,1,,,70312583.0,ns,680
bench_trivial_query,sqlx_query_from_row,1,,,69438381.0,ns,690
bench_trivial_query,sqlx_query_from_row,1,,,69175298.0,ns,700
bench_trivial_query,sqlx_query_from_row,1,,,70987023.0,ns,710
bench_trivial_query,sqlx_query_from_row,1,,,84505567.0,ns,720
bench_trivial_query,sqlx_query_from_row,1,,,73308251.0,ns,730
bench_trivial_query,sqlx_query_from_row,1,,,88014311.0,ns,740
bench_trivial_query,sqlx_query_from_row,1,,,76536914.0,ns,750
bench_trivial_query,sqlx_query_from_row,1,,,87849572.0,ns,760
bench_trivial_query,sqlx_query_from_row,1,,,93470258.0,ns,770
bench_trivial_query,sqlx_query_from_row,1,,,87276764.0,ns,780
bench_trivial_query,sqlx_query_from_row,1,,,83195828.0,ns,790
bench_trivial_query,sqlx_query_from_row,1,,,98292625.0,ns,800
bench_trivial_query,sqlx_query_from_row,1,,,80709207.0,ns,810
bench_trivial_query,sqlx_query_from_row,1,,,83617314.0,ns,820
bench_trivial_query,sqlx_query_from_row,1,,,83161652.0,ns,830
bench_trivial_query,sqlx_query_from_row,1,,,85569290.0,ns,840
bench_trivial_query,sqlx_query_from_row,1,,,94155843.0,ns,850
bench_trivial_query,sqlx_query_from_row,1,,,97578184.0,ns,860
bench_trivial_query,sqlx_query_from_row,1,,,106727752.0,ns,870
bench_trivial_query,sqlx_query_from_row,1,,,108033042.0,ns,880
bench_trivial_query,sqlx_query_from_row,1,,,106457803.0,ns,890
bench_trivial_query,sqlx_query_from_row,1,,,91960936.0,ns,900
bench_trivial_query,sqlx_query_from_row,1,,,92953324.0,ns,910
bench_trivial_query,sqlx_query_from_row,1,,,112792108.0,ns,920
bench_trivial_query,sqlx_query_from_row,1,,,93108503.0,ns,930
bench_trivial_query,sqlx_query_from_row,1,,,105980634.0,ns,940
bench_trivial_query,sqlx_query_from_row,1,,,101387864.0,ns,950
bench_trivial_query,sqlx_query_from_row,1,,,99458425.0,ns,960
bench_trivial_query,sqlx_query_from_row,1,,,96198221.0,ns,970
bench_trivial_query,sqlx_query_from_row,1,,,122915171.0,ns,980
bench_trivial_query,sqlx_query_from_row,1,,,134055671.0,ns,990
bench_trivial_query,sqlx_query_from_row,1,,,101871181.0,ns,1000
