group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,10,,,1458664.0,ns,5
bench_medium_complex_query,sqlx_query_from_row,10,,,2585652.0,ns,10
bench_medium_complex_query,sqlx_query_from_row,10,,,3660635.0,ns,15
bench_medium_complex_query,sqlx_query_from_row,10,,,4270615.0,ns,20
bench_medium_complex_query,sqlx_query_from_row,10,,,5834535.0,ns,25
bench_medium_complex_query,sqlx_query_from_row,10,,,6113618.0,ns,30
bench_medium_complex_query,sqlx_query_from_row,10,,,8296742.0,ns,35
bench_medium_complex_query,sqlx_query_from_row,10,,,8060034.0,ns,40
bench_medium_complex_query,sqlx_query_from_row,10,,,10209355.0,ns,45
bench_medium_complex_query,sqlx_query_from_row,10,,,10693803.0,ns,50
bench_medium_complex_query,sqlx_query_from_row,10,,,10896877.0,ns,55
bench_medium_complex_query,sqlx_query_from_row,10,,,13388801.0,ns,60
bench_medium_complex_query,sqlx_query_from_row,10,,,12604887.0,ns,65
bench_medium_complex_query,sqlx_query_from_row,10,,,15887368.0,ns,70
bench_medium_complex_query,sqlx_query_from_row,10,,,14724938.0,ns,75
bench_medium_complex_query,sqlx_query_from_row,10,,,17845574.0,ns,80
bench_medium_complex_query,sqlx_query_from_row,10,,,16485529.0,ns,85
bench_medium_complex_query,sqlx_query_from_row,10,,,17121442.0,ns,90
bench_medium_complex_query,sqlx_query_from_row,10,,,18793657.0,ns,95
bench_medium_complex_query,sqlx_query_from_row,10,,,22229168.0,ns,100
bench_medium_complex_query,sqlx_query_from_row,10,,,20456311.0,ns,105
bench_medium_complex_query,sqlx_query_from_row,10,,,21307037.0,ns,110
bench_medium_complex_query,sqlx_query_from_row,10,,,22920665.0,ns,115
bench_medium_complex_query,sqlx_query_from_row,10,,,22742807.0,ns,120
bench_medium_complex_query,sqlx_query_from_row,10,,,24103578.0,ns,125
bench_medium_complex_query,sqlx_query_from_row,10,,,24886897.0,ns,130
bench_medium_complex_query,sqlx_query_from_row,10,,,28156838.0,ns,135
bench_medium_complex_query,sqlx_query_from_row,10,,,30350112.0,ns,140
bench_medium_complex_query,sqlx_query_from_row,10,,,27465757.0,ns,145
bench_medium_complex_query,sqlx_query_from_row,10,,,30481687.0,ns,150
bench_medium_complex_query,sqlx_query_from_row,10,,,28936883.0,ns,155
bench_medium_complex_query,sqlx_query_from_row,10,,,30672453.0,ns,160
bench_medium_complex_query,sqlx_query_from_row,10,,,31432483.0,ns,165
bench_medium_complex_query,sqlx_query_from_row,10,,,32023847.0,ns,170
bench_medium_complex_query,sqlx_query_from_row,10,,,33107160.0,ns,175
