group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sea-orm,10000,,,74773980.0,ns,3
bench_trivial_query,sea-orm,10000,,,69720576.0,ns,3
bench_trivial_query,sea-orm,10000,,,74575971.0,ns,3
bench_trivial_query,sea-orm,10000,,,74767277.0,ns,3
bench_trivial_query,sea-orm,10000,,,69554446.0,ns,3
bench_trivial_query,sea-orm,10000,,,78069489.0,ns,3
bench_trivial_query,sea-orm,10000,,,69479920.0,ns,3
bench_trivial_query,sea-orm,10000,,,75263710.0,ns,3
bench_trivial_query,sea-orm,10000,,,71156658.0,ns,3
bench_trivial_query,sea-orm,10000,,,69686883.0,ns,3
bench_trivial_query,sea-orm,10000,,,70082670.0,ns,3
bench_trivial_query,sea-orm,10000,,,75870551.0,ns,3
bench_trivial_query,sea-orm,10000,,,74803495.0,ns,3
bench_trivial_query,sea-orm,10000,,,71869011.0,ns,3
bench_trivial_query,sea-orm,10000,,,69756115.0,ns,3
bench_trivial_query,sea-orm,10000,,,69309111.0,ns,3
bench_trivial_query,sea-orm,10000,,,69916190.0,ns,3
bench_trivial_query,sea-orm,10000,,,74847990.0,ns,3
bench_trivial_query,sea-orm,10000,,,68844766.0,ns,3
bench_trivial_query,sea-orm,10000,,,70818359.0,ns,3
bench_trivial_query,sea-orm,10000,,,75201128.0,ns,3
bench_trivial_query,sea-orm,10000,,,70347752.0,ns,3
bench_trivial_query,sea-orm,10000,,,69140295.0,ns,3
bench_trivial_query,sea-orm,10000,,,70009273.0,ns,3
bench_trivial_query,sea-orm,10000,,,69341660.0,ns,3
bench_trivial_query,sea-orm,10000,,,69905649.0,ns,3
bench_trivial_query,sea-orm,10000,,,69802518.0,ns,3
bench_trivial_query,sea-orm,10000,,,69052714.0,ns,3
bench_trivial_query,sea-orm,10000,,,69866166.0,ns,3
bench_trivial_query,sea-orm,10000,,,74648649.0,ns,3
bench_trivial_query,sea-orm,10000,,,71092279.0,ns,3
bench_trivial_query,sea-orm,10000,,,74924038.0,ns,3
bench_trivial_query,sea-orm,10000,,,69583848.0,ns,3
bench_trivial_query,sea-orm,10000,,,77613823.0,ns,3
bench_trivial_query,sea-orm,10000,,,69560398.0,ns,3
bench_trivial_query,sea-orm,10000,,,69784255.0,ns,3
bench_trivial_query,sea-orm,10000,,,74803604.0,ns,3
bench_trivial_query,sea-orm,10000,,,69953980.0,ns,3
bench_trivial_query,sea-orm,10000,,,74584056.0,ns,3
bench_trivial_query,sea-orm,10000,,,74560421.0,ns,3
bench_trivial_query,sea-orm,10000,,,69836188.0,ns,3
bench_trivial_query,sea-orm,10000,,,69314589.0,ns,3
bench_trivial_query,sea-orm,10000,,,69370914.0,ns,3
bench_trivial_query,sea-orm,10000,,,69054566.0,ns,3
bench_trivial_query,sea-orm,10000,,,70704888.0,ns,3
bench_trivial_query,sea-orm,10000,,,70029190.0,ns,3
bench_trivial_query,sea-orm,10000,,,69720084.0,ns,3
bench_trivial_query,sea-orm,10000,,,70046602.0,ns,3
bench_trivial_query,sea-orm,10000,,,74440889.0,ns,3
bench_trivial_query,sea-orm,10000,,,74677099.0,ns,3
bench_trivial_query,sea-orm,10000,,,72233963.0,ns,3
bench_trivial_query,sea-orm,10000,,,69892665.0,ns,3
bench_trivial_query,sea-orm,10000,,,69684768.0,ns,3
bench_trivial_query,sea-orm,10000,,,74449946.0,ns,3
bench_trivial_query,sea-orm,10000,,,68801115.0,ns,3
bench_trivial_query,sea-orm,10000,,,69937490.0,ns,3
bench_trivial_query,sea-orm,10000,,,74820055.0,ns,3
bench_trivial_query,sea-orm,10000,,,69522697.0,ns,3
bench_trivial_query,sea-orm,10000,,,74686758.0,ns,3
bench_trivial_query,sea-orm,10000,,,69685840.0,ns,3
bench_trivial_query,sea-orm,10000,,,69043886.0,ns,3
bench_trivial_query,sea-orm,10000,,,69145645.0,ns,3
bench_trivial_query,sea-orm,10000,,,69599771.0,ns,3
bench_trivial_query,sea-orm,10000,,,74750657.0,ns,3
bench_trivial_query,sea-orm,10000,,,69633123.0,ns,3
bench_trivial_query,sea-orm,10000,,,69237767.0,ns,3
bench_trivial_query,sea-orm,10000,,,71259540.0,ns,3
bench_trivial_query,sea-orm,10000,,,69038606.0,ns,3
bench_trivial_query,sea-orm,10000,,,72383862.0,ns,3
bench_trivial_query,sea-orm,10000,,,69264146.0,ns,3
bench_trivial_query,sea-orm,10000,,,74696456.0,ns,3
bench_trivial_query,sea-orm,10000,,,74477789.0,ns,3
bench_trivial_query,sea-orm,10000,,,72151881.0,ns,3
bench_trivial_query,sea-orm,10000,,,70137311.0,ns,3
bench_trivial_query,sea-orm,10000,,,69437421.0,ns,3
bench_trivial_query,sea-orm,10000,,,71312829.0,ns,3
bench_trivial_query,sea-orm,10000,,,69434493.0,ns,3
bench_trivial_query,sea-orm,10000,,,69088128.0,ns,3
bench_trivial_query,sea-orm,10000,,,69599512.0,ns,3
bench_trivial_query,sea-orm,10000,,,69808140.0,ns,3
bench_trivial_query,sea-orm,10000,,,68693866.0,ns,3
bench_trivial_query,sea-orm,10000,,,69028209.0,ns,3
bench_trivial_query,sea-orm,10000,,,69215647.0,ns,3
bench_trivial_query,sea-orm,10000,,,69062212.0,ns,3
bench_trivial_query,sea-orm,10000,,,69592179.0,ns,3
bench_trivial_query,sea-orm,10000,,,75249398.0,ns,3
bench_trivial_query,sea-orm,10000,,,74887013.0,ns,3
bench_trivial_query,sea-orm,10000,,,69136090.0,ns,3
bench_trivial_query,sea-orm,10000,,,69919971.0,ns,3
bench_trivial_query,sea-orm,10000,,,71975655.0,ns,3
bench_trivial_query,sea-orm,10000,,,69167458.0,ns,3
bench_trivial_query,sea-orm,10000,,,74714503.0,ns,3
bench_trivial_query,sea-orm,10000,,,74697841.0,ns,3
bench_trivial_query,sea-orm,10000,,,74762382.0,ns,3
bench_trivial_query,sea-orm,10000,,,69134986.0,ns,3
bench_trivial_query,sea-orm,10000,,,68919016.0,ns,3
bench_trivial_query,sea-orm,10000,,,69817698.0,ns,3
bench_trivial_query,sea-orm,10000,,,69715357.0,ns,3
