group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,quaint,1000,,,1390566.0,ns,1
bench_trivial_query,quaint,1000,,,2302404.0,ns,2
bench_trivial_query,quaint,1000,,,4328427.0,ns,3
bench_trivial_query,quaint,1000,,,4737006.0,ns,4
bench_trivial_query,quaint,1000,,,5628271.0,ns,5
bench_trivial_query,quaint,1000,,,6971752.0,ns,6
bench_trivial_query,quaint,1000,,,7751646.0,ns,7
bench_trivial_query,quaint,1000,,,9110650.0,ns,8
bench_trivial_query,quaint,1000,,,9966190.0,ns,9
bench_trivial_query,quaint,1000,,,11056208.0,ns,10
bench_trivial_query,quaint,1000,,,12065594.0,ns,11
bench_trivial_query,quaint,1000,,,13124654.0,ns,12
bench_trivial_query,quaint,1000,,,14286866.0,ns,13
bench_trivial_query,quaint,1000,,,15510552.0,ns,14
bench_trivial_query,quaint,1000,,,16406328.0,ns,15
bench_trivial_query,quaint,1000,,,19431561.0,ns,16
bench_trivial_query,quaint,1000,,,18734331.0,ns,17
bench_trivial_query,quaint,1000,,,20946862.0,ns,18
bench_trivial_query,quaint,1000,,,20669904.0,ns,19
bench_trivial_query,quaint,1000,,,21716166.0,ns,20
bench_trivial_query,quaint,1000,,,23573358.0,ns,21
bench_trivial_query,quaint,1000,,,25169248.0,ns,22
bench_trivial_query,quaint,1000,,,26094016.0,ns,23
bench_trivial_query,quaint,1000,,,26147760.0,ns,24
bench_trivial_query,quaint,1000,,,27347017.0,ns,25
bench_trivial_query,quaint,1000,,,29876638.0,ns,26
bench_trivial_query,quaint,1000,,,30726417.0,ns,27
bench_trivial_query,quaint,1000,,,31841080.0,ns,28
bench_trivial_query,quaint,1000,,,32435599.0,ns,29
bench_trivial_query,quaint,1000,,,34002062.0,ns,30
bench_trivial_query,quaint,1000,,,33757413.0,ns,31
bench_trivial_query,quaint,1000,,,35389223.0,ns,32
bench_trivial_query,quaint,1000,,,36143422.0,ns,33
bench_trivial_query,quaint,1000,,,36989324.0,ns,34
bench_trivial_query,quaint,1000,,,37749024.0,ns,35
bench_trivial_query,quaint,1000,,,40037063.0,ns,36
bench_trivial_query,quaint,1000,,,40359780.0,ns,37
bench_trivial_query,quaint,1000,,,41264014.0,ns,38
bench_trivial_query,quaint,1000,,,44194731.0,ns,39
bench_trivial_query,quaint,1000,,,43771054.0,ns,40
bench_trivial_query,quaint,1000,,,44777683.0,ns,41
bench_trivial_query,quaint,1000,,,45841839.0,ns,42
bench_trivial_query,quaint,1000,,,47870393.0,ns,43
bench_trivial_query,quaint,1000,,,48189700.0,ns,44
bench_trivial_query,quaint,1000,,,49081240.0,ns,45
bench_trivial_query,quaint,1000,,,52271280.0,ns,46
bench_trivial_query,quaint,1000,,,51906164.0,ns,47
bench_trivial_query,quaint,1000,,,52051330.0,ns,48
bench_trivial_query,quaint,1000,,,56952009.0,ns,49
bench_trivial_query,quaint,1000,,,57023884.0,ns,50
bench_trivial_query,quaint,1000,,,58021197.0,ns,51
bench_trivial_query,quaint,1000,,,56419147.0,ns,52
bench_trivial_query,quaint,1000,,,57683611.0,ns,53
bench_trivial_query,quaint,1000,,,58564394.0,ns,54
bench_trivial_query,quaint,1000,,,59530679.0,ns,55
bench_trivial_query,quaint,1000,,,63721664.0,ns,56
bench_trivial_query,quaint,1000,,,63158292.0,ns,57
bench_trivial_query,quaint,1000,,,65148054.0,ns,58
bench_trivial_query,quaint,1000,,,69973252.0,ns,59
bench_trivial_query,quaint,1000,,,69072667.0,ns,60
bench_trivial_query,quaint,1000,,,66642374.0,ns,61
bench_trivial_query,quaint,1000,,,68164295.0,ns,62
bench_trivial_query,quaint,1000,,,72412500.0,ns,63
bench_trivial_query,quaint,1000,,,69741116.0,ns,64
bench_trivial_query,quaint,1000,,,70597858.0,ns,65
bench_trivial_query,quaint,1000,,,71904734.0,ns,66
bench_trivial_query,quaint,1000,,,73863664.0,ns,67
bench_trivial_query,quaint,1000,,,78502017.0,ns,68
bench_trivial_query,quaint,1000,,,75626678.0,ns,69
bench_trivial_query,quaint,1000,,,79509694.0,ns,70
bench_trivial_query,quaint,1000,,,77233321.0,ns,71
bench_trivial_query,quaint,1000,,,78513063.0,ns,72
bench_trivial_query,quaint,1000,,,79722682.0,ns,73
bench_trivial_query,quaint,1000,,,84995768.0,ns,74
bench_trivial_query,quaint,1000,,,82342643.0,ns,75
bench_trivial_query,quaint,1000,,,89702193.0,ns,76
bench_trivial_query,quaint,1000,,,88494813.0,ns,77
bench_trivial_query,quaint,1000,,,85494472.0,ns,78
bench_trivial_query,quaint,1000,,,86027268.0,ns,79
bench_trivial_query,quaint,1000,,,87604611.0,ns,80
bench_trivial_query,quaint,1000,,,88278723.0,ns,81
bench_trivial_query,quaint,1000,,,89830350.0,ns,82
bench_trivial_query,quaint,1000,,,92920288.0,ns,83
bench_trivial_query,quaint,1000,,,95710019.0,ns,84
bench_trivial_query,quaint,1000,,,91884613.0,ns,85
bench_trivial_query,quaint,1000,,,98752519.0,ns,86
bench_trivial_query,quaint,1000,,,95841588.0,ns,87
bench_trivial_query,quaint,1000,,,97248348.0,ns,88
bench_trivial_query,quaint,1000,,,97964119.0,ns,89
bench_trivial_query,quaint,1000,,,98686466.0,ns,90
bench_trivial_query,quaint,1000,,,103771407.0,ns,91
bench_trivial_query,quaint,1000,,,103373704.0,ns,92
bench_trivial_query,quaint,1000,,,102954135.0,ns,93
bench_trivial_query,quaint,1000,,,101428261.0,ns,94
bench_trivial_query,quaint,1000,,,107752131.0,ns,95
bench_trivial_query,quaint,1000,,,103857854.0,ns,96
bench_trivial_query,quaint,1000,,,106190859.0,ns,97
bench_trivial_query,quaint,1000,,,109102863.0,ns,98
bench_trivial_query,quaint,1000,,,108570516.0,ns,99
bench_trivial_query,quaint,1000,,,108782113.0,ns,100
