group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,mysql,1,,,1946567.0,ns,2
bench_insert,mysql,1,,,3157752.0,ns,4
bench_insert,mysql,1,,,4359077.0,ns,6
bench_insert,mysql,1,,,5744994.0,ns,8
bench_insert,mysql,1,,,7413988.0,ns,10
bench_insert,mysql,1,,,8494457.0,ns,12
bench_insert,mysql,1,,,11669807.0,ns,14
bench_insert,mysql,1,,,10996536.0,ns,16
bench_insert,mysql,1,,,12650596.0,ns,18
bench_insert,mysql,1,,,14422013.0,ns,20
bench_insert,mysql,1,,,14220445.0,ns,22
bench_insert,mysql,1,,,16239327.0,ns,24
bench_insert,mysql,1,,,17961913.0,ns,26
bench_insert,mysql,1,,,20344711.0,ns,28
bench_insert,mysql,1,,,21003273.0,ns,30
bench_insert,mysql,1,,,21789574.0,ns,32
bench_insert,mysql,1,,,22136556.0,ns,34
bench_insert,mysql,1,,,25505151.0,ns,36
bench_insert,mysql,1,,,26304155.0,ns,38
bench_insert,mysql,1,,,33801587.0,ns,40
bench_insert,mysql,1,,,31599960.0,ns,42
bench_insert,mysql,1,,,31510003.0,ns,44
bench_insert,mysql,1,,,31143747.0,ns,46
bench_insert,mysql,1,,,34949885.0,ns,48
bench_insert,mysql,1,,,33564435.0,ns,50
bench_insert,mysql,1,,,37146956.0,ns,52
bench_insert,mysql,1,,,36563609.0,ns,54
bench_insert,mysql,1,,,46658824.0,ns,56
bench_insert,mysql,1,,,39861544.0,ns,58
bench_insert,mysql,1,,,42261990.0,ns,60
bench_insert,mysql,1,,,43534725.0,ns,62
bench_insert,mysql,1,,,46143961.0,ns,64
bench_insert,mysql,1,,,46729316.0,ns,66
bench_insert,mysql,1,,,49439262.0,ns,68
bench_insert,mysql,1,,,48169281.0,ns,70
bench_insert,mysql,1,,,52733689.0,ns,72
bench_insert,mysql,1,,,56879717.0,ns,74
bench_insert,mysql,1,,,54994826.0,ns,76
bench_insert,mysql,1,,,54855712.0,ns,78
bench_insert,mysql,1,,,56489266.0,ns,80
bench_insert,mysql,1,,,56058310.0,ns,82
bench_insert,mysql,1,,,62902788.0,ns,84
bench_insert,mysql,1,,,62557344.0,ns,86
bench_insert,mysql,1,,,58301047.0,ns,88
bench_insert,mysql,1,,,64052867.0,ns,90
bench_insert,mysql,1,,,64936365.0,ns,92
bench_insert,mysql,1,,,64151627.0,ns,94
bench_insert,mysql,1,,,66252229.0,ns,96
bench_insert,mysql,1,,,70207448.0,ns,98
bench_insert,mysql,1,,,72987492.0,ns,100
bench_insert,mysql,1,,,69401313.0,ns,102
bench_insert,mysql,1,,,73585126.0,ns,104
bench_insert,mysql,1,,,79004589.0,ns,106
bench_insert,mysql,1,,,77910342.0,ns,108
bench_insert,mysql,1,,,79863900.0,ns,110
bench_insert,mysql,1,,,76164793.0,ns,112
bench_insert,mysql,1,,,78340457.0,ns,114
bench_insert,mysql,1,,,85259204.0,ns,116
bench_insert,mysql,1,,,80728111.0,ns,118
bench_insert,mysql,1,,,84915076.0,ns,120
bench_insert,mysql,1,,,85915233.0,ns,122
bench_insert,mysql,1,,,92293010.0,ns,124
bench_insert,mysql,1,,,86848822.0,ns,126
bench_insert,mysql,1,,,86239901.0,ns,128
bench_insert,mysql,1,,,91240249.0,ns,130
bench_insert,mysql,1,,,95501387.0,ns,132
bench_insert,mysql,1,,,94478140.0,ns,134
bench_insert,mysql,1,,,97751561.0,ns,136
bench_insert,mysql,1,,,97649155.0,ns,138
bench_insert,mysql,1,,,94413210.0,ns,140
bench_insert,mysql,1,,,100096210.0,ns,142
bench_insert,mysql,1,,,102843215.0,ns,144
bench_insert,mysql,1,,,106859091.0,ns,146
bench_insert,mysql,1,,,99629488.0,ns,148
bench_insert,mysql,1,,,103523438.0,ns,150
bench_insert,mysql,1,,,108540517.0,ns,152
bench_insert,mysql,1,,,103176176.0,ns,154
bench_insert,mysql,1,,,107466596.0,ns,156
bench_insert,mysql,1,,,115020604.0,ns,158
bench_insert,mysql,1,,,112383209.0,ns,160
bench_insert,mysql,1,,,113887342.0,ns,162
bench_insert,mysql,1,,,109740268.0,ns,164
bench_insert,mysql,1,,,112878766.0,ns,166
bench_insert,mysql,1,,,112567070.0,ns,168
bench_insert,mysql,1,,,116288363.0,ns,170
bench_insert,mysql,1,,,121320496.0,ns,172
bench_insert,mysql,1,,,119984957.0,ns,174
bench_insert,mysql,1,,,125995202.0,ns,176
bench_insert,mysql,1,,,118055849.0,ns,178
bench_insert,mysql,1,,,126453998.0,ns,180
bench_insert,mysql,1,,,128912128.0,ns,182
bench_insert,mysql,1,,,133311210.0,ns,184
bench_insert,mysql,1,,,137247009.0,ns,186
bench_insert,mysql,1,,,123876799.0,ns,188
bench_insert,mysql,1,,,132234815.0,ns,190
bench_insert,mysql,1,,,129922650.0,ns,192
bench_insert,mysql,1,,,135112263.0,ns,194
bench_insert,mysql,1,,,137738746.0,ns,196
bench_insert,mysql,1,,,143112034.0,ns,198
bench_insert,mysql,1,,,139287860.0,ns,200
