group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,1,,,1267698.0,ns,34
bench_medium_complex_query,sqlx_query_from_row,1,,,1763847.0,ns,68
bench_medium_complex_query,sqlx_query_from_row,1,,,3054788.0,ns,102
bench_medium_complex_query,sqlx_query_from_row,1,,,3466361.0,ns,136
bench_medium_complex_query,sqlx_query_from_row,1,,,5091681.0,ns,170
bench_medium_complex_query,sqlx_query_from_row,1,,,5028657.0,ns,204
bench_medium_complex_query,sqlx_query_from_row,1,,,7144825.0,ns,238
bench_medium_complex_query,sqlx_query_from_row,1,,,6592071.0,ns,272
bench_medium_complex_query,sqlx_query_from_row,1,,,9235678.0,ns,306
bench_medium_complex_query,sqlx_query_from_row,1,,,9356692.0,ns,340
bench_medium_complex_query,sqlx_query_from_row,1,,,11293460.0,ns,374
bench_medium_complex_query,sqlx_query_from_row,1,,,9840157.0,ns,408
bench_medium_complex_query,sqlx_query_from_row,1,,,13285540.0,ns,442
bench_medium_complex_query,sqlx_query_from_row,1,,,11618392.0,ns,476
bench_medium_complex_query,sqlx_query_from_row,1,,,12817450.0,ns,510
bench_medium_complex_query,sqlx_query_from_row,1,,,16200763.0,ns,544
bench_medium_complex_query,sqlx_query_from_row,1,,,16531523.0,ns,578
bench_medium_complex_query,sqlx_query_from_row,1,,,15169529.0,ns,612
bench_medium_complex_query,sqlx_query_from_row,1,,,19449398.0,ns,646
bench_medium_complex_query,sqlx_query_from_row,1,,,16566207.0,ns,680
bench_medium_complex_query,sqlx_query_from_row,1,,,18900705.0,ns,714
bench_medium_complex_query,sqlx_query_from_row,1,,,19394658.0,ns,748
bench_medium_complex_query,sqlx_query_from_row,1,,,22371849.0,ns,782
bench_medium_complex_query,sqlx_query_from_row,1,,,24803115.0,ns,816
bench_medium_complex_query,sqlx_query_from_row,1,,,22606635.0,ns,850
bench_medium_complex_query,sqlx_query_from_row,1,,,29084495.0,ns,884
bench_medium_complex_query,sqlx_query_from_row,1,,,23852243.0,ns,918
bench_medium_complex_query,sqlx_query_from_row,1,,,28383637.0,ns,952
bench_medium_complex_query,sqlx_query_from_row,1,,,32452797.0,ns,986
bench_medium_complex_query,sqlx_query_from_row,1,,,33339327.0,ns,1020
bench_medium_complex_query,sqlx_query_from_row,1,,,27574448.0,ns,1054
bench_medium_complex_query,sqlx_query_from_row,1,,,35462430.0,ns,1088
bench_medium_complex_query,sqlx_query_from_row,1,,,29309033.0,ns,1122
bench_medium_complex_query,sqlx_query_from_row,1,,,37655006.0,ns,1156
bench_medium_complex_query,sqlx_query_from_row,1,,,43218877.0,ns,1190
bench_medium_complex_query,sqlx_query_from_row,1,,,31887718.0,ns,1224
bench_medium_complex_query,sqlx_query_from_row,1,,,43564658.0,ns,1258
bench_medium_complex_query,sqlx_query_from_row,1,,,47368203.0,ns,1292
bench_medium_complex_query,sqlx_query_from_row,1,,,51588350.0,ns,1326
bench_medium_complex_query,sqlx_query_from_row,1,,,35610083.0,ns,1360
bench_medium_complex_query,sqlx_query_from_row,1,,,39457339.0,ns,1394
bench_medium_complex_query,sqlx_query_from_row,1,,,75568332.0,ns,1428
bench_medium_complex_query,sqlx_query_from_row,1,,,39825444.0,ns,1462
bench_medium_complex_query,sqlx_query_from_row,1,,,48119445.0,ns,1496
bench_medium_complex_query,sqlx_query_from_row,1,,,39734423.0,ns,1530
bench_medium_complex_query,sqlx_query_from_row,1,,,48645668.0,ns,1564
bench_medium_complex_query,sqlx_query_from_row,1,,,53434774.0,ns,1598
bench_medium_complex_query,sqlx_query_from_row,1,,,44813612.0,ns,1632
bench_medium_complex_query,sqlx_query_from_row,1,,,57131378.0,ns,1666
bench_medium_complex_query,sqlx_query_from_row,1,,,49337420.0,ns,1700
bench_medium_complex_query,sqlx_query_from_row,1,,,60159214.0,ns,1734
bench_medium_complex_query,sqlx_query_from_row,1,,,49562998.0,ns,1768
bench_medium_complex_query,sqlx_query_from_row,1,,,64603149.0,ns,1802
bench_medium_complex_query,sqlx_query_from_row,1,,,52942712.0,ns,1836
bench_medium_complex_query,sqlx_query_from_row,1,,,65700402.0,ns,1870
bench_medium_complex_query,sqlx_query_from_row,1,,,52630719.0,ns,1904
