group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,1618641.0,ns,4
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,2737707.0,ns,8
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,3883728.0,ns,12
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,5029794.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,6261897.0,ns,20
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,7402902.0,ns,24
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,8500725.0,ns,28
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,9761701.0,ns,32
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,10979954.0,ns,36
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,11459750.0,ns,40
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,13094609.0,ns,44
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,12950547.0,ns,48
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,15158943.0,ns,52
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,14837298.0,ns,56
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,17168171.0,ns,60
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,18428543.0,ns,64
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,19899472.0,ns,68
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,19731029.0,ns,72
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,21774938.0,ns,76
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,23034321.0,ns,80
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,22724438.0,ns,84
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,28558806.0,ns,88
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,24341627.0,ns,92
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,27654360.0,ns,96
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,29235502.0,ns,100
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,26896340.0,ns,104
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,30315370.0,ns,108
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,31403349.0,ns,112
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,31711818.0,ns,116
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,34716656.0,ns,120
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,35147174.0,ns,124
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,34913943.0,ns,128
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,38568235.0,ns,132
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,38606680.0,ns,136
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,40005122.0,ns,140
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,41095644.0,ns,144
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,42628994.0,ns,148
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,41534590.0,ns,152
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,43870637.0,ns,156
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,41741005.0,ns,160
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,46995066.0,ns,164
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,49487205.0,ns,168
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,50736914.0,ns,172
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,48969213.0,ns,176
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,49450691.0,ns,180
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,50435043.0,ns,184
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,53405579.0,ns,188
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,53296954.0,ns,192
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,54519371.0,ns,196
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,54450213.0,ns,200
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,58468528.0,ns,204
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,59572221.0,ns,208
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,62968998.0,ns,212
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,64292865.0,ns,216
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,62107078.0,ns,220
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,62225925.0,ns,224
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,63283651.0,ns,228
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,62465114.0,ns,232
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,65097615.0,ns,236
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,66914526.0,ns,240
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,68164638.0,ns,244
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,68030899.0,ns,248
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,67970079.0,ns,252
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,73995376.0,ns,256
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,75383633.0,ns,260
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,75424392.0,ns,264
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,75697374.0,ns,268
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,77929461.0,ns,272
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,73550482.0,ns,276
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,81427022.0,ns,280
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,81221249.0,ns,284
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,76967051.0,ns,288
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,80976889.0,ns,292
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,84624136.0,ns,296
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,83035109.0,ns,300
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,86400172.0,ns,304
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,82025848.0,ns,308
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,89148648.0,ns,312
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,86408448.0,ns,316
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,92345408.0,ns,320
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,90608284.0,ns,324
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,89745129.0,ns,328
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,94626997.0,ns,332
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,93438170.0,ns,336
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,96128863.0,ns,340
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,97746094.0,ns,344
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,92569130.0,ns,348
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,101596378.0,ns,352
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,103216452.0,ns,356
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,104247132.0,ns,360
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,100341938.0,ns,364
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,103057009.0,ns,368
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,105045398.0,ns,372
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,108345105.0,ns,376
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,104772497.0,ns,380
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,109498761.0,ns,384
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,107161541.0,ns,388
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,113210375.0,ns,392
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,113500412.0,ns,396
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,111540175.0,ns,400
