group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,rustorm,100,,,1093045.0,ns,6
bench_trivial_query,rustorm,100,,,2224914.0,ns,12
bench_trivial_query,rustorm,100,,,3201024.0,ns,18
bench_trivial_query,rustorm,100,,,4093469.0,ns,24
bench_trivial_query,rustorm,100,,,5283836.0,ns,30
bench_trivial_query,rustorm,100,,,7003660.0,ns,36
bench_trivial_query,rustorm,100,,,8052556.0,ns,42
bench_trivial_query,rustorm,100,,,9064865.0,ns,48
bench_trivial_query,rustorm,100,,,10060133.0,ns,54
bench_trivial_query,rustorm,100,,,10167641.0,ns,60
bench_trivial_query,rustorm,100,,,12371141.0,ns,66
bench_trivial_query,rustorm,100,,,11923538.0,ns,72
bench_trivial_query,rustorm,100,,,14611885.0,ns,78
bench_trivial_query,rustorm,100,,,15381528.0,ns,84
bench_trivial_query,rustorm,100,,,15859032.0,ns,90
bench_trivial_query,rustorm,100,,,16473021.0,ns,96
bench_trivial_query,rustorm,100,,,16906783.0,ns,102
bench_trivial_query,rustorm,100,,,21151351.0,ns,108
bench_trivial_query,rustorm,100,,,21181573.0,ns,114
bench_trivial_query,rustorm,100,,,22108827.0,ns,120
bench_trivial_query,rustorm,100,,,23468585.0,ns,126
bench_trivial_query,rustorm,100,,,23236062.0,ns,132
bench_trivial_query,rustorm,100,,,26335694.0,ns,138
bench_trivial_query,rustorm,100,,,26410921.0,ns,144
bench_trivial_query,rustorm,100,,,28073395.0,ns,150
bench_trivial_query,rustorm,100,,,25743393.0,ns,156
bench_trivial_query,rustorm,100,,,31082152.0,ns,162
bench_trivial_query,rustorm,100,,,31865135.0,ns,168
bench_trivial_query,rustorm,100,,,29217932.0,ns,174
bench_trivial_query,rustorm,100,,,34506538.0,ns,180
bench_trivial_query,rustorm,100,,,30975989.0,ns,186
bench_trivial_query,rustorm,100,,,38971587.0,ns,192
bench_trivial_query,rustorm,100,,,32749479.0,ns,198
bench_trivial_query,rustorm,100,,,33940148.0,ns,204
bench_trivial_query,rustorm,100,,,34563050.0,ns,210
bench_trivial_query,rustorm,100,,,36108896.0,ns,216
bench_trivial_query,rustorm,100,,,36699043.0,ns,222
bench_trivial_query,rustorm,100,,,43062844.0,ns,228
bench_trivial_query,rustorm,100,,,40337987.0,ns,234
bench_trivial_query,rustorm,100,,,44960105.0,ns,240
bench_trivial_query,rustorm,100,,,44084776.0,ns,246
bench_trivial_query,rustorm,100,,,44173227.0,ns,252
bench_trivial_query,rustorm,100,,,43003524.0,ns,258
bench_trivial_query,rustorm,100,,,44519283.0,ns,264
bench_trivial_query,rustorm,100,,,47073628.0,ns,270
bench_trivial_query,rustorm,100,,,46775829.0,ns,276
bench_trivial_query,rustorm,100,,,47739251.0,ns,282
