group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,10000,,,50743810.0,ns,17
bench_medium_complex_query,diesel,10000,,,61858509.0,ns,17
bench_medium_complex_query,diesel,10000,,,64202945.0,ns,17
bench_medium_complex_query,diesel,10000,,,50893023.0,ns,17
bench_medium_complex_query,diesel,10000,,,50647394.0,ns,17
bench_medium_complex_query,diesel,10000,,,59731677.0,ns,17
bench_medium_complex_query,diesel,10000,,,50558578.0,ns,17
bench_medium_complex_query,diesel,10000,,,56536611.0,ns,17
bench_medium_complex_query,diesel,10000,,,50971533.0,ns,17
bench_medium_complex_query,diesel,10000,,,50674885.0,ns,17
bench_medium_complex_query,diesel,10000,,,50684994.0,ns,17
bench_medium_complex_query,diesel,10000,,,63831000.0,ns,17
bench_medium_complex_query,diesel,10000,,,51030350.0,ns,17
bench_medium_complex_query,diesel,10000,,,60999891.0,ns,17
bench_medium_complex_query,diesel,10000,,,52069770.0,ns,17
bench_medium_complex_query,diesel,10000,,,50755928.0,ns,17
bench_medium_complex_query,diesel,10000,,,56095059.0,ns,17
bench_medium_complex_query,diesel,10000,,,50511143.0,ns,17
bench_medium_complex_query,diesel,10000,,,64191564.0,ns,17
bench_medium_complex_query,diesel,10000,,,50781494.0,ns,17
bench_medium_complex_query,diesel,10000,,,50618279.0,ns,17
bench_medium_complex_query,diesel,10000,,,62920598.0,ns,17
bench_medium_complex_query,diesel,10000,,,64497677.0,ns,17
bench_medium_complex_query,diesel,10000,,,50739095.0,ns,17
bench_medium_complex_query,diesel,10000,,,50581882.0,ns,17
bench_medium_complex_query,diesel,10000,,,50637166.0,ns,17
bench_medium_complex_query,diesel,10000,,,64708431.0,ns,17
bench_medium_complex_query,diesel,10000,,,64275031.0,ns,17
bench_medium_complex_query,diesel,10000,,,50828235.0,ns,17
bench_medium_complex_query,diesel,10000,,,61129489.0,ns,17
bench_medium_complex_query,diesel,10000,,,63759386.0,ns,17
bench_medium_complex_query,diesel,10000,,,50677570.0,ns,17
bench_medium_complex_query,diesel,10000,,,50992095.0,ns,17
bench_medium_complex_query,diesel,10000,,,63944773.0,ns,17
bench_medium_complex_query,diesel,10000,,,50793430.0,ns,17
bench_medium_complex_query,diesel,10000,,,63814861.0,ns,17
bench_medium_complex_query,diesel,10000,,,52516489.0,ns,17
bench_medium_complex_query,diesel,10000,,,64560294.0,ns,17
bench_medium_complex_query,diesel,10000,,,51312654.0,ns,17
bench_medium_complex_query,diesel,10000,,,52275912.0,ns,17
bench_medium_complex_query,diesel,10000,,,50616767.0,ns,17
bench_medium_complex_query,diesel,10000,,,63148715.0,ns,17
bench_medium_complex_query,diesel,10000,,,50897572.0,ns,17
bench_medium_complex_query,diesel,10000,,,62878950.0,ns,17
bench_medium_complex_query,diesel,10000,,,50816380.0,ns,17
bench_medium_complex_query,diesel,10000,,,51003753.0,ns,17
bench_medium_complex_query,diesel,10000,,,50890775.0,ns,17
bench_medium_complex_query,diesel,10000,,,50891432.0,ns,17
bench_medium_complex_query,diesel,10000,,,50888958.0,ns,17
bench_medium_complex_query,diesel,10000,,,57001372.0,ns,17
bench_medium_complex_query,diesel,10000,,,64284180.0,ns,17
bench_medium_complex_query,diesel,10000,,,64824691.0,ns,17
bench_medium_complex_query,diesel,10000,,,63906104.0,ns,17
bench_medium_complex_query,diesel,10000,,,64478865.0,ns,17
bench_medium_complex_query,diesel,10000,,,50784372.0,ns,17
bench_medium_complex_query,diesel,10000,,,50703771.0,ns,17
bench_medium_complex_query,diesel,10000,,,50771939.0,ns,17
bench_medium_complex_query,diesel,10000,,,50856628.0,ns,17
bench_medium_complex_query,diesel,10000,,,50567106.0,ns,17
bench_medium_complex_query,diesel,10000,,,54157055.0,ns,17
bench_medium_complex_query,diesel,10000,,,50673575.0,ns,17
bench_medium_complex_query,diesel,10000,,,64028133.0,ns,17
bench_medium_complex_query,diesel,10000,,,63603508.0,ns,17
bench_medium_complex_query,diesel,10000,,,64326507.0,ns,17
bench_medium_complex_query,diesel,10000,,,50747774.0,ns,17
bench_medium_complex_query,diesel,10000,,,64064941.0,ns,17
bench_medium_complex_query,diesel,10000,,,50793570.0,ns,17
bench_medium_complex_query,diesel,10000,,,64361606.0,ns,17
bench_medium_complex_query,diesel,10000,,,51010148.0,ns,17
bench_medium_complex_query,diesel,10000,,,64423502.0,ns,17
bench_medium_complex_query,diesel,10000,,,51092285.0,ns,17
bench_medium_complex_query,diesel,10000,,,50748402.0,ns,17
bench_medium_complex_query,diesel,10000,,,50947441.0,ns,17
bench_medium_complex_query,diesel,10000,,,52910428.0,ns,17
bench_medium_complex_query,diesel,10000,,,55909533.0,ns,17
bench_medium_complex_query,diesel,10000,,,50608825.0,ns,17
bench_medium_complex_query,diesel,10000,,,50869008.0,ns,17
bench_medium_complex_query,diesel,10000,,,65630468.0,ns,17
bench_medium_complex_query,diesel,10000,,,50667134.0,ns,17
bench_medium_complex_query,diesel,10000,,,52419270.0,ns,17
bench_medium_complex_query,diesel,10000,,,51145899.0,ns,17
bench_medium_complex_query,diesel,10000,,,50585094.0,ns,17
bench_medium_complex_query,diesel,10000,,,63850460.0,ns,17
bench_medium_complex_query,diesel,10000,,,53139704.0,ns,17
bench_medium_complex_query,diesel,10000,,,58537307.0,ns,17
bench_medium_complex_query,diesel,10000,,,50594909.0,ns,17
bench_medium_complex_query,diesel,10000,,,51291240.0,ns,17
bench_medium_complex_query,diesel,10000,,,56482155.0,ns,17
bench_medium_complex_query,diesel,10000,,,50884129.0,ns,17
bench_medium_complex_query,diesel,10000,,,51122995.0,ns,17
bench_medium_complex_query,diesel,10000,,,50810081.0,ns,17
bench_medium_complex_query,diesel,10000,,,58965645.0,ns,17
bench_medium_complex_query,diesel,10000,,,64485598.0,ns,17
bench_medium_complex_query,diesel,10000,,,50941757.0,ns,17
