group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,10,,,1731951.0,ns,6
bench_medium_complex_query,sqlx_query_from_row,10,,,3040018.0,ns,12
bench_medium_complex_query,sqlx_query_from_row,10,,,3754772.0,ns,18
bench_medium_complex_query,sqlx_query_from_row,10,,,4988210.0,ns,24
bench_medium_complex_query,sqlx_query_from_row,10,,,6464503.0,ns,30
bench_medium_complex_query,sqlx_query_from_row,10,,,7086941.0,ns,36
bench_medium_complex_query,sqlx_query_from_row,10,,,8333074.0,ns,42
bench_medium_complex_query,sqlx_query_from_row,10,,,9385248.0,ns,48
bench_medium_complex_query,sqlx_query_from_row,10,,,10048102.0,ns,54
bench_medium_complex_query,sqlx_query_from_row,10,,,11046524.0,ns,60
bench_medium_complex_query,sqlx_query_from_row,10,,,12773993.0,ns,66
bench_medium_complex_query,sqlx_query_from_row,10,,,13055761.0,ns,72
bench_medium_complex_query,sqlx_query_from_row,10,,,15004613.0,ns,78
bench_medium_complex_query,sqlx_query_from_row,10,,,16183014.0,ns,84
bench_medium_complex_query,sqlx_query_from_row,10,,,17868593.0,ns,90
bench_medium_complex_query,sqlx_query_from_row,10,,,18245396.0,ns,96
bench_medium_complex_query,sqlx_query_from_row,10,,,18931777.0,ns,102
bench_medium_complex_query,sqlx_query_from_row,10,,,19199805.0,ns,108
bench_medium_complex_query,sqlx_query_from_row,10,,,21641590.0,ns,114
bench_medium_complex_query,sqlx_query_from_row,10,,,21720011.0,ns,120
bench_medium_complex_query,sqlx_query_from_row,10,,,24176004.0,ns,126
bench_medium_complex_query,sqlx_query_from_row,10,,,25752040.0,ns,132
bench_medium_complex_query,sqlx_query_from_row,10,,,27286221.0,ns,138
bench_medium_complex_query,sqlx_query_from_row,10,,,29276782.0,ns,144
bench_medium_complex_query,sqlx_query_from_row,10,,,26500987.0,ns,150
bench_medium_complex_query,sqlx_query_from_row,10,,,28336369.0,ns,156
bench_medium_complex_query,sqlx_query_from_row,10,,,34073145.0,ns,162
bench_medium_complex_query,sqlx_query_from_row,10,,,34424048.0,ns,168
bench_medium_complex_query,sqlx_query_from_row,10,,,35434462.0,ns,174
bench_medium_complex_query,sqlx_query_from_row,10,,,32660198.0,ns,180
bench_medium_complex_query,sqlx_query_from_row,10,,,33616343.0,ns,186
bench_medium_complex_query,sqlx_query_from_row,10,,,38473956.0,ns,192
bench_medium_complex_query,sqlx_query_from_row,10,,,40355997.0,ns,198
bench_medium_complex_query,sqlx_query_from_row,10,,,36631580.0,ns,204
bench_medium_complex_query,sqlx_query_from_row,10,,,37779925.0,ns,210
bench_medium_complex_query,sqlx_query_from_row,10,,,39308620.0,ns,216
bench_medium_complex_query,sqlx_query_from_row,10,,,39856525.0,ns,222
bench_medium_complex_query,sqlx_query_from_row,10,,,43849107.0,ns,228
bench_medium_complex_query,sqlx_query_from_row,10,,,48183496.0,ns,234
bench_medium_complex_query,sqlx_query_from_row,10,,,49197544.0,ns,240
bench_medium_complex_query,sqlx_query_from_row,10,,,49556367.0,ns,246
bench_medium_complex_query,sqlx_query_from_row,10,,,46370328.0,ns,252
bench_medium_complex_query,sqlx_query_from_row,10,,,45280157.0,ns,258
bench_medium_complex_query,sqlx_query_from_row,10,,,47710836.0,ns,264
bench_medium_complex_query,sqlx_query_from_row,10,,,48562961.0,ns,270
bench_medium_complex_query,sqlx_query_from_row,10,,,50225381.0,ns,276
bench_medium_complex_query,sqlx_query_from_row,10,,,58360176.0,ns,282
bench_medium_complex_query,sqlx_query_from_row,10,,,54847343.0,ns,288
bench_medium_complex_query,sqlx_query_from_row,10,,,52763793.0,ns,294
bench_medium_complex_query,sqlx_query_from_row,10,,,53289139.0,ns,300
bench_medium_complex_query,sqlx_query_from_row,10,,,58913680.0,ns,306
bench_medium_complex_query,sqlx_query_from_row,10,,,64917816.0,ns,312
bench_medium_complex_query,sqlx_query_from_row,10,,,56639522.0,ns,318
bench_medium_complex_query,sqlx_query_from_row,10,,,59678785.0,ns,324
bench_medium_complex_query,sqlx_query_from_row,10,,,60255810.0,ns,330
bench_medium_complex_query,sqlx_query_from_row,10,,,63142173.0,ns,336
bench_medium_complex_query,sqlx_query_from_row,10,,,69311274.0,ns,342
bench_medium_complex_query,sqlx_query_from_row,10,,,67165093.0,ns,348
bench_medium_complex_query,sqlx_query_from_row,10,,,62383980.0,ns,354
bench_medium_complex_query,sqlx_query_from_row,10,,,64509903.0,ns,360
bench_medium_complex_query,sqlx_query_from_row,10,,,66738643.0,ns,366
bench_medium_complex_query,sqlx_query_from_row,10,,,72278738.0,ns,372
bench_medium_complex_query,sqlx_query_from_row,10,,,69600857.0,ns,378
bench_medium_complex_query,sqlx_query_from_row,10,,,73107050.0,ns,384
bench_medium_complex_query,sqlx_query_from_row,10,,,69759852.0,ns,390
bench_medium_complex_query,sqlx_query_from_row,10,,,73351116.0,ns,396
bench_medium_complex_query,sqlx_query_from_row,10,,,81059867.0,ns,402
bench_medium_complex_query,sqlx_query_from_row,10,,,83293919.0,ns,408
bench_medium_complex_query,sqlx_query_from_row,10,,,71491971.0,ns,414
bench_medium_complex_query,sqlx_query_from_row,10,,,84580109.0,ns,420
bench_medium_complex_query,sqlx_query_from_row,10,,,77192055.0,ns,426
bench_medium_complex_query,sqlx_query_from_row,10,,,88188845.0,ns,432
bench_medium_complex_query,sqlx_query_from_row,10,,,89235307.0,ns,438
bench_medium_complex_query,sqlx_query_from_row,10,,,81484560.0,ns,444
bench_medium_complex_query,sqlx_query_from_row,10,,,80620573.0,ns,450
bench_medium_complex_query,sqlx_query_from_row,10,,,85267871.0,ns,456
bench_medium_complex_query,sqlx_query_from_row,10,,,81454978.0,ns,462
bench_medium_complex_query,sqlx_query_from_row,10,,,84286014.0,ns,468
bench_medium_complex_query,sqlx_query_from_row,10,,,86167839.0,ns,474
bench_medium_complex_query,sqlx_query_from_row,10,,,88274553.0,ns,480
bench_medium_complex_query,sqlx_query_from_row,10,,,92909909.0,ns,486
bench_medium_complex_query,sqlx_query_from_row,10,,,88016483.0,ns,492
bench_medium_complex_query,sqlx_query_from_row,10,,,88269116.0,ns,498
bench_medium_complex_query,sqlx_query_from_row,10,,,94253917.0,ns,504
bench_medium_complex_query,sqlx_query_from_row,10,,,105307754.0,ns,510
bench_medium_complex_query,sqlx_query_from_row,10,,,97859155.0,ns,516
bench_medium_complex_query,sqlx_query_from_row,10,,,92829256.0,ns,522
bench_medium_complex_query,sqlx_query_from_row,10,,,104896241.0,ns,528
bench_medium_complex_query,sqlx_query_from_row,10,,,94962136.0,ns,534
bench_medium_complex_query,sqlx_query_from_row,10,,,98345459.0,ns,540
bench_medium_complex_query,sqlx_query_from_row,10,,,98837648.0,ns,546
bench_medium_complex_query,sqlx_query_from_row,10,,,100651839.0,ns,552
bench_medium_complex_query,sqlx_query_from_row,10,,,110996048.0,ns,558
bench_medium_complex_query,sqlx_query_from_row,10,,,109578492.0,ns,564
bench_medium_complex_query,sqlx_query_from_row,10,,,106285023.0,ns,570
bench_medium_complex_query,sqlx_query_from_row,10,,,103549491.0,ns,576
bench_medium_complex_query,sqlx_query_from_row,10,,,102939747.0,ns,582
bench_medium_complex_query,sqlx_query_from_row,10,,,118383456.0,ns,588
