group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,postgres_by_name,1,,,1294188.0,ns,15
bench_medium_complex_query,postgres_by_name,1,,,2082072.0,ns,30
bench_medium_complex_query,postgres_by_name,1,,,2831683.0,ns,45
bench_medium_complex_query,postgres_by_name,1,,,4940815.0,ns,60
bench_medium_complex_query,postgres_by_name,1,,,4498478.0,ns,75
bench_medium_complex_query,postgres_by_name,1,,,5651253.0,ns,90
bench_medium_complex_query,postgres_by_name,1,,,8452350.0,ns,105
bench_medium_complex_query,postgres_by_name,1,,,9075705.0,ns,120
bench_medium_complex_query,postgres_by_name,1,,,9530545.0,ns,135
bench_medium_complex_query,postgres_by_name,1,,,11895695.0,ns,150
bench_medium_complex_query,postgres_by_name,1,,,12879658.0,ns,165
bench_medium_complex_query,postgres_by_name,1,,,10497770.0,ns,180
bench_medium_complex_query,postgres_by_name,1,,,15056494.0,ns,195
bench_medium_complex_query,postgres_by_name,1,,,12463637.0,ns,210
bench_medium_complex_query,postgres_by_name,1,,,15931610.0,ns,225
bench_medium_complex_query,postgres_by_name,1,,,14177100.0,ns,240
bench_medium_complex_query,postgres_by_name,1,,,15119031.0,ns,255
bench_medium_complex_query,postgres_by_name,1,,,17849456.0,ns,270
bench_medium_complex_query,postgres_by_name,1,,,20155224.0,ns,285
bench_medium_complex_query,postgres_by_name,1,,,23061056.0,ns,300
bench_medium_complex_query,postgres_by_name,1,,,18780555.0,ns,315
bench_medium_complex_query,postgres_by_name,1,,,25427471.0,ns,330
bench_medium_complex_query,postgres_by_name,1,,,26689318.0,ns,345
bench_medium_complex_query,postgres_by_name,1,,,21444775.0,ns,360
bench_medium_complex_query,postgres_by_name,1,,,22423541.0,ns,375
bench_medium_complex_query,postgres_by_name,1,,,29646637.0,ns,390
bench_medium_complex_query,postgres_by_name,1,,,23409046.0,ns,405
bench_medium_complex_query,postgres_by_name,1,,,24312395.0,ns,420
bench_medium_complex_query,postgres_by_name,1,,,28602518.0,ns,435
bench_medium_complex_query,postgres_by_name,1,,,26741688.0,ns,450
bench_medium_complex_query,postgres_by_name,1,,,27662307.0,ns,465
bench_medium_complex_query,postgres_by_name,1,,,28393664.0,ns,480
bench_medium_complex_query,postgres_by_name,1,,,34447001.0,ns,495
bench_medium_complex_query,postgres_by_name,1,,,39136836.0,ns,510
bench_medium_complex_query,postgres_by_name,1,,,38394398.0,ns,525
bench_medium_complex_query,postgres_by_name,1,,,41300419.0,ns,540
bench_medium_complex_query,postgres_by_name,1,,,34332816.0,ns,555
bench_medium_complex_query,postgres_by_name,1,,,44234516.0,ns,570
bench_medium_complex_query,postgres_by_name,1,,,34783860.0,ns,585
bench_medium_complex_query,postgres_by_name,1,,,38100499.0,ns,600
bench_medium_complex_query,postgres_by_name,1,,,38357851.0,ns,615
bench_medium_complex_query,postgres_by_name,1,,,40952891.0,ns,630
bench_medium_complex_query,postgres_by_name,1,,,43045963.0,ns,645
bench_medium_complex_query,postgres_by_name,1,,,43505099.0,ns,660
bench_medium_complex_query,postgres_by_name,1,,,38990559.0,ns,675
bench_medium_complex_query,postgres_by_name,1,,,40270625.0,ns,690
bench_medium_complex_query,postgres_by_name,1,,,42292444.0,ns,705
bench_medium_complex_query,postgres_by_name,1,,,42277713.0,ns,720
bench_medium_complex_query,postgres_by_name,1,,,44514182.0,ns,735
bench_medium_complex_query,postgres_by_name,1,,,46181982.0,ns,750
bench_medium_complex_query,postgres_by_name,1,,,45806391.0,ns,765
bench_medium_complex_query,postgres_by_name,1,,,45190589.0,ns,780
bench_medium_complex_query,postgres_by_name,1,,,60748850.0,ns,795
bench_medium_complex_query,postgres_by_name,1,,,49073350.0,ns,810
bench_medium_complex_query,postgres_by_name,1,,,51331668.0,ns,825
bench_medium_complex_query,postgres_by_name,1,,,50419754.0,ns,840
bench_medium_complex_query,postgres_by_name,1,,,49752178.0,ns,855
bench_medium_complex_query,postgres_by_name,1,,,68403107.0,ns,870
bench_medium_complex_query,postgres_by_name,1,,,52779564.0,ns,885
bench_medium_complex_query,postgres_by_name,1,,,61092819.0,ns,900
bench_medium_complex_query,postgres_by_name,1,,,57165285.0,ns,915
bench_medium_complex_query,postgres_by_name,1,,,65566540.0,ns,930
bench_medium_complex_query,postgres_by_name,1,,,58302320.0,ns,945
bench_medium_complex_query,postgres_by_name,1,,,56679765.0,ns,960
bench_medium_complex_query,postgres_by_name,1,,,53939513.0,ns,975
bench_medium_complex_query,postgres_by_name,1,,,56784442.0,ns,990
bench_medium_complex_query,postgres_by_name,1,,,80041520.0,ns,1005
bench_medium_complex_query,postgres_by_name,1,,,70374361.0,ns,1020
bench_medium_complex_query,postgres_by_name,1,,,73644214.0,ns,1035
bench_medium_complex_query,postgres_by_name,1,,,77014646.0,ns,1050
bench_medium_complex_query,postgres_by_name,1,,,63986822.0,ns,1065
bench_medium_complex_query,postgres_by_name,1,,,75518501.0,ns,1080
bench_medium_complex_query,postgres_by_name,1,,,86970733.0,ns,1095
bench_medium_complex_query,postgres_by_name,1,,,82719166.0,ns,1110
bench_medium_complex_query,postgres_by_name,1,,,85168776.0,ns,1125
bench_medium_complex_query,postgres_by_name,1,,,68066737.0,ns,1140
bench_medium_complex_query,postgres_by_name,1,,,68924115.0,ns,1155
bench_medium_complex_query,postgres_by_name,1,,,71708274.0,ns,1170
bench_medium_complex_query,postgres_by_name,1,,,71709867.0,ns,1185
bench_medium_complex_query,postgres_by_name,1,,,73847498.0,ns,1200
bench_medium_complex_query,postgres_by_name,1,,,95013547.0,ns,1215
bench_medium_complex_query,postgres_by_name,1,,,89626792.0,ns,1230
bench_medium_complex_query,postgres_by_name,1,,,75582617.0,ns,1245
bench_medium_complex_query,postgres_by_name,1,,,99171322.0,ns,1260
bench_medium_complex_query,postgres_by_name,1,,,84279436.0,ns,1275
bench_medium_complex_query,postgres_by_name,1,,,77091951.0,ns,1290
bench_medium_complex_query,postgres_by_name,1,,,79412084.0,ns,1305
bench_medium_complex_query,postgres_by_name,1,,,79237624.0,ns,1320
bench_medium_complex_query,postgres_by_name,1,,,81334548.0,ns,1335
bench_medium_complex_query,postgres_by_name,1,,,105618168.0,ns,1350
bench_medium_complex_query,postgres_by_name,1,,,99354730.0,ns,1365
bench_medium_complex_query,postgres_by_name,1,,,83505656.0,ns,1380
bench_medium_complex_query,postgres_by_name,1,,,101019453.0,ns,1395
bench_medium_complex_query,postgres_by_name,1,,,99866026.0,ns,1410
bench_medium_complex_query,postgres_by_name,1,,,90763933.0,ns,1425
bench_medium_complex_query,postgres_by_name,1,,,87721337.0,ns,1440
bench_medium_complex_query,postgres_by_name,1,,,87668317.0,ns,1455
bench_medium_complex_query,postgres_by_name,1,,,88930085.0,ns,1470
bench_medium_complex_query,postgres_by_name,1,,,110607969.0,ns,1485
bench_medium_complex_query,postgres_by_name,1,,,100882215.0,ns,1500
