group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_loading_associations_sequentially,wtx,,,,51157096.0,ns,25
bench_loading_associations_sequentially,wtx,,,,49283356.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51813647.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51246620.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51121388.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51423319.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51636994.0,ns,25
bench_loading_associations_sequentially,wtx,,,,49092619.0,ns,25
bench_loading_associations_sequentially,wtx,,,,52892725.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51137122.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51232423.0,ns,25
bench_loading_associations_sequentially,wtx,,,,54121395.0,ns,25
bench_loading_associations_sequentially,wtx,,,,53655780.0,ns,25
bench_loading_associations_sequentially,wtx,,,,52195980.0,ns,25
bench_loading_associations_sequentially,wtx,,,,49372491.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51200524.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51302643.0,ns,25
bench_loading_associations_sequentially,wtx,,,,49490402.0,ns,25
bench_loading_associations_sequentially,wtx,,,,49137742.0,ns,25
bench_loading_associations_sequentially,wtx,,,,50821932.0,ns,25
bench_loading_associations_sequentially,wtx,,,,49391089.0,ns,25
bench_loading_associations_sequentially,wtx,,,,50972707.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51358245.0,ns,25
bench_loading_associations_sequentially,wtx,,,,50100129.0,ns,25
bench_loading_associations_sequentially,wtx,,,,50603331.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51473690.0,ns,25
bench_loading_associations_sequentially,wtx,,,,52398651.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51463641.0,ns,25
bench_loading_associations_sequentially,wtx,,,,52335590.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51351321.0,ns,25
bench_loading_associations_sequentially,wtx,,,,49620208.0,ns,25
bench_loading_associations_sequentially,wtx,,,,50691775.0,ns,25
bench_loading_associations_sequentially,wtx,,,,53295411.0,ns,25
bench_loading_associations_sequentially,wtx,,,,54135046.0,ns,25
bench_loading_associations_sequentially,wtx,,,,53922392.0,ns,25
bench_loading_associations_sequentially,wtx,,,,53937999.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51808769.0,ns,25
bench_loading_associations_sequentially,wtx,,,,53591293.0,ns,25
bench_loading_associations_sequentially,wtx,,,,52264389.0,ns,25
bench_loading_associations_sequentially,wtx,,,,50761647.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51378342.0,ns,25
bench_loading_associations_sequentially,wtx,,,,51246656.0,ns,25
bench_loading_associations_sequentially,wtx,,,,49258635.0,ns,25
bench_loading_associations_sequentially,wtx,,,,50403735.0,ns,25
