group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,rusqlite_by_name,1,,,995581.0,ns,380
bench_medium_complex_query,rusqlite_by_name,1,,,2000639.0,ns,760
bench_medium_complex_query,rusqlite_by_name,1,,,2981983.0,ns,1140
bench_medium_complex_query,rusqlite_by_name,1,,,3965743.0,ns,1520
bench_medium_complex_query,rusqlite_by_name,1,,,4949402.0,ns,1900
bench_medium_complex_query,rusqlite_by_name,1,,,5946284.0,ns,2280
bench_medium_complex_query,rusqlite_by_name,1,,,6949630.0,ns,2660
bench_medium_complex_query,rusqlite_by_name,1,,,7931686.0,ns,3040
bench_medium_complex_query,rusqlite_by_name,1,,,8991688.0,ns,3420
bench_medium_complex_query,rusqlite_by_name,1,,,9939138.0,ns,3800
bench_medium_complex_query,rusqlite_by_name,1,,,11048272.0,ns,4180
bench_medium_complex_query,rusqlite_by_name,1,,,11955817.0,ns,4560
bench_medium_complex_query,rusqlite_by_name,1,,,12953453.0,ns,4940
bench_medium_complex_query,rusqlite_by_name,1,,,13895824.0,ns,5320
bench_medium_complex_query,rusqlite_by_name,1,,,14853234.0,ns,5700
bench_medium_complex_query,rusqlite_by_name,1,,,15848294.0,ns,6080
bench_medium_complex_query,rusqlite_by_name,1,,,16893909.0,ns,6460
bench_medium_complex_query,rusqlite_by_name,1,,,17813367.0,ns,6840
bench_medium_complex_query,rusqlite_by_name,1,,,19884769.0,ns,7220
bench_medium_complex_query,rusqlite_by_name,1,,,20034849.0,ns,7600
bench_medium_complex_query,rusqlite_by_name,1,,,20823713.0,ns,7980
bench_medium_complex_query,rusqlite_by_name,1,,,21798726.0,ns,8360
bench_medium_complex_query,rusqlite_by_name,1,,,22868135.0,ns,8740
bench_medium_complex_query,rusqlite_by_name,1,,,23833640.0,ns,9120
bench_medium_complex_query,rusqlite_by_name,1,,,24806458.0,ns,9500
bench_medium_complex_query,rusqlite_by_name,1,,,25786870.0,ns,9880
bench_medium_complex_query,rusqlite_by_name,1,,,26794073.0,ns,10260
bench_medium_complex_query,rusqlite_by_name,1,,,27716518.0,ns,10640
bench_medium_complex_query,rusqlite_by_name,1,,,28767382.0,ns,11020
bench_medium_complex_query,rusqlite_by_name,1,,,29769926.0,ns,11400
bench_medium_complex_query,rusqlite_by_name,1,,,30811934.0,ns,11780
bench_medium_complex_query,rusqlite_by_name,1,,,31769313.0,ns,12160
bench_medium_complex_query,rusqlite_by_name,1,,,32730420.0,ns,12540
bench_medium_complex_query,rusqlite_by_name,1,,,33792825.0,ns,12920
bench_medium_complex_query,rusqlite_by_name,1,,,34715170.0,ns,13300
bench_medium_complex_query,rusqlite_by_name,1,,,35642292.0,ns,13680
bench_medium_complex_query,rusqlite_by_name,1,,,36655607.0,ns,14060
bench_medium_complex_query,rusqlite_by_name,1,,,37756575.0,ns,14440
bench_medium_complex_query,rusqlite_by_name,1,,,38616372.0,ns,14820
bench_medium_complex_query,rusqlite_by_name,1,,,39716327.0,ns,15200
bench_medium_complex_query,rusqlite_by_name,1,,,40592266.0,ns,15580
bench_medium_complex_query,rusqlite_by_name,1,,,41650503.0,ns,15960
bench_medium_complex_query,rusqlite_by_name,1,,,42675971.0,ns,16340
bench_medium_complex_query,rusqlite_by_name,1,,,43623811.0,ns,16720
bench_medium_complex_query,rusqlite_by_name,1,,,44563799.0,ns,17100
bench_medium_complex_query,rusqlite_by_name,1,,,45651963.0,ns,17480
bench_medium_complex_query,rusqlite_by_name,1,,,46630502.0,ns,17860
bench_medium_complex_query,rusqlite_by_name,1,,,47607849.0,ns,18240
bench_medium_complex_query,rusqlite_by_name,1,,,48680293.0,ns,18620
bench_medium_complex_query,rusqlite_by_name,1,,,51567911.0,ns,19000
bench_medium_complex_query,rusqlite_by_name,1,,,50505555.0,ns,19380
bench_medium_complex_query,rusqlite_by_name,1,,,51625188.0,ns,19760
bench_medium_complex_query,rusqlite_by_name,1,,,52477791.0,ns,20140
bench_medium_complex_query,rusqlite_by_name,1,,,53481988.0,ns,20520
bench_medium_complex_query,rusqlite_by_name,1,,,54709673.0,ns,20900
bench_medium_complex_query,rusqlite_by_name,1,,,55803638.0,ns,21280
bench_medium_complex_query,rusqlite_by_name,1,,,56518845.0,ns,21660
bench_medium_complex_query,rusqlite_by_name,1,,,57649208.0,ns,22040
bench_medium_complex_query,rusqlite_by_name,1,,,58757850.0,ns,22420
bench_medium_complex_query,rusqlite_by_name,1,,,59683592.0,ns,22800
bench_medium_complex_query,rusqlite_by_name,1,,,60779459.0,ns,23180
bench_medium_complex_query,rusqlite_by_name,1,,,61649015.0,ns,23560
bench_medium_complex_query,rusqlite_by_name,1,,,62768137.0,ns,23940
bench_medium_complex_query,rusqlite_by_name,1,,,63731116.0,ns,24320
bench_medium_complex_query,rusqlite_by_name,1,,,64515683.0,ns,24700
bench_medium_complex_query,rusqlite_by_name,1,,,66537783.0,ns,25080
bench_medium_complex_query,rusqlite_by_name,1,,,66324674.0,ns,25460
bench_medium_complex_query,rusqlite_by_name,1,,,67465988.0,ns,25840
bench_medium_complex_query,rusqlite_by_name,1,,,68410904.0,ns,26220
bench_medium_complex_query,rusqlite_by_name,1,,,69413277.0,ns,26600
bench_medium_complex_query,rusqlite_by_name,1,,,70368003.0,ns,26980
bench_medium_complex_query,rusqlite_by_name,1,,,71568697.0,ns,27360
bench_medium_complex_query,rusqlite_by_name,1,,,72139242.0,ns,27740
bench_medium_complex_query,rusqlite_by_name,1,,,73440015.0,ns,28120
bench_medium_complex_query,rusqlite_by_name,1,,,74352750.0,ns,28500
bench_medium_complex_query,rusqlite_by_name,1,,,75298418.0,ns,28880
bench_medium_complex_query,rusqlite_by_name,1,,,76461202.0,ns,29260
bench_medium_complex_query,rusqlite_by_name,1,,,77331849.0,ns,29640
bench_medium_complex_query,rusqlite_by_name,1,,,78476118.0,ns,30020
bench_medium_complex_query,rusqlite_by_name,1,,,79550396.0,ns,30400
bench_medium_complex_query,rusqlite_by_name,1,,,80317179.0,ns,30780
bench_medium_complex_query,rusqlite_by_name,1,,,81225868.0,ns,31160
bench_medium_complex_query,rusqlite_by_name,1,,,82195751.0,ns,31540
bench_medium_complex_query,rusqlite_by_name,1,,,83179350.0,ns,31920
bench_medium_complex_query,rusqlite_by_name,1,,,84507171.0,ns,32300
bench_medium_complex_query,rusqlite_by_name,1,,,85281218.0,ns,32680
bench_medium_complex_query,rusqlite_by_name,1,,,86589523.0,ns,33060
bench_medium_complex_query,rusqlite_by_name,1,,,87563594.0,ns,33440
bench_medium_complex_query,rusqlite_by_name,1,,,88534428.0,ns,33820
bench_medium_complex_query,rusqlite_by_name,1,,,90492629.0,ns,34200
bench_medium_complex_query,rusqlite_by_name,1,,,90371502.0,ns,34580
bench_medium_complex_query,rusqlite_by_name,1,,,92866316.0,ns,34960
bench_medium_complex_query,rusqlite_by_name,1,,,94510049.0,ns,35340
bench_medium_complex_query,rusqlite_by_name,1,,,93218915.0,ns,35720
bench_medium_complex_query,rusqlite_by_name,1,,,94353456.0,ns,36100
bench_medium_complex_query,rusqlite_by_name,1,,,95484139.0,ns,36480
bench_medium_complex_query,rusqlite_by_name,1,,,96214040.0,ns,36860
bench_medium_complex_query,rusqlite_by_name,1,,,97502541.0,ns,37240
bench_medium_complex_query,rusqlite_by_name,1,,,98113704.0,ns,37620
bench_medium_complex_query,rusqlite_by_name,1,,,99288160.0,ns,38000
