group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,wtx,100,,,11759256.0,ns,2
bench_insert,wtx,100,,,3196452.0,ns,4
bench_insert,wtx,100,,,5352158.0,ns,6
bench_insert,wtx,100,,,8093565.0,ns,8
bench_insert,wtx,100,,,6815364.0,ns,10
bench_insert,wtx,100,,,7902288.0,ns,12
bench_insert,wtx,100,,,8474819.0,ns,14
bench_insert,wtx,100,,,10105601.0,ns,16
bench_insert,wtx,100,,,11357161.0,ns,18
bench_insert,wtx,100,,,15782893.0,ns,20
bench_insert,wtx,100,,,13333065.0,ns,22
bench_insert,wtx,100,,,14217956.0,ns,24
bench_insert,wtx,100,,,15869858.0,ns,26
bench_insert,wtx,100,,,16615072.0,ns,28
bench_insert,wtx,100,,,28838076.0,ns,30
bench_insert,wtx,100,,,20511615.0,ns,32
bench_insert,wtx,100,,,23119654.0,ns,34
bench_insert,wtx,100,,,22577078.0,ns,36
bench_insert,wtx,100,,,22974642.0,ns,38
bench_insert,wtx,100,,,23684183.0,ns,40
bench_insert,wtx,100,,,24239687.0,ns,42
bench_insert,wtx,100,,,27118758.0,ns,44
bench_insert,wtx,100,,,27389434.0,ns,46
bench_insert,wtx,100,,,29158103.0,ns,48
bench_insert,wtx,100,,,33377519.0,ns,50
bench_insert,wtx,100,,,31710283.0,ns,52
bench_insert,wtx,100,,,45696613.0,ns,54
bench_insert,wtx,100,,,36027809.0,ns,56
bench_insert,wtx,100,,,36563859.0,ns,58
bench_insert,wtx,100,,,38212598.0,ns,60
bench_insert,wtx,100,,,37779336.0,ns,62
bench_insert,wtx,100,,,51842322.0,ns,64
bench_insert,wtx,100,,,41980989.0,ns,66
bench_insert,wtx,100,,,40255901.0,ns,68
bench_insert,wtx,100,,,46305399.0,ns,70
bench_insert,wtx,100,,,57368604.0,ns,72
bench_insert,wtx,100,,,44677320.0,ns,74
bench_insert,wtx,100,,,46756717.0,ns,76
bench_insert,wtx,100,,,49788970.0,ns,78
bench_insert,wtx,100,,,48428941.0,ns,80
bench_insert,wtx,100,,,50713288.0,ns,82
bench_insert,wtx,100,,,54173172.0,ns,84
bench_insert,wtx,100,,,59460902.0,ns,86
bench_insert,wtx,100,,,51976420.0,ns,88
bench_insert,wtx,100,,,52585901.0,ns,90
bench_insert,wtx,100,,,58167362.0,ns,92
bench_insert,wtx,100,,,60324347.0,ns,94
bench_insert,wtx,100,,,63532180.0,ns,96
bench_insert,wtx,100,,,59738433.0,ns,98
bench_insert,wtx,100,,,61395321.0,ns,100
bench_insert,wtx,100,,,62451914.0,ns,102
bench_insert,wtx,100,,,65130490.0,ns,104
bench_insert,wtx,100,,,69440088.0,ns,106
bench_insert,wtx,100,,,70563309.0,ns,108
bench_insert,wtx,100,,,68629254.0,ns,110
bench_insert,wtx,100,,,71182234.0,ns,112
bench_insert,wtx,100,,,68273828.0,ns,114
bench_insert,wtx,100,,,70807317.0,ns,116
bench_insert,wtx,100,,,71865719.0,ns,118
bench_insert,wtx,100,,,72265196.0,ns,120
bench_insert,wtx,100,,,72359400.0,ns,122
bench_insert,wtx,100,,,88761133.0,ns,124
bench_insert,wtx,100,,,93118723.0,ns,126
bench_insert,wtx,100,,,95987711.0,ns,128
bench_insert,wtx,100,,,87204953.0,ns,130
bench_insert,wtx,100,,,84274739.0,ns,132
bench_insert,wtx,100,,,84382554.0,ns,134
bench_insert,wtx,100,,,86553704.0,ns,136
bench_insert,wtx,100,,,88199588.0,ns,138
bench_insert,wtx,100,,,88719002.0,ns,140
bench_insert,wtx,100,,,91283252.0,ns,142
bench_insert,wtx,100,,,89549548.0,ns,144
bench_insert,wtx,100,,,90821558.0,ns,146
bench_insert,wtx,100,,,93330736.0,ns,148
bench_insert,wtx,100,,,92556302.0,ns,150
bench_insert,wtx,100,,,93012103.0,ns,152
bench_insert,wtx,100,,,95186113.0,ns,154
bench_insert,wtx,100,,,99366571.0,ns,156
bench_insert,wtx,100,,,101012844.0,ns,158
bench_insert,wtx,100,,,104465178.0,ns,160
bench_insert,wtx,100,,,102054389.0,ns,162
bench_insert,wtx,100,,,106674031.0,ns,164
bench_insert,wtx,100,,,103100529.0,ns,166
bench_insert,wtx,100,,,104980035.0,ns,168
bench_insert,wtx,100,,,108315555.0,ns,170
bench_insert,wtx,100,,,109796954.0,ns,172
bench_insert,wtx,100,,,110175853.0,ns,174
bench_insert,wtx,100,,,111345601.0,ns,176
bench_insert,wtx,100,,,113074013.0,ns,178
bench_insert,wtx,100,,,112609631.0,ns,180
bench_insert,wtx,100,,,114323082.0,ns,182
bench_insert,wtx,100,,,113405124.0,ns,184
bench_insert,wtx,100,,,117965139.0,ns,186
bench_insert,wtx,100,,,121450185.0,ns,188
bench_insert,wtx,100,,,123666391.0,ns,190
bench_insert,wtx,100,,,130379084.0,ns,192
bench_insert,wtx,100,,,120737488.0,ns,194
bench_insert,wtx,100,,,121432030.0,ns,196
bench_insert,wtx,100,,,125408314.0,ns,198
bench_insert,wtx,100,,,132778449.0,ns,200
