group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rusqlite,1,,,1001377.0,ns,512
bench_insert,rusqlite,1,,,1938464.0,ns,1024
bench_insert,rusqlite,1,,,2948657.0,ns,1536
bench_insert,rusqlite,1,,,3882748.0,ns,2048
bench_insert,rusqlite,1,,,4812331.0,ns,2560
bench_insert,rusqlite,1,,,5742895.0,ns,3072
bench_insert,rusqlite,1,,,6725106.0,ns,3584
bench_insert,rusqlite,1,,,7685947.0,ns,4096
bench_insert,rusqlite,1,,,8651828.0,ns,4608
bench_insert,rusqlite,1,,,9610584.0,ns,5120
bench_insert,rusqlite,1,,,10570164.0,ns,5632
bench_insert,rusqlite,1,,,11490249.0,ns,6144
bench_insert,rusqlite,1,,,12531730.0,ns,6656
bench_insert,rusqlite,1,,,13445414.0,ns,7168
bench_insert,rusqlite,1,,,14374906.0,ns,7680
bench_insert,rusqlite,1,,,15583680.0,ns,8192
bench_insert,rusqlite,1,,,16324240.0,ns,8704
bench_insert,rusqlite,1,,,17289940.0,ns,9216
bench_insert,rusqlite,1,,,18175260.0,ns,9728
bench_insert,rusqlite,1,,,19178820.0,ns,10240
bench_insert,rusqlite,1,,,20211286.0,ns,10752
bench_insert,rusqlite,1,,,21029511.0,ns,11264
bench_insert,rusqlite,1,,,22045845.0,ns,11776
bench_insert,rusqlite,1,,,23069453.0,ns,12288
bench_insert,rusqlite,1,,,24036656.0,ns,12800
bench_insert,rusqlite,1,,,24966961.0,ns,13312
bench_insert,rusqlite,1,,,26002251.0,ns,13824
bench_insert,rusqlite,1,,,26868085.0,ns,14336
bench_insert,rusqlite,1,,,27860935.0,ns,14848
bench_insert,rusqlite,1,,,28797882.0,ns,15360
bench_insert,rusqlite,1,,,30087256.0,ns,15872
bench_insert,rusqlite,1,,,30794283.0,ns,16384
bench_insert,rusqlite,1,,,31679663.0,ns,16896
bench_insert,rusqlite,1,,,32730713.0,ns,17408
bench_insert,rusqlite,1,,,33640259.0,ns,17920
bench_insert,rusqlite,1,,,34633460.0,ns,18432
bench_insert,rusqlite,1,,,35580937.0,ns,18944
bench_insert,rusqlite,1,,,36593003.0,ns,19456
bench_insert,rusqlite,1,,,37504261.0,ns,19968
bench_insert,rusqlite,1,,,38477225.0,ns,20480
bench_insert,rusqlite,1,,,39531701.0,ns,20992
bench_insert,rusqlite,1,,,40398376.0,ns,21504
bench_insert,rusqlite,1,,,41487397.0,ns,22016
bench_insert,rusqlite,1,,,42342681.0,ns,22528
bench_insert,rusqlite,1,,,43351452.0,ns,23040
bench_insert,rusqlite,1,,,44277678.0,ns,23552
bench_insert,rusqlite,1,,,45231446.0,ns,24064
bench_insert,rusqlite,1,,,46243001.0,ns,24576
bench_insert,rusqlite,1,,,47153339.0,ns,25088
bench_insert,rusqlite,1,,,48170454.0,ns,25600
bench_insert,rusqlite,1,,,49197700.0,ns,26112
bench_insert,rusqlite,1,,,49909386.0,ns,26624
bench_insert,rusqlite,1,,,51071592.0,ns,27136
bench_insert,rusqlite,1,,,52057220.0,ns,27648
bench_insert,rusqlite,1,,,54967494.0,ns,28160
bench_insert,rusqlite,1,,,53769872.0,ns,28672
bench_insert,rusqlite,1,,,54872678.0,ns,29184
bench_insert,rusqlite,1,,,55781071.0,ns,29696
bench_insert,rusqlite,1,,,56992229.0,ns,30208
bench_insert,rusqlite,1,,,57836783.0,ns,30720
bench_insert,rusqlite,1,,,58716874.0,ns,31232
bench_insert,rusqlite,1,,,59786598.0,ns,31744
bench_insert,rusqlite,1,,,60770121.0,ns,32256
