group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,rustorm,100,,,1664979.0,ns,7
bench_medium_complex_query,rustorm,100,,,2677573.0,ns,14
bench_medium_complex_query,rustorm,100,,,3837610.0,ns,21
bench_medium_complex_query,rustorm,100,,,4808765.0,ns,28
bench_medium_complex_query,rustorm,100,,,7735392.0,ns,35
bench_medium_complex_query,rustorm,100,,,7133105.0,ns,42
bench_medium_complex_query,rustorm,100,,,8010854.0,ns,49
bench_medium_complex_query,rustorm,100,,,9204635.0,ns,56
bench_medium_complex_query,rustorm,100,,,10661989.0,ns,63
bench_medium_complex_query,rustorm,100,,,11192678.0,ns,70
bench_medium_complex_query,rustorm,100,,,12310433.0,ns,77
bench_medium_complex_query,rustorm,100,,,14464466.0,ns,84
bench_medium_complex_query,rustorm,100,,,14411041.0,ns,91
bench_medium_complex_query,rustorm,100,,,16366798.0,ns,98
bench_medium_complex_query,rustorm,100,,,19174375.0,ns,105
bench_medium_complex_query,rustorm,100,,,18826481.0,ns,112
bench_medium_complex_query,rustorm,100,,,18477022.0,ns,119
bench_medium_complex_query,rustorm,100,,,21700068.0,ns,126
bench_medium_complex_query,rustorm,100,,,21791483.0,ns,133
bench_medium_complex_query,rustorm,100,,,24647103.0,ns,140
bench_medium_complex_query,rustorm,100,,,23514614.0,ns,147
bench_medium_complex_query,rustorm,100,,,28274756.0,ns,154
bench_medium_complex_query,rustorm,100,,,26298934.0,ns,161
bench_medium_complex_query,rustorm,100,,,25691143.0,ns,168
bench_medium_complex_query,rustorm,100,,,28563279.0,ns,175
bench_medium_complex_query,rustorm,100,,,32634113.0,ns,182
bench_medium_complex_query,rustorm,100,,,28728386.0,ns,189
bench_medium_complex_query,rustorm,100,,,30505802.0,ns,196
bench_medium_complex_query,rustorm,100,,,32778243.0,ns,203
bench_medium_complex_query,rustorm,100,,,37674047.0,ns,210
bench_medium_complex_query,rustorm,100,,,33362575.0,ns,217
bench_medium_complex_query,rustorm,100,,,34133481.0,ns,224
bench_medium_complex_query,rustorm,100,,,37789741.0,ns,231
bench_medium_complex_query,rustorm,100,,,36685740.0,ns,238
bench_medium_complex_query,rustorm,100,,,40438001.0,ns,245
bench_medium_complex_query,rustorm,100,,,48153156.0,ns,252
bench_medium_complex_query,rustorm,100,,,42507507.0,ns,259
bench_medium_complex_query,rustorm,100,,,44154667.0,ns,266
bench_medium_complex_query,rustorm,100,,,41940793.0,ns,273
bench_medium_complex_query,rustorm,100,,,43542219.0,ns,280
bench_medium_complex_query,rustorm,100,,,50921043.0,ns,287
bench_medium_complex_query,rustorm,100,,,45940963.0,ns,294
bench_medium_complex_query,rustorm,100,,,52589972.0,ns,301
bench_medium_complex_query,rustorm,100,,,50242779.0,ns,308
bench_medium_complex_query,rustorm,100,,,47479067.0,ns,315
bench_medium_complex_query,rustorm,100,,,57435242.0,ns,322
bench_medium_complex_query,rustorm,100,,,57051661.0,ns,329
bench_medium_complex_query,rustorm,100,,,51669007.0,ns,336
bench_medium_complex_query,rustorm,100,,,61259377.0,ns,343
bench_medium_complex_query,rustorm,100,,,59085598.0,ns,350
bench_medium_complex_query,rustorm,100,,,57713208.0,ns,357
bench_medium_complex_query,rustorm,100,,,58828732.0,ns,364
bench_medium_complex_query,rustorm,100,,,62416323.0,ns,371
bench_medium_complex_query,rustorm,100,,,62114325.0,ns,378
bench_medium_complex_query,rustorm,100,,,58124667.0,ns,385
bench_medium_complex_query,rustorm,100,,,59863503.0,ns,392
bench_medium_complex_query,rustorm,100,,,60623033.0,ns,399
bench_medium_complex_query,rustorm,100,,,63175095.0,ns,406
bench_medium_complex_query,rustorm,100,,,64544060.0,ns,413
bench_medium_complex_query,rustorm,100,,,63525487.0,ns,420
bench_medium_complex_query,rustorm,100,,,73513845.0,ns,427
bench_medium_complex_query,rustorm,100,,,67044499.0,ns,434
bench_medium_complex_query,rustorm,100,,,73616085.0,ns,441
bench_medium_complex_query,rustorm,100,,,69629154.0,ns,448
bench_medium_complex_query,rustorm,100,,,68589393.0,ns,455
bench_medium_complex_query,rustorm,100,,,74776751.0,ns,462
bench_medium_complex_query,rustorm,100,,,83624304.0,ns,469
bench_medium_complex_query,rustorm,100,,,71708704.0,ns,476
bench_medium_complex_query,rustorm,100,,,76924832.0,ns,483
bench_medium_complex_query,rustorm,100,,,81452056.0,ns,490
bench_medium_complex_query,rustorm,100,,,83092642.0,ns,497
bench_medium_complex_query,rustorm,100,,,77288360.0,ns,504
bench_medium_complex_query,rustorm,100,,,76231122.0,ns,511
bench_medium_complex_query,rustorm,100,,,82226107.0,ns,518
bench_medium_complex_query,rustorm,100,,,84980303.0,ns,525
bench_medium_complex_query,rustorm,100,,,84803793.0,ns,532
bench_medium_complex_query,rustorm,100,,,81742016.0,ns,539
bench_medium_complex_query,rustorm,100,,,91876747.0,ns,546
bench_medium_complex_query,rustorm,100,,,83829935.0,ns,553
bench_medium_complex_query,rustorm,100,,,84644597.0,ns,560
bench_medium_complex_query,rustorm,100,,,85591698.0,ns,567
bench_medium_complex_query,rustorm,100,,,92908331.0,ns,574
bench_medium_complex_query,rustorm,100,,,94102706.0,ns,581
bench_medium_complex_query,rustorm,100,,,97269213.0,ns,588
bench_medium_complex_query,rustorm,100,,,94762341.0,ns,595
bench_medium_complex_query,rustorm,100,,,99468938.0,ns,602
bench_medium_complex_query,rustorm,100,,,94787358.0,ns,609
bench_medium_complex_query,rustorm,100,,,100847266.0,ns,616
bench_medium_complex_query,rustorm,100,,,105558951.0,ns,623
bench_medium_complex_query,rustorm,100,,,102850693.0,ns,630
bench_medium_complex_query,rustorm,100,,,102468967.0,ns,637
bench_medium_complex_query,rustorm,100,,,104127204.0,ns,644
bench_medium_complex_query,rustorm,100,,,98399904.0,ns,651
bench_medium_complex_query,rustorm,100,,,115578912.0,ns,658
bench_medium_complex_query,rustorm,100,,,104350279.0,ns,665
bench_medium_complex_query,rustorm,100,,,111061255.0,ns,672
bench_medium_complex_query,rustorm,100,,,114079739.0,ns,679
bench_medium_complex_query,rustorm,100,,,114839085.0,ns,686
bench_medium_complex_query,rustorm,100,,,105325220.0,ns,693
bench_medium_complex_query,rustorm,100,,,109573542.0,ns,700
