group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,10000,,,58410920.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55085500.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54473008.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,59573224.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58454895.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58844264.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,53983421.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58072176.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58672618.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57640289.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58104455.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,53768384.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54167128.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58497842.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58163287.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,53807216.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54053647.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58285655.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,53983797.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55284847.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54287785.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54441051.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54411065.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58849278.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54493269.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57978661.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58533478.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54634493.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58949194.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55030883.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58123782.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,59208990.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58525593.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58703245.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57889014.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,60419141.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58382416.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54355190.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58875065.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,59679939.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58760552.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54824027.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54641426.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58081904.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,59203330.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58150782.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58384934.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54366502.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54451991.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58618728.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,59750352.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55041902.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58290616.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54445018.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58570889.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54677844.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55297241.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58549920.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,59048551.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,59010873.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54679456.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58254897.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58733954.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54536098.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58656519.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54839776.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58066556.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58873224.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54868518.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54699323.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54837992.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,56774181.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54598707.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,56263608.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58066669.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54583507.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54449827.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54988894.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54008082.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58045117.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54661622.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,59951879.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58663141.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58220815.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58791541.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54301420.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57255400.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54725362.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57953875.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58258215.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54140690.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57763450.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54767893.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54182938.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58020598.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58599323.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58143912.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55383726.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58267244.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57984335.0,ns,8
