group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,postgres,50,,,1440488.0,ns,2
bench_insert,postgres,50,,,2427539.0,ns,4
bench_insert,postgres,50,,,3614694.0,ns,6
bench_insert,postgres,50,,,4587098.0,ns,8
bench_insert,postgres,50,,,5828674.0,ns,10
bench_insert,postgres,50,,,6531465.0,ns,12
bench_insert,postgres,50,,,7225589.0,ns,14
bench_insert,postgres,50,,,8447459.0,ns,16
bench_insert,postgres,50,,,11534508.0,ns,18
bench_insert,postgres,50,,,11264865.0,ns,20
bench_insert,postgres,50,,,11411468.0,ns,22
bench_insert,postgres,50,,,14122085.0,ns,24
bench_insert,postgres,50,,,14386508.0,ns,26
bench_insert,postgres,50,,,15003289.0,ns,28
bench_insert,postgres,50,,,17976920.0,ns,30
bench_insert,postgres,50,,,17769743.0,ns,32
bench_insert,postgres,50,,,17626667.0,ns,34
bench_insert,postgres,50,,,19038878.0,ns,36
bench_insert,postgres,50,,,22827696.0,ns,38
bench_insert,postgres,50,,,21606718.0,ns,40
bench_insert,postgres,50,,,24541215.0,ns,42
bench_insert,postgres,50,,,25754777.0,ns,44
bench_insert,postgres,50,,,24336200.0,ns,46
bench_insert,postgres,50,,,25580160.0,ns,48
bench_insert,postgres,50,,,30441619.0,ns,50
bench_insert,postgres,50,,,29341189.0,ns,52
bench_insert,postgres,50,,,27977933.0,ns,54
bench_insert,postgres,50,,,29699866.0,ns,56
bench_insert,postgres,50,,,31016502.0,ns,58
bench_insert,postgres,50,,,33794104.0,ns,60
bench_insert,postgres,50,,,33765871.0,ns,62
bench_insert,postgres,50,,,38308115.0,ns,64
bench_insert,postgres,50,,,36272027.0,ns,66
bench_insert,postgres,50,,,39454921.0,ns,68
bench_insert,postgres,50,,,41107268.0,ns,70
bench_insert,postgres,50,,,41566236.0,ns,72
bench_insert,postgres,50,,,41118077.0,ns,74
bench_insert,postgres,50,,,41170516.0,ns,76
bench_insert,postgres,50,,,42562232.0,ns,78
bench_insert,postgres,50,,,47322031.0,ns,80
bench_insert,postgres,50,,,43348016.0,ns,82
bench_insert,postgres,50,,,49965926.0,ns,84
bench_insert,postgres,50,,,49289695.0,ns,86
bench_insert,postgres,50,,,46815486.0,ns,88
bench_insert,postgres,50,,,48109770.0,ns,90
bench_insert,postgres,50,,,50588184.0,ns,92
bench_insert,postgres,50,,,54579721.0,ns,94
bench_insert,postgres,50,,,52500982.0,ns,96
bench_insert,postgres,50,,,51990004.0,ns,98
bench_insert,postgres,50,,,54362492.0,ns,100
bench_insert,postgres,50,,,54922760.0,ns,102
bench_insert,postgres,50,,,54961382.0,ns,104
bench_insert,postgres,50,,,59639109.0,ns,106
bench_insert,postgres,50,,,60318668.0,ns,108
bench_insert,postgres,50,,,64439319.0,ns,110
bench_insert,postgres,50,,,64847364.0,ns,112
bench_insert,postgres,50,,,64602511.0,ns,114
bench_insert,postgres,50,,,62757875.0,ns,116
bench_insert,postgres,50,,,65016661.0,ns,118
bench_insert,postgres,50,,,64363001.0,ns,120
bench_insert,postgres,50,,,67916090.0,ns,122
bench_insert,postgres,50,,,67892275.0,ns,124
bench_insert,postgres,50,,,74319008.0,ns,126
bench_insert,postgres,50,,,80108234.0,ns,128
bench_insert,postgres,50,,,81364286.0,ns,130
bench_insert,postgres,50,,,71477310.0,ns,132
bench_insert,postgres,50,,,71008510.0,ns,134
bench_insert,postgres,50,,,75918042.0,ns,136
bench_insert,postgres,50,,,78412320.0,ns,138
bench_insert,postgres,50,,,78607528.0,ns,140
bench_insert,postgres,50,,,86682344.0,ns,142
bench_insert,postgres,50,,,82821095.0,ns,144
bench_insert,postgres,50,,,87115315.0,ns,146
bench_insert,postgres,50,,,83829806.0,ns,148
bench_insert,postgres,50,,,85864399.0,ns,150
bench_insert,postgres,50,,,84224511.0,ns,152
bench_insert,postgres,50,,,83243974.0,ns,154
bench_insert,postgres,50,,,89718045.0,ns,156
bench_insert,postgres,50,,,89021753.0,ns,158
bench_insert,postgres,50,,,89183781.0,ns,160
bench_insert,postgres,50,,,96265706.0,ns,162
bench_insert,postgres,50,,,88924669.0,ns,164
bench_insert,postgres,50,,,96539810.0,ns,166
bench_insert,postgres,50,,,101133656.0,ns,168
bench_insert,postgres,50,,,96235579.0,ns,170
bench_insert,postgres,50,,,104801918.0,ns,172
bench_insert,postgres,50,,,95718320.0,ns,174
bench_insert,postgres,50,,,103862256.0,ns,176
bench_insert,postgres,50,,,100429545.0,ns,178
bench_insert,postgres,50,,,94651614.0,ns,180
bench_insert,postgres,50,,,94757875.0,ns,182
bench_insert,postgres,50,,,97647214.0,ns,184
bench_insert,postgres,50,,,106183617.0,ns,186
bench_insert,postgres,50,,,100252914.0,ns,188
bench_insert,postgres,50,,,109392571.0,ns,190
bench_insert,postgres,50,,,101195641.0,ns,192
bench_insert,postgres,50,,,103553950.0,ns,194
bench_insert,postgres,50,,,110691024.0,ns,196
bench_insert,postgres,50,,,136423671.0,ns,198
bench_insert,postgres,50,,,108314971.0,ns,200
