group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,mysql,1,,,1587499.0,ns,2
bench_insert,mysql,1,,,3425480.0,ns,4
bench_insert,mysql,1,,,4306593.0,ns,6
bench_insert,mysql,1,,,5006306.0,ns,8
bench_insert,mysql,1,,,6825324.0,ns,10
bench_insert,mysql,1,,,7273079.0,ns,12
bench_insert,mysql,1,,,8550619.0,ns,14
bench_insert,mysql,1,,,9164008.0,ns,16
bench_insert,mysql,1,,,10232838.0,ns,18
bench_insert,mysql,1,,,12112310.0,ns,20
bench_insert,mysql,1,,,12816920.0,ns,22
bench_insert,mysql,1,,,14357005.0,ns,24
bench_insert,mysql,1,,,15320153.0,ns,26
bench_insert,mysql,1,,,17485027.0,ns,28
bench_insert,mysql,1,,,17806089.0,ns,30
bench_insert,mysql,1,,,20138384.0,ns,32
bench_insert,mysql,1,,,19889247.0,ns,34
bench_insert,mysql,1,,,21063052.0,ns,36
bench_insert,mysql,1,,,25011289.0,ns,38
bench_insert,mysql,1,,,23454176.0,ns,40
bench_insert,mysql,1,,,24755077.0,ns,42
bench_insert,mysql,1,,,30387535.0,ns,44
bench_insert,mysql,1,,,27674167.0,ns,46
bench_insert,mysql,1,,,27975466.0,ns,48
bench_insert,mysql,1,,,29341831.0,ns,50
bench_insert,mysql,1,,,30926375.0,ns,52
bench_insert,mysql,1,,,31248909.0,ns,54
bench_insert,mysql,1,,,32826413.0,ns,56
bench_insert,mysql,1,,,35554511.0,ns,58
bench_insert,mysql,1,,,35669430.0,ns,60
bench_insert,mysql,1,,,37369838.0,ns,62
bench_insert,mysql,1,,,37111050.0,ns,64
bench_insert,mysql,1,,,38928765.0,ns,66
bench_insert,mysql,1,,,40444307.0,ns,68
bench_insert,mysql,1,,,42029701.0,ns,70
bench_insert,mysql,1,,,42483346.0,ns,72
bench_insert,mysql,1,,,46076581.0,ns,74
bench_insert,mysql,1,,,46169309.0,ns,76
bench_insert,mysql,1,,,52106833.0,ns,78
bench_insert,mysql,1,,,52103247.0,ns,80
bench_insert,mysql,1,,,49137338.0,ns,82
bench_insert,mysql,1,,,48985436.0,ns,84
bench_insert,mysql,1,,,51736823.0,ns,86
bench_insert,mysql,1,,,55083481.0,ns,88
bench_insert,mysql,1,,,54429618.0,ns,90
bench_insert,mysql,1,,,54991488.0,ns,92
bench_insert,mysql,1,,,56519205.0,ns,94
bench_insert,mysql,1,,,57046254.0,ns,96
bench_insert,mysql,1,,,59388347.0,ns,98
bench_insert,mysql,1,,,60766615.0,ns,100
bench_insert,mysql,1,,,61654551.0,ns,102
bench_insert,mysql,1,,,69668959.0,ns,104
bench_insert,mysql,1,,,65847378.0,ns,106
bench_insert,mysql,1,,,68918497.0,ns,108
bench_insert,mysql,1,,,66543421.0,ns,110
bench_insert,mysql,1,,,67611275.0,ns,112
bench_insert,mysql,1,,,68159907.0,ns,114
bench_insert,mysql,1,,,66756055.0,ns,116
bench_insert,mysql,1,,,71479172.0,ns,118
bench_insert,mysql,1,,,72048326.0,ns,120
bench_insert,mysql,1,,,78065131.0,ns,122
bench_insert,mysql,1,,,76232968.0,ns,124
bench_insert,mysql,1,,,78899535.0,ns,126
bench_insert,mysql,1,,,76531563.0,ns,128
bench_insert,mysql,1,,,77071269.0,ns,130
bench_insert,mysql,1,,,79403529.0,ns,132
bench_insert,mysql,1,,,79999970.0,ns,134
bench_insert,mysql,1,,,83069536.0,ns,136
bench_insert,mysql,1,,,82816358.0,ns,138
bench_insert,mysql,1,,,82328419.0,ns,140
bench_insert,mysql,1,,,87619103.0,ns,142
bench_insert,mysql,1,,,95327154.0,ns,144
bench_insert,mysql,1,,,89468391.0,ns,146
bench_insert,mysql,1,,,90793707.0,ns,148
bench_insert,mysql,1,,,92437378.0,ns,150
bench_insert,mysql,1,,,90209812.0,ns,152
bench_insert,mysql,1,,,91044860.0,ns,154
bench_insert,mysql,1,,,92515297.0,ns,156
bench_insert,mysql,1,,,96600857.0,ns,158
bench_insert,mysql,1,,,97302666.0,ns,160
bench_insert,mysql,1,,,103356235.0,ns,162
bench_insert,mysql,1,,,98528543.0,ns,164
bench_insert,mysql,1,,,98040374.0,ns,166
bench_insert,mysql,1,,,99705092.0,ns,168
bench_insert,mysql,1,,,102380332.0,ns,170
bench_insert,mysql,1,,,104745784.0,ns,172
bench_insert,mysql,1,,,106401530.0,ns,174
bench_insert,mysql,1,,,107992595.0,ns,176
bench_insert,mysql,1,,,112564914.0,ns,178
bench_insert,mysql,1,,,103089780.0,ns,180
bench_insert,mysql,1,,,109870470.0,ns,182
bench_insert,mysql,1,,,108368613.0,ns,184
bench_insert,mysql,1,,,114593369.0,ns,186
bench_insert,mysql,1,,,112366701.0,ns,188
bench_insert,mysql,1,,,113630842.0,ns,190
bench_insert,mysql,1,,,132939707.0,ns,192
bench_insert,mysql,1,,,113580771.0,ns,194
bench_insert,mysql,1,,,119935250.0,ns,196
bench_insert,mysql,1,,,117406127.0,ns,198
bench_insert,mysql,1,,,125132411.0,ns,200
