group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,100,,,1679061.0,ns,5
bench_medium_complex_query,diesel,100,,,2530126.0,ns,10
bench_medium_complex_query,diesel,100,,,3797984.0,ns,15
bench_medium_complex_query,diesel,100,,,4678206.0,ns,20
bench_medium_complex_query,diesel,100,,,5566824.0,ns,25
bench_medium_complex_query,diesel,100,,,7225420.0,ns,30
bench_medium_complex_query,diesel,100,,,8028997.0,ns,35
bench_medium_complex_query,diesel,100,,,8529273.0,ns,40
bench_medium_complex_query,diesel,100,,,10296277.0,ns,45
bench_medium_complex_query,diesel,100,,,11546219.0,ns,50
bench_medium_complex_query,diesel,100,,,12480823.0,ns,55
bench_medium_complex_query,diesel,100,,,12622143.0,ns,60
bench_medium_complex_query,diesel,100,,,13745953.0,ns,65
bench_medium_complex_query,diesel,100,,,16186733.0,ns,70
bench_medium_complex_query,diesel,100,,,15618452.0,ns,75
bench_medium_complex_query,diesel,100,,,17302608.0,ns,80
bench_medium_complex_query,diesel,100,,,17427616.0,ns,85
bench_medium_complex_query,diesel,100,,,20784771.0,ns,90
bench_medium_complex_query,diesel,100,,,19626109.0,ns,95
bench_medium_complex_query,diesel,100,,,23357156.0,ns,100
bench_medium_complex_query,diesel,100,,,21415100.0,ns,105
bench_medium_complex_query,diesel,100,,,24961869.0,ns,110
bench_medium_complex_query,diesel,100,,,23908146.0,ns,115
bench_medium_complex_query,diesel,100,,,25148195.0,ns,120
bench_medium_complex_query,diesel,100,,,28697162.0,ns,125
bench_medium_complex_query,diesel,100,,,27059652.0,ns,130
bench_medium_complex_query,diesel,100,,,31325757.0,ns,135
bench_medium_complex_query,diesel,100,,,28539587.0,ns,140
bench_medium_complex_query,diesel,100,,,29749897.0,ns,145
bench_medium_complex_query,diesel,100,,,33800308.0,ns,150
bench_medium_complex_query,diesel,100,,,34463135.0,ns,155
bench_medium_complex_query,diesel,100,,,34032989.0,ns,160
bench_medium_complex_query,diesel,100,,,33064620.0,ns,165
bench_medium_complex_query,diesel,100,,,34464805.0,ns,170
bench_medium_complex_query,diesel,100,,,40071165.0,ns,175
bench_medium_complex_query,diesel,100,,,42409735.0,ns,180
bench_medium_complex_query,diesel,100,,,38806586.0,ns,185
bench_medium_complex_query,diesel,100,,,39272125.0,ns,190
bench_medium_complex_query,diesel,100,,,43009054.0,ns,195
bench_medium_complex_query,diesel,100,,,43511179.0,ns,200
bench_medium_complex_query,diesel,100,,,41457546.0,ns,205
bench_medium_complex_query,diesel,100,,,43252491.0,ns,210
bench_medium_complex_query,diesel,100,,,45749587.0,ns,215
bench_medium_complex_query,diesel,100,,,50900258.0,ns,220
bench_medium_complex_query,diesel,100,,,46378310.0,ns,225
bench_medium_complex_query,diesel,100,,,47018198.0,ns,230
bench_medium_complex_query,diesel,100,,,51005597.0,ns,235
bench_medium_complex_query,diesel,100,,,48143514.0,ns,240
bench_medium_complex_query,diesel,100,,,49166720.0,ns,245
bench_medium_complex_query,diesel,100,,,58230129.0,ns,250
bench_medium_complex_query,diesel,100,,,56028274.0,ns,255
bench_medium_complex_query,diesel,100,,,53462454.0,ns,260
bench_medium_complex_query,diesel,100,,,53583573.0,ns,265
bench_medium_complex_query,diesel,100,,,55004140.0,ns,270
bench_medium_complex_query,diesel,100,,,63495357.0,ns,275
bench_medium_complex_query,diesel,100,,,60100996.0,ns,280
bench_medium_complex_query,diesel,100,,,57743123.0,ns,285
bench_medium_complex_query,diesel,100,,,59122916.0,ns,290
bench_medium_complex_query,diesel,100,,,66982597.0,ns,295
bench_medium_complex_query,diesel,100,,,66922072.0,ns,300
bench_medium_complex_query,diesel,100,,,61245440.0,ns,305
bench_medium_complex_query,diesel,100,,,73189474.0,ns,310
bench_medium_complex_query,diesel,100,,,63902937.0,ns,315
bench_medium_complex_query,diesel,100,,,64974473.0,ns,320
bench_medium_complex_query,diesel,100,,,67965764.0,ns,325
bench_medium_complex_query,diesel,100,,,70596429.0,ns,330
bench_medium_complex_query,diesel,100,,,74791360.0,ns,335
bench_medium_complex_query,diesel,100,,,71212255.0,ns,340
bench_medium_complex_query,diesel,100,,,75089379.0,ns,345
bench_medium_complex_query,diesel,100,,,74075090.0,ns,350
bench_medium_complex_query,diesel,100,,,72271149.0,ns,355
bench_medium_complex_query,diesel,100,,,74274664.0,ns,360
bench_medium_complex_query,diesel,100,,,73819286.0,ns,365
bench_medium_complex_query,diesel,100,,,74085379.0,ns,370
bench_medium_complex_query,diesel,100,,,75536830.0,ns,375
bench_medium_complex_query,diesel,100,,,83763939.0,ns,380
bench_medium_complex_query,diesel,100,,,77914421.0,ns,385
bench_medium_complex_query,diesel,100,,,78437388.0,ns,390
bench_medium_complex_query,diesel,100,,,79379147.0,ns,395
bench_medium_complex_query,diesel,100,,,80512120.0,ns,400
bench_medium_complex_query,diesel,100,,,88665376.0,ns,405
bench_medium_complex_query,diesel,100,,,86324778.0,ns,410
bench_medium_complex_query,diesel,100,,,82976605.0,ns,415
bench_medium_complex_query,diesel,100,,,85837408.0,ns,420
bench_medium_complex_query,diesel,100,,,85406685.0,ns,425
bench_medium_complex_query,diesel,100,,,86165352.0,ns,430
bench_medium_complex_query,diesel,100,,,87144431.0,ns,435
bench_medium_complex_query,diesel,100,,,88479777.0,ns,440
bench_medium_complex_query,diesel,100,,,102130228.0,ns,445
bench_medium_complex_query,diesel,100,,,91114629.0,ns,450
bench_medium_complex_query,diesel,100,,,97538569.0,ns,455
bench_medium_complex_query,diesel,100,,,92853808.0,ns,460
bench_medium_complex_query,diesel,100,,,95367055.0,ns,465
bench_medium_complex_query,diesel,100,,,97493915.0,ns,470
bench_medium_complex_query,diesel,100,,,101155220.0,ns,475
bench_medium_complex_query,diesel,100,,,99256102.0,ns,480
bench_medium_complex_query,diesel,100,,,110790073.0,ns,485
bench_medium_complex_query,diesel,100,,,108461941.0,ns,490
