group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,tokio_postgres_by_id,100,,,1020887.0,ns,8
bench_trivial_query,tokio_postgres_by_id,100,,,2005287.0,ns,16
bench_trivial_query,tokio_postgres_by_id,100,,,2864576.0,ns,24
bench_trivial_query,tokio_postgres_by_id,100,,,3697719.0,ns,32
bench_trivial_query,tokio_postgres_by_id,100,,,4764552.0,ns,40
bench_trivial_query,tokio_postgres_by_id,100,,,5614039.0,ns,48
bench_trivial_query,tokio_postgres_by_id,100,,,6659924.0,ns,56
bench_trivial_query,tokio_postgres_by_id,100,,,7978317.0,ns,64
bench_trivial_query,tokio_postgres_by_id,100,,,8213356.0,ns,72
bench_trivial_query,tokio_postgres_by_id,100,,,9370298.0,ns,80
bench_trivial_query,tokio_postgres_by_id,100,,,10178708.0,ns,88
bench_trivial_query,tokio_postgres_by_id,100,,,11341601.0,ns,96
bench_trivial_query,tokio_postgres_by_id,100,,,12095840.0,ns,104
bench_trivial_query,tokio_postgres_by_id,100,,,13417449.0,ns,112
bench_trivial_query,tokio_postgres_by_id,100,,,14664096.0,ns,120
bench_trivial_query,tokio_postgres_by_id,100,,,14810412.0,ns,128
bench_trivial_query,tokio_postgres_by_id,100,,,16233709.0,ns,136
bench_trivial_query,tokio_postgres_by_id,100,,,17129949.0,ns,144
bench_trivial_query,tokio_postgres_by_id,100,,,18033246.0,ns,152
bench_trivial_query,tokio_postgres_by_id,100,,,19669334.0,ns,160
bench_trivial_query,tokio_postgres_by_id,100,,,20073015.0,ns,168
bench_trivial_query,tokio_postgres_by_id,100,,,21273199.0,ns,176
bench_trivial_query,tokio_postgres_by_id,100,,,20961465.0,ns,184
bench_trivial_query,tokio_postgres_by_id,100,,,22805359.0,ns,192
bench_trivial_query,tokio_postgres_by_id,100,,,24352318.0,ns,200
bench_trivial_query,tokio_postgres_by_id,100,,,23974242.0,ns,208
bench_trivial_query,tokio_postgres_by_id,100,,,25839186.0,ns,216
bench_trivial_query,tokio_postgres_by_id,100,,,26031117.0,ns,224
bench_trivial_query,tokio_postgres_by_id,100,,,28492697.0,ns,232
bench_trivial_query,tokio_postgres_by_id,100,,,28860966.0,ns,240
bench_trivial_query,tokio_postgres_by_id,100,,,29518424.0,ns,248
bench_trivial_query,tokio_postgres_by_id,100,,,30447931.0,ns,256
bench_trivial_query,tokio_postgres_by_id,100,,,31578171.0,ns,264
bench_trivial_query,tokio_postgres_by_id,100,,,33226553.0,ns,272
bench_trivial_query,tokio_postgres_by_id,100,,,32992666.0,ns,280
bench_trivial_query,tokio_postgres_by_id,100,,,34371654.0,ns,288
bench_trivial_query,tokio_postgres_by_id,100,,,35557055.0,ns,296
bench_trivial_query,tokio_postgres_by_id,100,,,37724646.0,ns,304
bench_trivial_query,tokio_postgres_by_id,100,,,38406380.0,ns,312
bench_trivial_query,tokio_postgres_by_id,100,,,38894749.0,ns,320
bench_trivial_query,tokio_postgres_by_id,100,,,40474415.0,ns,328
bench_trivial_query,tokio_postgres_by_id,100,,,40850473.0,ns,336
bench_trivial_query,tokio_postgres_by_id,100,,,41263437.0,ns,344
bench_trivial_query,tokio_postgres_by_id,100,,,42366980.0,ns,352
bench_trivial_query,tokio_postgres_by_id,100,,,43263375.0,ns,360
bench_trivial_query,tokio_postgres_by_id,100,,,45103303.0,ns,368
bench_trivial_query,tokio_postgres_by_id,100,,,46335319.0,ns,376
bench_trivial_query,tokio_postgres_by_id,100,,,47453404.0,ns,384
bench_trivial_query,tokio_postgres_by_id,100,,,48062451.0,ns,392
bench_trivial_query,tokio_postgres_by_id,100,,,48279844.0,ns,400
bench_trivial_query,tokio_postgres_by_id,100,,,48264288.0,ns,408
bench_trivial_query,tokio_postgres_by_id,100,,,50201735.0,ns,416
bench_trivial_query,tokio_postgres_by_id,100,,,54153444.0,ns,424
bench_trivial_query,tokio_postgres_by_id,100,,,52599953.0,ns,432
bench_trivial_query,tokio_postgres_by_id,100,,,53550581.0,ns,440
bench_trivial_query,tokio_postgres_by_id,100,,,53960338.0,ns,448
bench_trivial_query,tokio_postgres_by_id,100,,,57896340.0,ns,456
bench_trivial_query,tokio_postgres_by_id,100,,,56120185.0,ns,464
bench_trivial_query,tokio_postgres_by_id,100,,,57380243.0,ns,472
bench_trivial_query,tokio_postgres_by_id,100,,,57883584.0,ns,480
bench_trivial_query,tokio_postgres_by_id,100,,,59028495.0,ns,488
bench_trivial_query,tokio_postgres_by_id,100,,,58367303.0,ns,496
bench_trivial_query,tokio_postgres_by_id,100,,,62873224.0,ns,504
bench_trivial_query,tokio_postgres_by_id,100,,,62292276.0,ns,512
bench_trivial_query,tokio_postgres_by_id,100,,,63320314.0,ns,520
bench_trivial_query,tokio_postgres_by_id,100,,,64978729.0,ns,528
bench_trivial_query,tokio_postgres_by_id,100,,,64464260.0,ns,536
bench_trivial_query,tokio_postgres_by_id,100,,,67139303.0,ns,544
bench_trivial_query,tokio_postgres_by_id,100,,,66763952.0,ns,552
bench_trivial_query,tokio_postgres_by_id,100,,,69914051.0,ns,560
bench_trivial_query,tokio_postgres_by_id,100,,,70197497.0,ns,568
bench_trivial_query,tokio_postgres_by_id,100,,,68818180.0,ns,576
bench_trivial_query,tokio_postgres_by_id,100,,,70323289.0,ns,584
bench_trivial_query,tokio_postgres_by_id,100,,,72429851.0,ns,592
bench_trivial_query,tokio_postgres_by_id,100,,,73460889.0,ns,600
bench_trivial_query,tokio_postgres_by_id,100,,,74298643.0,ns,608
bench_trivial_query,tokio_postgres_by_id,100,,,75892266.0,ns,616
bench_trivial_query,tokio_postgres_by_id,100,,,76697576.0,ns,624
bench_trivial_query,tokio_postgres_by_id,100,,,77978036.0,ns,632
bench_trivial_query,tokio_postgres_by_id,100,,,78795442.0,ns,640
bench_trivial_query,tokio_postgres_by_id,100,,,79227739.0,ns,648
bench_trivial_query,tokio_postgres_by_id,100,,,79228295.0,ns,656
bench_trivial_query,tokio_postgres_by_id,100,,,81804024.0,ns,664
bench_trivial_query,tokio_postgres_by_id,100,,,83422167.0,ns,672
bench_trivial_query,tokio_postgres_by_id,100,,,84366723.0,ns,680
bench_trivial_query,tokio_postgres_by_id,100,,,84920621.0,ns,688
bench_trivial_query,tokio_postgres_by_id,100,,,84915854.0,ns,696
bench_trivial_query,tokio_postgres_by_id,100,,,86579359.0,ns,704
bench_trivial_query,tokio_postgres_by_id,100,,,87717072.0,ns,712
bench_trivial_query,tokio_postgres_by_id,100,,,90989391.0,ns,720
bench_trivial_query,tokio_postgres_by_id,100,,,88777800.0,ns,728
bench_trivial_query,tokio_postgres_by_id,100,,,92956233.0,ns,736
bench_trivial_query,tokio_postgres_by_id,100,,,91599340.0,ns,744
bench_trivial_query,tokio_postgres_by_id,100,,,92326669.0,ns,752
bench_trivial_query,tokio_postgres_by_id,100,,,94120305.0,ns,760
bench_trivial_query,tokio_postgres_by_id,100,,,92908235.0,ns,768
bench_trivial_query,tokio_postgres_by_id,100,,,96356241.0,ns,776
bench_trivial_query,tokio_postgres_by_id,100,,,95493364.0,ns,784
bench_trivial_query,tokio_postgres_by_id,100,,,96860888.0,ns,792
bench_trivial_query,tokio_postgres_by_id,100,,,98437615.0,ns,800
