group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58225388.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,60750890.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58174735.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59514137.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58881740.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59644640.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,74031416.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58513204.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59269512.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59156331.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59170447.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59328852.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58661299.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59099766.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59469795.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59090949.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59219439.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,66394372.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58486642.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58278615.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58947843.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59715792.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,65577812.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59282284.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59087764.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59427734.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59415513.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58940172.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59013709.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59088489.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59274534.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58716145.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58720623.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59639754.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59913534.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59105650.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58583728.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59026202.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,66301725.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59355415.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59159339.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59414154.0,ns,5
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59336921.0,ns,5
