group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rusqlite,10,,,970386.0,ns,228
bench_insert,rusqlite,10,,,1885040.0,ns,456
bench_insert,rusqlite,10,,,2862960.0,ns,684
bench_insert,rusqlite,10,,,3761953.0,ns,912
bench_insert,rusqlite,10,,,4740214.0,ns,1140
bench_insert,rusqlite,10,,,5786284.0,ns,1368
bench_insert,rusqlite,10,,,6571784.0,ns,1596
bench_insert,rusqlite,10,,,7553703.0,ns,1824
bench_insert,rusqlite,10,,,8482571.0,ns,2052
bench_insert,rusqlite,10,,,9762117.0,ns,2280
bench_insert,rusqlite,10,,,10410692.0,ns,2508
bench_insert,rusqlite,10,,,11339861.0,ns,2736
bench_insert,rusqlite,10,,,12342018.0,ns,2964
bench_insert,rusqlite,10,,,13625521.0,ns,3192
bench_insert,rusqlite,10,,,14259157.0,ns,3420
bench_insert,rusqlite,10,,,15248299.0,ns,3648
bench_insert,rusqlite,10,,,16185674.0,ns,3876
bench_insert,rusqlite,10,,,17107560.0,ns,4104
bench_insert,rusqlite,10,,,18136656.0,ns,4332
bench_insert,rusqlite,10,,,19014561.0,ns,4560
bench_insert,rusqlite,10,,,20366061.0,ns,4788
bench_insert,rusqlite,10,,,21403784.0,ns,5016
bench_insert,rusqlite,10,,,21992448.0,ns,5244
bench_insert,rusqlite,10,,,22883713.0,ns,5472
bench_insert,rusqlite,10,,,23814616.0,ns,5700
bench_insert,rusqlite,10,,,24751240.0,ns,5928
bench_insert,rusqlite,10,,,25762834.0,ns,6156
bench_insert,rusqlite,10,,,26671476.0,ns,6384
bench_insert,rusqlite,10,,,27960189.0,ns,6612
bench_insert,rusqlite,10,,,28781286.0,ns,6840
bench_insert,rusqlite,10,,,30206084.0,ns,7068
bench_insert,rusqlite,10,,,30521645.0,ns,7296
bench_insert,rusqlite,10,,,31500668.0,ns,7524
bench_insert,rusqlite,10,,,32433045.0,ns,7752
bench_insert,rusqlite,10,,,33485505.0,ns,7980
bench_insert,rusqlite,10,,,34302665.0,ns,8208
bench_insert,rusqlite,10,,,35419928.0,ns,8436
bench_insert,rusqlite,10,,,36317328.0,ns,8664
bench_insert,rusqlite,10,,,38130704.0,ns,8892
bench_insert,rusqlite,10,,,38285134.0,ns,9120
bench_insert,rusqlite,10,,,39207871.0,ns,9348
bench_insert,rusqlite,10,,,40246346.0,ns,9576
bench_insert,rusqlite,10,,,41223936.0,ns,9804
bench_insert,rusqlite,10,,,42345076.0,ns,10032
bench_insert,rusqlite,10,,,43162967.0,ns,10260
bench_insert,rusqlite,10,,,45318144.0,ns,10488
bench_insert,rusqlite,10,,,45023983.0,ns,10716
bench_insert,rusqlite,10,,,45896016.0,ns,10944
bench_insert,rusqlite,10,,,48033688.0,ns,11172
bench_insert,rusqlite,10,,,48108709.0,ns,11400
bench_insert,rusqlite,10,,,48953792.0,ns,11628
bench_insert,rusqlite,10,,,49843026.0,ns,11856
bench_insert,rusqlite,10,,,50742701.0,ns,12084
bench_insert,rusqlite,10,,,51943089.0,ns,12312
bench_insert,rusqlite,10,,,53944637.0,ns,12540
bench_insert,rusqlite,10,,,54777828.0,ns,12768
bench_insert,rusqlite,10,,,54911688.0,ns,12996
bench_insert,rusqlite,10,,,55755389.0,ns,13224
bench_insert,rusqlite,10,,,56774146.0,ns,13452
bench_insert,rusqlite,10,,,58740729.0,ns,13680
bench_insert,rusqlite,10,,,58602791.0,ns,13908
bench_insert,rusqlite,10,,,59670691.0,ns,14136
bench_insert,rusqlite,10,,,60651857.0,ns,14364
bench_insert,rusqlite,10,,,61503573.0,ns,14592
bench_insert,rusqlite,10,,,64003464.0,ns,14820
bench_insert,rusqlite,10,,,63400134.0,ns,15048
bench_insert,rusqlite,10,,,64539057.0,ns,15276
bench_insert,rusqlite,10,,,65763831.0,ns,15504
bench_insert,rusqlite,10,,,66168307.0,ns,15732
bench_insert,rusqlite,10,,,67336035.0,ns,15960
bench_insert,rusqlite,10,,,68505364.0,ns,16188
bench_insert,rusqlite,10,,,69267411.0,ns,16416
bench_insert,rusqlite,10,,,70139945.0,ns,16644
bench_insert,rusqlite,10,,,71139626.0,ns,16872
bench_insert,rusqlite,10,,,72098513.0,ns,17100
bench_insert,rusqlite,10,,,72994130.0,ns,17328
bench_insert,rusqlite,10,,,74108366.0,ns,17556
bench_insert,rusqlite,10,,,75105924.0,ns,17784
bench_insert,rusqlite,10,,,77429976.0,ns,18012
bench_insert,rusqlite,10,,,76923208.0,ns,18240
bench_insert,rusqlite,10,,,79795516.0,ns,18468
bench_insert,rusqlite,10,,,78883268.0,ns,18696
bench_insert,rusqlite,10,,,79878892.0,ns,18924
bench_insert,rusqlite,10,,,80778307.0,ns,19152
bench_insert,rusqlite,10,,,83448707.0,ns,19380
bench_insert,rusqlite,10,,,82775296.0,ns,19608
bench_insert,rusqlite,10,,,85627848.0,ns,19836
bench_insert,rusqlite,10,,,84691986.0,ns,20064
bench_insert,rusqlite,10,,,85583534.0,ns,20292
bench_insert,rusqlite,10,,,86628211.0,ns,20520
bench_insert,rusqlite,10,,,87421226.0,ns,20748
bench_insert,rusqlite,10,,,88471042.0,ns,20976
bench_insert,rusqlite,10,,,91445231.0,ns,21204
bench_insert,rusqlite,10,,,90469915.0,ns,21432
bench_insert,rusqlite,10,,,92681527.0,ns,21660
bench_insert,rusqlite,10,,,92300713.0,ns,21888
bench_insert,rusqlite,10,,,93798107.0,ns,22116
bench_insert,rusqlite,10,,,95954366.0,ns,22344
bench_insert,rusqlite,10,,,95407331.0,ns,22572
bench_insert,rusqlite,10,,,96482545.0,ns,22800
