group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,1805891.0,ns,4
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,2815611.0,ns,8
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,4367109.0,ns,12
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,5652312.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,6593720.0,ns,20
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,7693446.0,ns,24
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,8643923.0,ns,28
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,10091515.0,ns,32
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,10596594.0,ns,36
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,12328416.0,ns,40
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,13605255.0,ns,44
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,14670685.0,ns,48
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,16328455.0,ns,52
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,16366654.0,ns,56
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,18468887.0,ns,60
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,18782420.0,ns,64
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,20641716.0,ns,68
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,22217273.0,ns,72
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,23001435.0,ns,76
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,24121092.0,ns,80
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,25202764.0,ns,84
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,27031748.0,ns,88
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,27364592.0,ns,92
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,29727960.0,ns,96
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,29509065.0,ns,100
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,29923837.0,ns,104
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,32158319.0,ns,108
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,31826403.0,ns,112
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,34790450.0,ns,116
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,36284642.0,ns,120
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,38019691.0,ns,124
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,36535975.0,ns,128
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,39594860.0,ns,132
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,40834877.0,ns,136
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,42129662.0,ns,140
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,44041535.0,ns,144
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,45901480.0,ns,148
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,47658361.0,ns,152
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,48317074.0,ns,156
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,48227211.0,ns,160
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,50963843.0,ns,164
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,50815231.0,ns,168
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,52948732.0,ns,172
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,54351175.0,ns,176
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,56656029.0,ns,180
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,57237921.0,ns,184
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,56095653.0,ns,188
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,58332882.0,ns,192
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,59701462.0,ns,196
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,60370974.0,ns,200
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,62458406.0,ns,204
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,64073335.0,ns,208
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,64557908.0,ns,212
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,64823532.0,ns,216
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,66709068.0,ns,220
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,67217584.0,ns,224
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,68433536.0,ns,228
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,67129813.0,ns,232
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,69248061.0,ns,236
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,71935940.0,ns,240
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,72122580.0,ns,244
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,74302113.0,ns,248
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,75427249.0,ns,252
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,79261171.0,ns,256
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,77496029.0,ns,260
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,81452361.0,ns,264
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,87278889.0,ns,268
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,83000858.0,ns,272
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,82362990.0,ns,276
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,83482736.0,ns,280
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,86326953.0,ns,284
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,87051018.0,ns,288
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,87083271.0,ns,292
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,86423814.0,ns,296
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,88736775.0,ns,300
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,89431403.0,ns,304
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,92987188.0,ns,308
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,94134981.0,ns,312
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,93412887.0,ns,316
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,95535791.0,ns,320
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,96825169.0,ns,324
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,101409471.0,ns,328
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,99769720.0,ns,332
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,100465808.0,ns,336
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,104612149.0,ns,340
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,101968672.0,ns,344
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,103680250.0,ns,348
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,108742599.0,ns,352
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,110180138.0,ns,356
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,111192844.0,ns,360
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,109299707.0,ns,364
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,111143765.0,ns,368
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,110778826.0,ns,372
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,114042177.0,ns,376
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,113970788.0,ns,380
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,115706132.0,ns,384
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,119415772.0,ns,388
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,120831219.0,ns,392
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,118434180.0,ns,396
bench_medium_complex_query,diesel_async_queryable_by_name,10,,,119023168.0,ns,400
