group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,postgres_by_name,1000,,,2039380.0,ns,2
bench_medium_complex_query,postgres_by_name,1000,,,3724539.0,ns,4
bench_medium_complex_query,postgres_by_name,1000,,,4469216.0,ns,6
bench_medium_complex_query,postgres_by_name,1000,,,5820705.0,ns,8
bench_medium_complex_query,postgres_by_name,1000,,,8390943.0,ns,10
bench_medium_complex_query,postgres_by_name,1000,,,10409354.0,ns,12
bench_medium_complex_query,postgres_by_name,1000,,,9842488.0,ns,14
bench_medium_complex_query,postgres_by_name,1000,,,11192233.0,ns,16
bench_medium_complex_query,postgres_by_name,1000,,,12441550.0,ns,18
bench_medium_complex_query,postgres_by_name,1000,,,17290535.0,ns,20
bench_medium_complex_query,postgres_by_name,1000,,,15067802.0,ns,22
bench_medium_complex_query,postgres_by_name,1000,,,16767911.0,ns,24
bench_medium_complex_query,postgres_by_name,1000,,,22106207.0,ns,26
bench_medium_complex_query,postgres_by_name,1000,,,19159346.0,ns,28
bench_medium_complex_query,postgres_by_name,1000,,,22031308.0,ns,30
bench_medium_complex_query,postgres_by_name,1000,,,27222349.0,ns,32
bench_medium_complex_query,postgres_by_name,1000,,,23350175.0,ns,34
bench_medium_complex_query,postgres_by_name,1000,,,30431588.0,ns,36
bench_medium_complex_query,postgres_by_name,1000,,,26086022.0,ns,38
bench_medium_complex_query,postgres_by_name,1000,,,27288051.0,ns,40
bench_medium_complex_query,postgres_by_name,1000,,,35536780.0,ns,42
bench_medium_complex_query,postgres_by_name,1000,,,29917880.0,ns,44
bench_medium_complex_query,postgres_by_name,1000,,,31210693.0,ns,46
bench_medium_complex_query,postgres_by_name,1000,,,33003940.0,ns,48
bench_medium_complex_query,postgres_by_name,1000,,,34993511.0,ns,50
bench_medium_complex_query,postgres_by_name,1000,,,43848866.0,ns,52
bench_medium_complex_query,postgres_by_name,1000,,,36931278.0,ns,54
bench_medium_complex_query,postgres_by_name,1000,,,47434847.0,ns,56
bench_medium_complex_query,postgres_by_name,1000,,,48738356.0,ns,58
bench_medium_complex_query,postgres_by_name,1000,,,40870718.0,ns,60
bench_medium_complex_query,postgres_by_name,1000,,,48763793.0,ns,62
bench_medium_complex_query,postgres_by_name,1000,,,43773345.0,ns,64
bench_medium_complex_query,postgres_by_name,1000,,,45243835.0,ns,66
bench_medium_complex_query,postgres_by_name,1000,,,46289924.0,ns,68
bench_medium_complex_query,postgres_by_name,1000,,,47597881.0,ns,70
bench_medium_complex_query,postgres_by_name,1000,,,48771517.0,ns,72
bench_medium_complex_query,postgres_by_name,1000,,,50189409.0,ns,74
bench_medium_complex_query,postgres_by_name,1000,,,51975878.0,ns,76
bench_medium_complex_query,postgres_by_name,1000,,,52937849.0,ns,78
bench_medium_complex_query,postgres_by_name,1000,,,54230468.0,ns,80
bench_medium_complex_query,postgres_by_name,1000,,,69140667.0,ns,82
bench_medium_complex_query,postgres_by_name,1000,,,69648454.0,ns,84
bench_medium_complex_query,postgres_by_name,1000,,,58249907.0,ns,86
bench_medium_complex_query,postgres_by_name,1000,,,59786239.0,ns,88
bench_medium_complex_query,postgres_by_name,1000,,,74370381.0,ns,90
bench_medium_complex_query,postgres_by_name,1000,,,77347107.0,ns,92
bench_medium_complex_query,postgres_by_name,1000,,,64442974.0,ns,94
bench_medium_complex_query,postgres_by_name,1000,,,80070492.0,ns,96
bench_medium_complex_query,postgres_by_name,1000,,,66719287.0,ns,98
bench_medium_complex_query,postgres_by_name,1000,,,67791082.0,ns,100
bench_medium_complex_query,postgres_by_name,1000,,,69154785.0,ns,102
bench_medium_complex_query,postgres_by_name,1000,,,70456850.0,ns,104
bench_medium_complex_query,postgres_by_name,1000,,,80446075.0,ns,106
bench_medium_complex_query,postgres_by_name,1000,,,80444317.0,ns,108
bench_medium_complex_query,postgres_by_name,1000,,,81549897.0,ns,110
bench_medium_complex_query,postgres_by_name,1000,,,76078413.0,ns,112
bench_medium_complex_query,postgres_by_name,1000,,,78119426.0,ns,114
bench_medium_complex_query,postgres_by_name,1000,,,91305684.0,ns,116
bench_medium_complex_query,postgres_by_name,1000,,,82030453.0,ns,118
bench_medium_complex_query,postgres_by_name,1000,,,81883981.0,ns,120
bench_medium_complex_query,postgres_by_name,1000,,,82978910.0,ns,122
bench_medium_complex_query,postgres_by_name,1000,,,94723917.0,ns,124
bench_medium_complex_query,postgres_by_name,1000,,,97359068.0,ns,126
bench_medium_complex_query,postgres_by_name,1000,,,86862104.0,ns,128
bench_medium_complex_query,postgres_by_name,1000,,,99761889.0,ns,130
bench_medium_complex_query,postgres_by_name,1000,,,100493091.0,ns,132
bench_medium_complex_query,postgres_by_name,1000,,,90999132.0,ns,134
bench_medium_complex_query,postgres_by_name,1000,,,92119721.0,ns,136
bench_medium_complex_query,postgres_by_name,1000,,,102722174.0,ns,138
bench_medium_complex_query,postgres_by_name,1000,,,106966292.0,ns,140
bench_medium_complex_query,postgres_by_name,1000,,,114349133.0,ns,142
bench_medium_complex_query,postgres_by_name,1000,,,102476236.0,ns,144
bench_medium_complex_query,postgres_by_name,1000,,,109773498.0,ns,146
bench_medium_complex_query,postgres_by_name,1000,,,99977335.0,ns,148
bench_medium_complex_query,postgres_by_name,1000,,,101788827.0,ns,150
bench_medium_complex_query,postgres_by_name,1000,,,103743688.0,ns,152
bench_medium_complex_query,postgres_by_name,1000,,,116144623.0,ns,154
bench_medium_complex_query,postgres_by_name,1000,,,105860402.0,ns,156
bench_medium_complex_query,postgres_by_name,1000,,,122897609.0,ns,158
bench_medium_complex_query,postgres_by_name,1000,,,108740729.0,ns,160
bench_medium_complex_query,postgres_by_name,1000,,,109544396.0,ns,162
bench_medium_complex_query,postgres_by_name,1000,,,111354563.0,ns,164
bench_medium_complex_query,postgres_by_name,1000,,,129174360.0,ns,166
bench_medium_complex_query,postgres_by_name,1000,,,113485409.0,ns,168
bench_medium_complex_query,postgres_by_name,1000,,,115264023.0,ns,170
bench_medium_complex_query,postgres_by_name,1000,,,133769391.0,ns,172
bench_medium_complex_query,postgres_by_name,1000,,,117480829.0,ns,174
bench_medium_complex_query,postgres_by_name,1000,,,119851143.0,ns,176
bench_medium_complex_query,postgres_by_name,1000,,,133286661.0,ns,178
bench_medium_complex_query,postgres_by_name,1000,,,121719740.0,ns,180
bench_medium_complex_query,postgres_by_name,1000,,,138415508.0,ns,182
bench_medium_complex_query,postgres_by_name,1000,,,124723527.0,ns,184
bench_medium_complex_query,postgres_by_name,1000,,,125721216.0,ns,186
bench_medium_complex_query,postgres_by_name,1000,,,134350960.0,ns,188
bench_medium_complex_query,postgres_by_name,1000,,,129000997.0,ns,190
bench_medium_complex_query,postgres_by_name,1000,,,130403881.0,ns,192
bench_medium_complex_query,postgres_by_name,1000,,,131484695.0,ns,194
bench_medium_complex_query,postgres_by_name,1000,,,142461813.0,ns,196
bench_medium_complex_query,postgres_by_name,1000,,,134126556.0,ns,198
bench_medium_complex_query,postgres_by_name,1000,,,153137255.0,ns,200
