group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51325501.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,60164857.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51886510.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,53578971.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,62244108.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,62342932.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51581887.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,52372878.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,53949794.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,58661285.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,52425957.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50272873.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,61157518.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51038108.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50544140.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51718074.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50645579.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,62596256.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51116210.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51786603.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,62643645.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51588084.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51386323.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,62631949.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51257893.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,53377254.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51103625.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,54076872.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51718677.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51458618.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,52020127.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51773301.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51995494.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51155630.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,57170640.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,63145182.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51547526.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51296858.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51203925.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,54674586.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,52641640.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,61028036.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51469190.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50796420.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,55902198.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51764499.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,61694958.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50738287.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,52198326.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,61274923.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,62450123.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51706019.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51561508.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51310694.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51208170.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51299658.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51929744.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,53394279.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,65510195.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51310929.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,62722242.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,57076593.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,54033338.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51750239.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,63514605.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51527312.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51320004.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51880572.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,56820697.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51216160.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,63306046.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,58267509.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,62770875.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51330223.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,52215007.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,53844277.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51823656.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,62938118.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51929754.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51788364.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,63626411.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50887462.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50343569.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51116447.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50980558.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,61262309.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50577351.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,54952570.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51563460.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,58518498.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,52647489.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50719563.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,58271956.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,53341776.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,50845980.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51051145.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,57281673.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,51751216.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,61813496.0,ns,19
bench_medium_complex_query,tokio_postgres_by_id,10000,,,68327892.0,ns,19
