group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,10000,,,1971892.0,ns,1
bench_medium_complex_query,diesel,10000,,,3900103.0,ns,2
bench_medium_complex_query,diesel,10000,,,5824846.0,ns,3
bench_medium_complex_query,diesel,10000,,,7764878.0,ns,4
bench_medium_complex_query,diesel,10000,,,9646692.0,ns,5
bench_medium_complex_query,diesel,10000,,,11566285.0,ns,6
bench_medium_complex_query,diesel,10000,,,13446285.0,ns,7
bench_medium_complex_query,diesel,10000,,,15397900.0,ns,8
bench_medium_complex_query,diesel,10000,,,17384359.0,ns,9
bench_medium_complex_query,diesel,10000,,,19310165.0,ns,10
bench_medium_complex_query,diesel,10000,,,21267670.0,ns,11
bench_medium_complex_query,diesel,10000,,,23351242.0,ns,12
bench_medium_complex_query,diesel,10000,,,24997923.0,ns,13
bench_medium_complex_query,diesel,10000,,,27073300.0,ns,14
bench_medium_complex_query,diesel,10000,,,28852520.0,ns,15
bench_medium_complex_query,diesel,10000,,,30992769.0,ns,16
bench_medium_complex_query,diesel,10000,,,32834616.0,ns,17
bench_medium_complex_query,diesel,10000,,,34769951.0,ns,18
bench_medium_complex_query,diesel,10000,,,37142936.0,ns,19
bench_medium_complex_query,diesel,10000,,,38669802.0,ns,20
bench_medium_complex_query,diesel,10000,,,40695225.0,ns,21
bench_medium_complex_query,diesel,10000,,,42701301.0,ns,22
bench_medium_complex_query,diesel,10000,,,44513633.0,ns,23
bench_medium_complex_query,diesel,10000,,,46232471.0,ns,24
bench_medium_complex_query,diesel,10000,,,48550794.0,ns,25
bench_medium_complex_query,diesel,10000,,,50253401.0,ns,26
bench_medium_complex_query,diesel,10000,,,52231985.0,ns,27
bench_medium_complex_query,diesel,10000,,,53762117.0,ns,28
bench_medium_complex_query,diesel,10000,,,56171201.0,ns,29
bench_medium_complex_query,diesel,10000,,,58215238.0,ns,30
bench_medium_complex_query,diesel,10000,,,62219807.0,ns,31
bench_medium_complex_query,diesel,10000,,,61925064.0,ns,32
bench_medium_complex_query,diesel,10000,,,66119328.0,ns,33
bench_medium_complex_query,diesel,10000,,,65587220.0,ns,34
bench_medium_complex_query,diesel,10000,,,67539365.0,ns,35
bench_medium_complex_query,diesel,10000,,,69655097.0,ns,36
bench_medium_complex_query,diesel,10000,,,71286950.0,ns,37
bench_medium_complex_query,diesel,10000,,,73693839.0,ns,38
bench_medium_complex_query,diesel,10000,,,75201630.0,ns,39
bench_medium_complex_query,diesel,10000,,,77396441.0,ns,40
bench_medium_complex_query,diesel,10000,,,79246815.0,ns,41
bench_medium_complex_query,diesel,10000,,,81300501.0,ns,42
bench_medium_complex_query,diesel,10000,,,83040398.0,ns,43
bench_medium_complex_query,diesel,10000,,,85057235.0,ns,44
bench_medium_complex_query,diesel,10000,,,87198555.0,ns,45
bench_medium_complex_query,diesel,10000,,,88649138.0,ns,46
bench_medium_complex_query,diesel,10000,,,90609238.0,ns,47
bench_medium_complex_query,diesel,10000,,,92310101.0,ns,48
bench_medium_complex_query,diesel,10000,,,94414733.0,ns,49
bench_medium_complex_query,diesel,10000,,,96576292.0,ns,50
bench_medium_complex_query,diesel,10000,,,99488298.0,ns,51
bench_medium_complex_query,diesel,10000,,,100409177.0,ns,52
bench_medium_complex_query,diesel,10000,,,104228217.0,ns,53
bench_medium_complex_query,diesel,10000,,,104314660.0,ns,54
bench_medium_complex_query,diesel,10000,,,106209418.0,ns,55
bench_medium_complex_query,diesel,10000,,,109945531.0,ns,56
bench_medium_complex_query,diesel,10000,,,109859541.0,ns,57
bench_medium_complex_query,diesel,10000,,,111743798.0,ns,58
bench_medium_complex_query,diesel,10000,,,113664524.0,ns,59
bench_medium_complex_query,diesel,10000,,,115725744.0,ns,60
bench_medium_complex_query,diesel,10000,,,117909425.0,ns,61
bench_medium_complex_query,diesel,10000,,,119831423.0,ns,62
bench_medium_complex_query,diesel,10000,,,121206604.0,ns,63
bench_medium_complex_query,diesel,10000,,,123664169.0,ns,64
bench_medium_complex_query,diesel,10000,,,125221442.0,ns,65
bench_medium_complex_query,diesel,10000,,,127274937.0,ns,66
bench_medium_complex_query,diesel,10000,,,129214570.0,ns,67
bench_medium_complex_query,diesel,10000,,,131426252.0,ns,68
bench_medium_complex_query,diesel,10000,,,134951119.0,ns,69
bench_medium_complex_query,diesel,10000,,,135203874.0,ns,70
bench_medium_complex_query,diesel,10000,,,136919144.0,ns,71
bench_medium_complex_query,diesel,10000,,,138577669.0,ns,72
bench_medium_complex_query,diesel,10000,,,140553803.0,ns,73
bench_medium_complex_query,diesel,10000,,,143028981.0,ns,74
bench_medium_complex_query,diesel,10000,,,144268608.0,ns,75
bench_medium_complex_query,diesel,10000,,,146150041.0,ns,76
bench_medium_complex_query,diesel,10000,,,152371943.0,ns,77
bench_medium_complex_query,diesel,10000,,,149895974.0,ns,78
bench_medium_complex_query,diesel,10000,,,152288266.0,ns,79
bench_medium_complex_query,diesel,10000,,,154285415.0,ns,80
bench_medium_complex_query,diesel,10000,,,156122264.0,ns,81
bench_medium_complex_query,diesel,10000,,,160201384.0,ns,82
bench_medium_complex_query,diesel,10000,,,159970650.0,ns,83
bench_medium_complex_query,diesel,10000,,,162263195.0,ns,84
bench_medium_complex_query,diesel,10000,,,164036935.0,ns,85
bench_medium_complex_query,diesel,10000,,,165869436.0,ns,86
bench_medium_complex_query,diesel,10000,,,167495128.0,ns,87
bench_medium_complex_query,diesel,10000,,,169575885.0,ns,88
bench_medium_complex_query,diesel,10000,,,175490840.0,ns,89
bench_medium_complex_query,diesel,10000,,,175185087.0,ns,90
bench_medium_complex_query,diesel,10000,,,175098915.0,ns,91
bench_medium_complex_query,diesel,10000,,,177909221.0,ns,92
bench_medium_complex_query,diesel,10000,,,182637670.0,ns,93
bench_medium_complex_query,diesel,10000,,,181367444.0,ns,94
bench_medium_complex_query,diesel,10000,,,182611641.0,ns,95
bench_medium_complex_query,diesel,10000,,,184533028.0,ns,96
bench_medium_complex_query,diesel,10000,,,187058180.0,ns,97
bench_medium_complex_query,diesel,10000,,,213342911.0,ns,98
bench_medium_complex_query,diesel,10000,,,189841456.0,ns,99
bench_medium_complex_query,diesel,10000,,,192180688.0,ns,100
