group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,diesel,10,,,1903020.0,ns,5
bench_insert,diesel,10,,,2803185.0,ns,10
bench_insert,diesel,10,,,3673263.0,ns,15
bench_insert,diesel,10,,,5199644.0,ns,20
bench_insert,diesel,10,,,6225312.0,ns,25
bench_insert,diesel,10,,,6888709.0,ns,30
bench_insert,diesel,10,,,7760759.0,ns,35
bench_insert,diesel,10,,,14048228.0,ns,40
bench_insert,diesel,10,,,10599639.0,ns,45
bench_insert,diesel,10,,,11199490.0,ns,50
bench_insert,diesel,10,,,12449331.0,ns,55
bench_insert,diesel,10,,,14480642.0,ns,60
bench_insert,diesel,10,,,14472447.0,ns,65
bench_insert,diesel,10,,,18562477.0,ns,70
bench_insert,diesel,10,,,17629652.0,ns,75
bench_insert,diesel,10,,,21522123.0,ns,80
bench_insert,diesel,10,,,19723004.0,ns,85
bench_insert,diesel,10,,,23886994.0,ns,90
bench_insert,diesel,10,,,22552751.0,ns,95
bench_insert,diesel,10,,,24837163.0,ns,100
bench_insert,diesel,10,,,23459809.0,ns,105
bench_insert,diesel,10,,,27459551.0,ns,110
bench_insert,diesel,10,,,25220555.0,ns,115
bench_insert,diesel,10,,,26934043.0,ns,120
bench_insert,diesel,10,,,26742156.0,ns,125
bench_insert,diesel,10,,,40587395.0,ns,130
bench_insert,diesel,10,,,30200521.0,ns,135
bench_insert,diesel,10,,,32880104.0,ns,140
bench_insert,diesel,10,,,32695130.0,ns,145
bench_insert,diesel,10,,,33031238.0,ns,150
bench_insert,diesel,10,,,47201844.0,ns,155
bench_insert,diesel,10,,,36415475.0,ns,160
bench_insert,diesel,10,,,49082389.0,ns,165
bench_insert,diesel,10,,,42681944.0,ns,170
bench_insert,diesel,10,,,39756818.0,ns,175
bench_insert,diesel,10,,,43336311.0,ns,180
bench_insert,diesel,10,,,41044336.0,ns,185
bench_insert,diesel,10,,,44925477.0,ns,190
bench_insert,diesel,10,,,44793033.0,ns,195
bench_insert,diesel,10,,,43490829.0,ns,200
bench_insert,diesel,10,,,49246537.0,ns,205
bench_insert,diesel,10,,,46807068.0,ns,210
bench_insert,diesel,10,,,53361323.0,ns,215
bench_insert,diesel,10,,,62765370.0,ns,220
bench_insert,diesel,10,,,51625291.0,ns,225
bench_insert,diesel,10,,,53812069.0,ns,230
bench_insert,diesel,10,,,51278229.0,ns,235
bench_insert,diesel,10,,,61535092.0,ns,240
bench_insert,diesel,10,,,53849028.0,ns,245
bench_insert,diesel,10,,,56808976.0,ns,250
bench_insert,diesel,10,,,59681854.0,ns,255
bench_insert,diesel,10,,,54967461.0,ns,260
bench_insert,diesel,10,,,56338493.0,ns,265
bench_insert,diesel,10,,,62359857.0,ns,270
bench_insert,diesel,10,,,68193814.0,ns,275
bench_insert,diesel,10,,,65924708.0,ns,280
bench_insert,diesel,10,,,74853831.0,ns,285
bench_insert,diesel,10,,,67911945.0,ns,290
bench_insert,diesel,10,,,75366622.0,ns,295
bench_insert,diesel,10,,,68761794.0,ns,300
bench_insert,diesel,10,,,69240825.0,ns,305
bench_insert,diesel,10,,,71863386.0,ns,310
bench_insert,diesel,10,,,72387073.0,ns,315
bench_insert,diesel,10,,,75127583.0,ns,320
bench_insert,diesel,10,,,81085189.0,ns,325
bench_insert,diesel,10,,,81318464.0,ns,330
bench_insert,diesel,10,,,76136217.0,ns,335
bench_insert,diesel,10,,,77935011.0,ns,340
bench_insert,diesel,10,,,78525550.0,ns,345
bench_insert,diesel,10,,,88660958.0,ns,350
bench_insert,diesel,10,,,79612410.0,ns,355
bench_insert,diesel,10,,,80295313.0,ns,360
bench_insert,diesel,10,,,81323526.0,ns,365
bench_insert,diesel,10,,,90454380.0,ns,370
bench_insert,diesel,10,,,100233983.0,ns,375
bench_insert,diesel,10,,,92060053.0,ns,380
bench_insert,diesel,10,,,88688420.0,ns,385
bench_insert,diesel,10,,,100708467.0,ns,390
bench_insert,diesel,10,,,87248206.0,ns,395
bench_insert,diesel,10,,,97398632.0,ns,400
bench_insert,diesel,10,,,101731199.0,ns,405
bench_insert,diesel,10,,,103354275.0,ns,410
bench_insert,diesel,10,,,105914799.0,ns,415
bench_insert,diesel,10,,,97418788.0,ns,420
bench_insert,diesel,10,,,97703733.0,ns,425
bench_insert,diesel,10,,,98598811.0,ns,430
bench_insert,diesel,10,,,100932683.0,ns,435
bench_insert,diesel,10,,,95163932.0,ns,440
bench_insert,diesel,10,,,103105443.0,ns,445
bench_insert,diesel,10,,,113785081.0,ns,450
bench_insert,diesel,10,,,111121892.0,ns,455
bench_insert,diesel,10,,,119177753.0,ns,460
bench_insert,diesel,10,,,116536643.0,ns,465
bench_insert,diesel,10,,,112128153.0,ns,470
bench_insert,diesel,10,,,106007811.0,ns,475
bench_insert,diesel,10,,,108967322.0,ns,480
bench_insert,diesel,10,,,136087247.0,ns,485
bench_insert,diesel,10,,,120327962.0,ns,490
bench_insert,diesel,10,,,119968486.0,ns,495
bench_insert,diesel,10,,,132408215.0,ns,500
