group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,postgres_by_id,1,,,1650865.0,ns,15
bench_medium_complex_query,postgres_by_id,1,,,2596643.0,ns,30
bench_medium_complex_query,postgres_by_id,1,,,4472911.0,ns,45
bench_medium_complex_query,postgres_by_id,1,,,4405123.0,ns,60
bench_medium_complex_query,postgres_by_id,1,,,6802795.0,ns,75
bench_medium_complex_query,postgres_by_id,1,,,6316467.0,ns,90
bench_medium_complex_query,postgres_by_id,1,,,8863357.0,ns,105
bench_medium_complex_query,postgres_by_id,1,,,10125285.0,ns,120
bench_medium_complex_query,postgres_by_id,1,,,11217647.0,ns,135
bench_medium_complex_query,postgres_by_id,1,,,11823575.0,ns,150
bench_medium_complex_query,postgres_by_id,1,,,10780320.0,ns,165
bench_medium_complex_query,postgres_by_id,1,,,11719084.0,ns,180
bench_medium_complex_query,postgres_by_id,1,,,12718250.0,ns,195
bench_medium_complex_query,postgres_by_id,1,,,13539097.0,ns,210
bench_medium_complex_query,postgres_by_id,1,,,14124371.0,ns,225
bench_medium_complex_query,postgres_by_id,1,,,15049199.0,ns,240
bench_medium_complex_query,postgres_by_id,1,,,15888000.0,ns,255
bench_medium_complex_query,postgres_by_id,1,,,17343761.0,ns,270
bench_medium_complex_query,postgres_by_id,1,,,18320134.0,ns,285
bench_medium_complex_query,postgres_by_id,1,,,18952374.0,ns,300
bench_medium_complex_query,postgres_by_id,1,,,18790592.0,ns,315
bench_medium_complex_query,postgres_by_id,1,,,20039336.0,ns,330
bench_medium_complex_query,postgres_by_id,1,,,24150986.0,ns,345
bench_medium_complex_query,postgres_by_id,1,,,29142130.0,ns,360
bench_medium_complex_query,postgres_by_id,1,,,29837323.0,ns,375
bench_medium_complex_query,postgres_by_id,1,,,32272451.0,ns,390
bench_medium_complex_query,postgres_by_id,1,,,29914233.0,ns,405
bench_medium_complex_query,postgres_by_id,1,,,25952499.0,ns,420
bench_medium_complex_query,postgres_by_id,1,,,27825703.0,ns,435
bench_medium_complex_query,postgres_by_id,1,,,36302845.0,ns,450
bench_medium_complex_query,postgres_by_id,1,,,39434458.0,ns,465
bench_medium_complex_query,postgres_by_id,1,,,30106594.0,ns,480
bench_medium_complex_query,postgres_by_id,1,,,30381156.0,ns,495
bench_medium_complex_query,postgres_by_id,1,,,31100174.0,ns,510
bench_medium_complex_query,postgres_by_id,1,,,31186380.0,ns,525
bench_medium_complex_query,postgres_by_id,1,,,36486990.0,ns,540
bench_medium_complex_query,postgres_by_id,1,,,41564412.0,ns,555
bench_medium_complex_query,postgres_by_id,1,,,35879387.0,ns,570
bench_medium_complex_query,postgres_by_id,1,,,37405289.0,ns,585
