group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_queryable_by_name,10,,,1140238.0,ns,6
bench_trivial_query,diesel_async_queryable_by_name,10,,,2186341.0,ns,12
bench_trivial_query,diesel_async_queryable_by_name,10,,,3147524.0,ns,18
bench_trivial_query,diesel_async_queryable_by_name,10,,,4242666.0,ns,24
bench_trivial_query,diesel_async_queryable_by_name,10,,,5189084.0,ns,30
bench_trivial_query,diesel_async_queryable_by_name,10,,,6864558.0,ns,36
bench_trivial_query,diesel_async_queryable_by_name,10,,,7240817.0,ns,42
bench_trivial_query,diesel_async_queryable_by_name,10,,,8511925.0,ns,48
bench_trivial_query,diesel_async_queryable_by_name,10,,,8969111.0,ns,54
bench_trivial_query,diesel_async_queryable_by_name,10,,,10749012.0,ns,60
bench_trivial_query,diesel_async_queryable_by_name,10,,,12676339.0,ns,66
bench_trivial_query,diesel_async_queryable_by_name,10,,,12531164.0,ns,72
bench_trivial_query,diesel_async_queryable_by_name,10,,,14427283.0,ns,78
bench_trivial_query,diesel_async_queryable_by_name,10,,,14678502.0,ns,84
bench_trivial_query,diesel_async_queryable_by_name,10,,,16625667.0,ns,90
bench_trivial_query,diesel_async_queryable_by_name,10,,,17347152.0,ns,96
bench_trivial_query,diesel_async_queryable_by_name,10,,,16734200.0,ns,102
bench_trivial_query,diesel_async_queryable_by_name,10,,,17338557.0,ns,108
bench_trivial_query,diesel_async_queryable_by_name,10,,,21322508.0,ns,114
bench_trivial_query,diesel_async_queryable_by_name,10,,,22546289.0,ns,120
bench_trivial_query,diesel_async_queryable_by_name,10,,,22821687.0,ns,126
bench_trivial_query,diesel_async_queryable_by_name,10,,,23319920.0,ns,132
bench_trivial_query,diesel_async_queryable_by_name,10,,,23182062.0,ns,138
bench_trivial_query,diesel_async_queryable_by_name,10,,,25052574.0,ns,144
bench_trivial_query,diesel_async_queryable_by_name,10,,,27612287.0,ns,150
bench_trivial_query,diesel_async_queryable_by_name,10,,,28818093.0,ns,156
bench_trivial_query,diesel_async_queryable_by_name,10,,,28746795.0,ns,162
bench_trivial_query,diesel_async_queryable_by_name,10,,,29304146.0,ns,168
bench_trivial_query,diesel_async_queryable_by_name,10,,,31331336.0,ns,174
bench_trivial_query,diesel_async_queryable_by_name,10,,,34601391.0,ns,180
bench_trivial_query,diesel_async_queryable_by_name,10,,,35293922.0,ns,186
bench_trivial_query,diesel_async_queryable_by_name,10,,,35485420.0,ns,192
bench_trivial_query,diesel_async_queryable_by_name,10,,,36155556.0,ns,198
bench_trivial_query,diesel_async_queryable_by_name,10,,,38582148.0,ns,204
bench_trivial_query,diesel_async_queryable_by_name,10,,,36268468.0,ns,210
bench_trivial_query,diesel_async_queryable_by_name,10,,,38115308.0,ns,216
bench_trivial_query,diesel_async_queryable_by_name,10,,,41764536.0,ns,222
bench_trivial_query,diesel_async_queryable_by_name,10,,,39021366.0,ns,228
