group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,10000,,,57176312.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58282131.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58169280.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58571800.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58481863.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57078240.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,61387922.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57701539.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59247547.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57667917.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60729195.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59194017.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57745251.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57983154.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58208172.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57995248.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60760483.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58282186.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59517643.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57607154.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59022901.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58660003.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58406131.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57766511.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57394909.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57976252.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57746542.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58618163.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59281334.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57406956.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57320686.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57435655.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59415733.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57584842.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59458820.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59072451.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58334648.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58347011.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57973696.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57121681.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57843854.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59811626.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57473085.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58410815.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57487031.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57763084.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58934063.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57725534.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58671906.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58285746.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58158520.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57269577.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58064403.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58514119.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58404171.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58853811.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58836901.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58789370.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57945656.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58821266.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58148021.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58107458.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57642952.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57675622.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59331195.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58118027.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59143527.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57055772.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,61057594.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58389550.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58189291.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57953881.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58159369.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57657795.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58250990.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57831313.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58529798.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57834323.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57712805.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59315026.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57695799.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58091708.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59976528.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58020300.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57566816.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58518588.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57817301.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57855354.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58930063.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58029987.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57367624.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57476537.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58628234.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57748327.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57820783.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58085248.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57271175.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,61049962.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57536178.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57552580.0,ns,4
