group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sqlx,50,,,1966489.0,ns,3
bench_insert,sqlx,50,,,3029025.0,ns,6
bench_insert,sqlx,50,,,4705584.0,ns,9
bench_insert,sqlx,50,,,5585191.0,ns,12
bench_insert,sqlx,50,,,7488252.0,ns,15
bench_insert,sqlx,50,,,7866538.0,ns,18
bench_insert,sqlx,50,,,9097737.0,ns,21
bench_insert,sqlx,50,,,12922110.0,ns,24
bench_insert,sqlx,50,,,11744623.0,ns,27
bench_insert,sqlx,50,,,12792230.0,ns,30
bench_insert,sqlx,50,,,14598602.0,ns,33
bench_insert,sqlx,50,,,14643274.0,ns,36
bench_insert,sqlx,50,,,25198019.0,ns,39
bench_insert,sqlx,50,,,17394753.0,ns,42
bench_insert,sqlx,50,,,21634743.0,ns,45
bench_insert,sqlx,50,,,19585550.0,ns,48
bench_insert,sqlx,50,,,24082256.0,ns,51
bench_insert,sqlx,50,,,23036719.0,ns,54
bench_insert,sqlx,50,,,27880272.0,ns,57
bench_insert,sqlx,50,,,25718430.0,ns,60
bench_insert,sqlx,50,,,29216668.0,ns,63
bench_insert,sqlx,50,,,27059136.0,ns,66
bench_insert,sqlx,50,,,29852701.0,ns,69
bench_insert,sqlx,50,,,30142531.0,ns,72
bench_insert,sqlx,50,,,35249432.0,ns,75
bench_insert,sqlx,50,,,32208156.0,ns,78
bench_insert,sqlx,50,,,34735046.0,ns,81
bench_insert,sqlx,50,,,39894817.0,ns,84
bench_insert,sqlx,50,,,38011023.0,ns,87
bench_insert,sqlx,50,,,37525738.0,ns,90
bench_insert,sqlx,50,,,48815182.0,ns,93
bench_insert,sqlx,50,,,41667355.0,ns,96
bench_insert,sqlx,50,,,42952023.0,ns,99
bench_insert,sqlx,50,,,54614299.0,ns,102
bench_insert,sqlx,50,,,50011909.0,ns,105
bench_insert,sqlx,50,,,47113032.0,ns,108
bench_insert,sqlx,50,,,52036213.0,ns,111
bench_insert,sqlx,50,,,50073825.0,ns,114
bench_insert,sqlx,50,,,50177519.0,ns,117
bench_insert,sqlx,50,,,54744775.0,ns,120
bench_insert,sqlx,50,,,52144557.0,ns,123
bench_insert,sqlx,50,,,56309476.0,ns,126
bench_insert,sqlx,50,,,56139310.0,ns,129
bench_insert,sqlx,50,,,57343890.0,ns,132
bench_insert,sqlx,50,,,62110663.0,ns,135
bench_insert,sqlx,50,,,58491196.0,ns,138
bench_insert,sqlx,50,,,56746960.0,ns,141
bench_insert,sqlx,50,,,60356040.0,ns,144
bench_insert,sqlx,50,,,63477041.0,ns,147
bench_insert,sqlx,50,,,69364675.0,ns,150
bench_insert,sqlx,50,,,68369052.0,ns,153
bench_insert,sqlx,50,,,68588580.0,ns,156
bench_insert,sqlx,50,,,67461084.0,ns,159
bench_insert,sqlx,50,,,68650227.0,ns,162
bench_insert,sqlx,50,,,69100373.0,ns,165
bench_insert,sqlx,50,,,72573235.0,ns,168
bench_insert,sqlx,50,,,70040853.0,ns,171
bench_insert,sqlx,50,,,76238316.0,ns,174
bench_insert,sqlx,50,,,72130743.0,ns,177
bench_insert,sqlx,50,,,77665350.0,ns,180
bench_insert,sqlx,50,,,75561514.0,ns,183
bench_insert,sqlx,50,,,78507797.0,ns,186
bench_insert,sqlx,50,,,78629216.0,ns,189
bench_insert,sqlx,50,,,78789429.0,ns,192
bench_insert,sqlx,50,,,86571119.0,ns,195
bench_insert,sqlx,50,,,83625352.0,ns,198
bench_insert,sqlx,50,,,86862354.0,ns,201
bench_insert,sqlx,50,,,92802825.0,ns,204
bench_insert,sqlx,50,,,93586049.0,ns,207
bench_insert,sqlx,50,,,87238211.0,ns,210
bench_insert,sqlx,50,,,92365820.0,ns,213
bench_insert,sqlx,50,,,93729370.0,ns,216
bench_insert,sqlx,50,,,99958737.0,ns,219
bench_insert,sqlx,50,,,98076166.0,ns,222
bench_insert,sqlx,50,,,99326070.0,ns,225
bench_insert,sqlx,50,,,97573180.0,ns,228
bench_insert,sqlx,50,,,98577698.0,ns,231
bench_insert,sqlx,50,,,100682117.0,ns,234
bench_insert,sqlx,50,,,107207904.0,ns,237
bench_insert,sqlx,50,,,112406045.0,ns,240
bench_insert,sqlx,50,,,108218989.0,ns,243
bench_insert,sqlx,50,,,108334038.0,ns,246
bench_insert,sqlx,50,,,107396385.0,ns,249
bench_insert,sqlx,50,,,101452746.0,ns,252
bench_insert,sqlx,50,,,103243336.0,ns,255
bench_insert,sqlx,50,,,108981693.0,ns,258
bench_insert,sqlx,50,,,107523771.0,ns,261
bench_insert,sqlx,50,,,107485888.0,ns,264
bench_insert,sqlx,50,,,107544152.0,ns,267
bench_insert,sqlx,50,,,108488747.0,ns,270
bench_insert,sqlx,50,,,115609828.0,ns,273
bench_insert,sqlx,50,,,119076856.0,ns,276
bench_insert,sqlx,50,,,117773461.0,ns,279
bench_insert,sqlx,50,,,115840167.0,ns,282
bench_insert,sqlx,50,,,120487003.0,ns,285
bench_insert,sqlx,50,,,115237917.0,ns,288
bench_insert,sqlx,50,,,118803367.0,ns,291
bench_insert,sqlx,50,,,141844714.0,ns,294
bench_insert,sqlx,50,,,121324488.0,ns,297
bench_insert,sqlx,50,,,127203101.0,ns,300
