group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_as_macro,100,,,2240413.0,ns,8
bench_medium_complex_query,sqlx_query_as_macro,100,,,3185479.0,ns,16
bench_medium_complex_query,sqlx_query_as_macro,100,,,4191852.0,ns,24
bench_medium_complex_query,sqlx_query_as_macro,100,,,5212301.0,ns,32
bench_medium_complex_query,sqlx_query_as_macro,100,,,6334331.0,ns,40
bench_medium_complex_query,sqlx_query_as_macro,100,,,7208033.0,ns,48
bench_medium_complex_query,sqlx_query_as_macro,100,,,9895367.0,ns,56
bench_medium_complex_query,sqlx_query_as_macro,100,,,9216461.0,ns,64
bench_medium_complex_query,sqlx_query_as_macro,100,,,10176132.0,ns,72
bench_medium_complex_query,sqlx_query_as_macro,100,,,11144206.0,ns,80
bench_medium_complex_query,sqlx_query_as_macro,100,,,12179392.0,ns,88
bench_medium_complex_query,sqlx_query_as_macro,100,,,13982708.0,ns,96
bench_medium_complex_query,sqlx_query_as_macro,100,,,14373368.0,ns,104
bench_medium_complex_query,sqlx_query_as_macro,100,,,15743600.0,ns,112
bench_medium_complex_query,sqlx_query_as_macro,100,,,16403185.0,ns,120
bench_medium_complex_query,sqlx_query_as_macro,100,,,17072403.0,ns,128
bench_medium_complex_query,sqlx_query_as_macro,100,,,18356117.0,ns,136
bench_medium_complex_query,sqlx_query_as_macro,100,,,22422713.0,ns,144
bench_medium_complex_query,sqlx_query_as_macro,100,,,20766499.0,ns,152
bench_medium_complex_query,sqlx_query_as_macro,100,,,25704565.0,ns,160
bench_medium_complex_query,sqlx_query_as_macro,100,,,22596831.0,ns,168
bench_medium_complex_query,sqlx_query_as_macro,100,,,23600168.0,ns,176
bench_medium_complex_query,sqlx_query_as_macro,100,,,27675607.0,ns,184
bench_medium_complex_query,sqlx_query_as_macro,100,,,25748237.0,ns,192
bench_medium_complex_query,sqlx_query_as_macro,100,,,26920608.0,ns,200
bench_medium_complex_query,sqlx_query_as_macro,100,,,33871162.0,ns,208
bench_medium_complex_query,sqlx_query_as_macro,100,,,33193868.0,ns,216
bench_medium_complex_query,sqlx_query_as_macro,100,,,35610171.0,ns,224
bench_medium_complex_query,sqlx_query_as_macro,100,,,37251769.0,ns,232
bench_medium_complex_query,sqlx_query_as_macro,100,,,31949277.0,ns,240
bench_medium_complex_query,sqlx_query_as_macro,100,,,33484631.0,ns,248
bench_medium_complex_query,sqlx_query_as_macro,100,,,33908375.0,ns,256
bench_medium_complex_query,sqlx_query_as_macro,100,,,42286235.0,ns,264
