group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,100,,,1033698.0,ns,42
bench_medium_complex_query,diesel,100,,,2019285.0,ns,84
bench_medium_complex_query,diesel,100,,,3000594.0,ns,126
bench_medium_complex_query,diesel,100,,,4011550.0,ns,168
bench_medium_complex_query,diesel,100,,,5014640.0,ns,210
bench_medium_complex_query,diesel,100,,,6049199.0,ns,252
bench_medium_complex_query,diesel,100,,,7092095.0,ns,294
bench_medium_complex_query,diesel,100,,,8010956.0,ns,336
bench_medium_complex_query,diesel,100,,,8993578.0,ns,378
bench_medium_complex_query,diesel,100,,,12715903.0,ns,420
bench_medium_complex_query,diesel,100,,,10975542.0,ns,462
bench_medium_complex_query,diesel,100,,,11995886.0,ns,504
bench_medium_complex_query,diesel,100,,,12945266.0,ns,546
bench_medium_complex_query,diesel,100,,,13971840.0,ns,588
bench_medium_complex_query,diesel,100,,,14986702.0,ns,630
bench_medium_complex_query,diesel,100,,,15991636.0,ns,672
bench_medium_complex_query,diesel,100,,,16998694.0,ns,714
bench_medium_complex_query,diesel,100,,,17975605.0,ns,756
bench_medium_complex_query,diesel,100,,,18872234.0,ns,798
bench_medium_complex_query,diesel,100,,,19966586.0,ns,840
bench_medium_complex_query,diesel,100,,,20903998.0,ns,882
bench_medium_complex_query,diesel,100,,,21843457.0,ns,924
bench_medium_complex_query,diesel,100,,,23095389.0,ns,966
bench_medium_complex_query,diesel,100,,,24065051.0,ns,1008
bench_medium_complex_query,diesel,100,,,25000509.0,ns,1050
bench_medium_complex_query,diesel,100,,,26030264.0,ns,1092
bench_medium_complex_query,diesel,100,,,27136413.0,ns,1134
bench_medium_complex_query,diesel,100,,,27940384.0,ns,1176
bench_medium_complex_query,diesel,100,,,28919263.0,ns,1218
bench_medium_complex_query,diesel,100,,,30000895.0,ns,1260
bench_medium_complex_query,diesel,100,,,31026812.0,ns,1302
bench_medium_complex_query,diesel,100,,,32068040.0,ns,1344
bench_medium_complex_query,diesel,100,,,33055125.0,ns,1386
bench_medium_complex_query,diesel,100,,,34015619.0,ns,1428
bench_medium_complex_query,diesel,100,,,35041287.0,ns,1470
bench_medium_complex_query,diesel,100,,,35832002.0,ns,1512
bench_medium_complex_query,diesel,100,,,36980731.0,ns,1554
bench_medium_complex_query,diesel,100,,,37876254.0,ns,1596
bench_medium_complex_query,diesel,100,,,38872596.0,ns,1638
bench_medium_complex_query,diesel,100,,,40005215.0,ns,1680
bench_medium_complex_query,diesel,100,,,40849271.0,ns,1722
bench_medium_complex_query,diesel,100,,,42121311.0,ns,1764
bench_medium_complex_query,diesel,100,,,42979884.0,ns,1806
bench_medium_complex_query,diesel,100,,,44056047.0,ns,1848
bench_medium_complex_query,diesel,100,,,44670862.0,ns,1890
bench_medium_complex_query,diesel,100,,,48612488.0,ns,1932
bench_medium_complex_query,diesel,100,,,46811514.0,ns,1974
bench_medium_complex_query,diesel,100,,,47675798.0,ns,2016
bench_medium_complex_query,diesel,100,,,48906070.0,ns,2058
bench_medium_complex_query,diesel,100,,,50126614.0,ns,2100
bench_medium_complex_query,diesel,100,,,51102798.0,ns,2142
bench_medium_complex_query,diesel,100,,,51973093.0,ns,2184
bench_medium_complex_query,diesel,100,,,53071888.0,ns,2226
bench_medium_complex_query,diesel,100,,,53618927.0,ns,2268
bench_medium_complex_query,diesel,100,,,54743540.0,ns,2310
bench_medium_complex_query,diesel,100,,,55796989.0,ns,2352
bench_medium_complex_query,diesel,100,,,56978999.0,ns,2394
bench_medium_complex_query,diesel,100,,,58196389.0,ns,2436
bench_medium_complex_query,diesel,100,,,58943061.0,ns,2478
bench_medium_complex_query,diesel,100,,,59928273.0,ns,2520
bench_medium_complex_query,diesel,100,,,60509665.0,ns,2562
bench_medium_complex_query,diesel,100,,,61706313.0,ns,2604
bench_medium_complex_query,diesel,100,,,63210039.0,ns,2646
bench_medium_complex_query,diesel,100,,,64162368.0,ns,2688
bench_medium_complex_query,diesel,100,,,71970606.0,ns,2730
bench_medium_complex_query,diesel,100,,,65961709.0,ns,2772
bench_medium_complex_query,diesel,100,,,67365537.0,ns,2814
bench_medium_complex_query,diesel,100,,,67849838.0,ns,2856
bench_medium_complex_query,diesel,100,,,68087935.0,ns,2898
bench_medium_complex_query,diesel,100,,,69578566.0,ns,2940
bench_medium_complex_query,diesel,100,,,70735590.0,ns,2982
bench_medium_complex_query,diesel,100,,,71564789.0,ns,3024
bench_medium_complex_query,diesel,100,,,72788318.0,ns,3066
bench_medium_complex_query,diesel,100,,,73536694.0,ns,3108
bench_medium_complex_query,diesel,100,,,75005364.0,ns,3150
bench_medium_complex_query,diesel,100,,,75678218.0,ns,3192
bench_medium_complex_query,diesel,100,,,77003338.0,ns,3234
bench_medium_complex_query,diesel,100,,,77799794.0,ns,3276
bench_medium_complex_query,diesel,100,,,78799644.0,ns,3318
bench_medium_complex_query,diesel,100,,,80262171.0,ns,3360
bench_medium_complex_query,diesel,100,,,81116518.0,ns,3402
bench_medium_complex_query,diesel,100,,,82152284.0,ns,3444
bench_medium_complex_query,diesel,100,,,82395741.0,ns,3486
bench_medium_complex_query,diesel,100,,,83927851.0,ns,3528
bench_medium_complex_query,diesel,100,,,84435614.0,ns,3570
bench_medium_complex_query,diesel,100,,,85607897.0,ns,3612
bench_medium_complex_query,diesel,100,,,86852776.0,ns,3654
bench_medium_complex_query,diesel,100,,,88346263.0,ns,3696
bench_medium_complex_query,diesel,100,,,89037562.0,ns,3738
bench_medium_complex_query,diesel,100,,,89816145.0,ns,3780
bench_medium_complex_query,diesel,100,,,90860026.0,ns,3822
bench_medium_complex_query,diesel,100,,,91778874.0,ns,3864
bench_medium_complex_query,diesel,100,,,92327429.0,ns,3906
bench_medium_complex_query,diesel,100,,,93589250.0,ns,3948
bench_medium_complex_query,diesel,100,,,94806417.0,ns,3990
bench_medium_complex_query,diesel,100,,,95929969.0,ns,4032
bench_medium_complex_query,diesel,100,,,96485252.0,ns,4074
bench_medium_complex_query,diesel,100,,,97693994.0,ns,4116
bench_medium_complex_query,diesel,100,,,99267712.0,ns,4158
bench_medium_complex_query,diesel,100,,,99543740.0,ns,4200
